,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_-_Suite_Bergamasque_-_I,G,2,5
1,Debussy_-_Suite_Bergamasque_-_I,B-,2,5
2,Debussy_-_Suite_Bergamasque_-_I,D,2,5
3,Debussy_-_Suite_Bergamasque_-_I,G,5,5 1/4
4,Debussy_-_Suite_Bergamasque_-_I,A,5 1/4,5 1/2
5,Debussy_-_Suite_Bergamasque_-_I,G,5 1/2,5 3/4
6,Debussy_-_Suite_Bergamasque_-_I,F,5 3/4,6
7,Debussy_-_Suite_Bergamasque_-_I,D,6,6 1/4
8,Debussy_-_Suite_Bergamasque_-_I,F,6 1/4,6 1/2
9,Debussy_-_Suite_Bergamasque_-_I,D,6 1/2,6 3/4
10,Debussy_-_Suite_Bergamasque_-_I,C,6 3/4,7
11,Debussy_-_Suite_Bergamasque_-_I,B-,7,7 1/4
12,Debussy_-_Suite_Bergamasque_-_I,G,7 1/4,7 1/2
13,Debussy_-_Suite_Bergamasque_-_I,D,7 1/2,7 3/4
14,Debussy_-_Suite_Bergamasque_-_I,E,7 3/4,8
15,Debussy_-_Suite_Bergamasque_-_I,C,8,10
16,Debussy_-_Suite_Bergamasque_-_I,D,10,12
17,Debussy_-_Suite_Bergamasque_-_I,E,12,14
18,Debussy_-_Suite_Bergamasque_-_I,D,14,17
19,Debussy_-_Suite_Bergamasque_-_I,D,17,18
20,Debussy_-_Suite_Bergamasque_-_I,C,18,21 1/2
21,Debussy_-_Suite_Bergamasque_-_I,B-,21 1/2,21 3/4
22,Debussy_-_Suite_Bergamasque_-_I,A,21 3/4,22
23,Debussy_-_Suite_Bergamasque_-_I,B-,22,24
24,Debussy_-_Suite_Bergamasque_-_I,G,26,29
25,Debussy_-_Suite_Bergamasque_-_I,B-,26,29
26,Debussy_-_Suite_Bergamasque_-_I,D,26,29
27,Debussy_-_Suite_Bergamasque_-_I,G,29,29 1/4
28,Debussy_-_Suite_Bergamasque_-_I,A,29 1/4,29 1/2
29,Debussy_-_Suite_Bergamasque_-_I,G,29 1/2,29 3/4
30,Debussy_-_Suite_Bergamasque_-_I,F,29 3/4,30
31,Debussy_-_Suite_Bergamasque_-_I,D,30,30 1/4
32,Debussy_-_Suite_Bergamasque_-_I,F,30 1/4,30 1/2
33,Debussy_-_Suite_Bergamasque_-_I,D,30 1/2,30 3/4
34,Debussy_-_Suite_Bergamasque_-_I,C,30 3/4,31
35,Debussy_-_Suite_Bergamasque_-_I,B-,31,31 1/4
36,Debussy_-_Suite_Bergamasque_-_I,G,31 1/4,31 1/2
37,Debussy_-_Suite_Bergamasque_-_I,D,31 1/2,31 3/4
38,Debussy_-_Suite_Bergamasque_-_I,E,31 3/4,32
39,Debussy_-_Suite_Bergamasque_-_I,G,32,32 1/4
40,Debussy_-_Suite_Bergamasque_-_I,F,32 1/4,32 1/2
41,Debussy_-_Suite_Bergamasque_-_I,G,32 1/2,32 3/4
42,Debussy_-_Suite_Bergamasque_-_I,A,32 3/4,33
43,Debussy_-_Suite_Bergamasque_-_I,G,33,34 1/4
44,Debussy_-_Suite_Bergamasque_-_I,F,34 1/4,34 1/2
45,Debussy_-_Suite_Bergamasque_-_I,G,34 1/2,34 3/4
46,Debussy_-_Suite_Bergamasque_-_I,A,34 3/4,35
47,Debussy_-_Suite_Bergamasque_-_I,C,35,35 1/4
48,Debussy_-_Suite_Bergamasque_-_I,A,35 1/4,35 1/2
49,Debussy_-_Suite_Bergamasque_-_I,G,35 1/2,35 3/4
50,Debussy_-_Suite_Bergamasque_-_I,F,35 3/4,36
51,Debussy_-_Suite_Bergamasque_-_I,G,36,36 1/4
52,Debussy_-_Suite_Bergamasque_-_I,F,36 1/4,36 1/2
53,Debussy_-_Suite_Bergamasque_-_I,G,36 1/2,36 3/4
54,Debussy_-_Suite_Bergamasque_-_I,A,36 3/4,37
55,Debussy_-_Suite_Bergamasque_-_I,G,37,38 1/4
56,Debussy_-_Suite_Bergamasque_-_I,F,38 1/4,38 1/2
57,Debussy_-_Suite_Bergamasque_-_I,G,38 1/2,38 3/4
58,Debussy_-_Suite_Bergamasque_-_I,A,38 3/4,39
59,Debussy_-_Suite_Bergamasque_-_I,D,39,39 1/4
60,Debussy_-_Suite_Bergamasque_-_I,A,39 1/4,39 1/2
61,Debussy_-_Suite_Bergamasque_-_I,G,39 1/2,39 3/4
