,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_-_Suite_Bergamasque_-_II,D,0,1/4
1,Debussy_-_Suite_Bergamasque_-_II,A,0,1/4
2,Debussy_-_Suite_Bergamasque_-_II,B,1/4,1/2
3,Debussy_-_Suite_Bergamasque_-_II,F,1/4,1/2
4,Debussy_-_Suite_Bergamasque_-_II,F,1/2,3/4
5,Debussy_-_Suite_Bergamasque_-_II,C,1/2,3/4
6,Debussy_-_Suite_Bergamasque_-_II,D,3/4,1
7,Debussy_-_Suite_Bergamasque_-_II,A,3/4,1
8,Debussy_-_Suite_Bergamasque_-_II,B,1,1 1/2
9,Debussy_-_Suite_Bergamasque_-_II,B,1 1/2,1 3/4
10,Debussy_-_Suite_Bergamasque_-_II,C,1 1/2,1 3/4
11,Debussy_-_Suite_Bergamasque_-_II,A,1 3/4,2
12,Debussy_-_Suite_Bergamasque_-_II,B,2,2 1/4
13,Debussy_-_Suite_Bergamasque_-_II,C,2 1/2,2 3/4
14,Debussy_-_Suite_Bergamasque_-_II,B,3,3 1/4
15,Debussy_-_Suite_Bergamasque_-_II,C,3 1/4,3 1/2
16,Debussy_-_Suite_Bergamasque_-_II,D,3 1/2,3 3/4
17,Debussy_-_Suite_Bergamasque_-_II,E,3 3/4,4
18,Debussy_-_Suite_Bergamasque_-_II,F#,4,4 1/4
19,Debussy_-_Suite_Bergamasque_-_II,F#,4 1/4,4 1/2
20,Debussy_-_Suite_Bergamasque_-_II,E,4 1/2,4 3/4
21,Debussy_-_Suite_Bergamasque_-_II,D,4 3/4,5
22,Debussy_-_Suite_Bergamasque_-_II,C,5,5 1/4
23,Debussy_-_Suite_Bergamasque_-_II,D,5 1/4,5 1/2
24,Debussy_-_Suite_Bergamasque_-_II,E,5 1/2,6
25,Debussy_-_Suite_Bergamasque_-_II,A,5 1/2,6
26,Debussy_-_Suite_Bergamasque_-_II,C,5 1/2,6
27,Debussy_-_Suite_Bergamasque_-_II,E,6,6 1/4
28,Debussy_-_Suite_Bergamasque_-_II,F#,6 1/4,6 1/2
29,Debussy_-_Suite_Bergamasque_-_II,B,6 1/2,7
30,Debussy_-_Suite_Bergamasque_-_II,E,6 1/2,7
31,Debussy_-_Suite_Bergamasque_-_II,F#,7,7 1/4
32,Debussy_-_Suite_Bergamasque_-_II,F#,7 1/2,7 3/4
33,Debussy_-_Suite_Bergamasque_-_II,G#,7 1/2,7 3/4
34,Debussy_-_Suite_Bergamasque_-_II,C,7 3/4,8
35,Debussy_-_Suite_Bergamasque_-_II,E,7 3/4,8
36,Debussy_-_Suite_Bergamasque_-_II,D,8,8 1/4
37,Debussy_-_Suite_Bergamasque_-_II,F#,8,8 1/4
38,Debussy_-_Suite_Bergamasque_-_II,D,8 1/2,8 3/4
39,Debussy_-_Suite_Bergamasque_-_II,F#,8 1/2,8 3/4
40,Debussy_-_Suite_Bergamasque_-_II,A,8 1/2,8 3/4
41,Debussy_-_Suite_Bergamasque_-_II,E,9,9 1/4
42,Debussy_-_Suite_Bergamasque_-_II,G#,9,9 1/4
43,Debussy_-_Suite_Bergamasque_-_II,F#,9 1/4,9 1/2
44,Debussy_-_Suite_Bergamasque_-_II,A,9 1/4,9 1/2
45,Debussy_-_Suite_Bergamasque_-_II,E,9 1/2,10 1/4
46,Debussy_-_Suite_Bergamasque_-_II,G#,9 1/2,10 1/4
47,Debussy_-_Suite_Bergamasque_-_II,F#,10 1/4,10 1/2
48,Debussy_-_Suite_Bergamasque_-_II,A,10 1/4,10 1/2
49,Debussy_-_Suite_Bergamasque_-_II,G#,10 1/2,11 1/4
50,Debussy_-_Suite_Bergamasque_-_II,B,10 1/2,11 1/4
51,Debussy_-_Suite_Bergamasque_-_II,A,11 1/4,11 1/2
52,Debussy_-_Suite_Bergamasque_-_II,C,11 1/4,11 1/2
53,Debussy_-_Suite_Bergamasque_-_II,E,11 1/2,12
54,Debussy_-_Suite_Bergamasque_-_II,G#,11 1/2,12
55,Debussy_-_Suite_Bergamasque_-_II,E,12,12 1/4
56,Debussy_-_Suite_Bergamasque_-_II,G,12,12 1/4
57,Debussy_-_Suite_Bergamasque_-_II,D,12 1/4,12 1/2
58,Debussy_-_Suite_Bergamasque_-_II,F,12 1/4,12 1/2
59,Debussy_-_Suite_Bergamasque_-_II,D,12 1/2,12 3/4
60,Debussy_-_Suite_Bergamasque_-_II,F,12 1/2,12 3/4
61,Debussy_-_Suite_Bergamasque_-_II,C,12 3/4,13
62,Debussy_-_Suite_Bergamasque_-_II,E,12 3/4,13
63,Debussy_-_Suite_Bergamasque_-_II,B-,13,13 1/4
64,Debussy_-_Suite_Bergamasque_-_II,D,13,13 1/4
