,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_-_Suite_Bergamasque_-_III,C#,3,5
1,Debussy_-_Suite_Bergamasque_-_III,F,3,5
2,Debussy_-_Suite_Bergamasque_-_III,C,5,5 1/2
3,Debussy_-_Suite_Bergamasque_-_III,E-,5,5 1/2
4,Debussy_-_Suite_Bergamasque_-_III,C#,5 1/2,6
5,Debussy_-_Suite_Bergamasque_-_III,F,5 1/2,6
6,Debussy_-_Suite_Bergamasque_-_III,C,6,9 1/3
7,Debussy_-_Suite_Bergamasque_-_III,E-,6,9 1/3
8,Debussy_-_Suite_Bergamasque_-_III,B-,9 1/2,10
9,Debussy_-_Suite_Bergamasque_-_III,C#,9 1/2,10
10,Debussy_-_Suite_Bergamasque_-_III,C,10,10 1/2
11,Debussy_-_Suite_Bergamasque_-_III,E-,10,10 1/2
12,Debussy_-_Suite_Bergamasque_-_III,B-,10 1/2,14
13,Debussy_-_Suite_Bergamasque_-_III,G#,14,14 1/2
14,Debussy_-_Suite_Bergamasque_-_III,C,14,14 1/2
15,Debussy_-_Suite_Bergamasque_-_III,B-,14 1/2,15
16,Debussy_-_Suite_Bergamasque_-_III,C#,14 1/2,15
17,Debussy_-_Suite_Bergamasque_-_III,G#,15,17 3/4
18,Debussy_-_Suite_Bergamasque_-_III,F#,18,21
19,Debussy_-_Suite_Bergamasque_-_III,F#,21,22 1/2
20,Debussy_-_Suite_Bergamasque_-_III,E-,22 1/2,25 1/2
21,Debussy_-_Suite_Bergamasque_-_III,E-,25 1/2,27
22,Debussy_-_Suite_Bergamasque_-_III,C#,27,31 1/2
23,Debussy_-_Suite_Bergamasque_-_III,B-,31 1/2,34 1/2
24,Debussy_-_Suite_Bergamasque_-_III,G#,34 1/2,36
25,Debussy_-_Suite_Bergamasque_-_III,C,34 1/2,36
26,Debussy_-_Suite_Bergamasque_-_III,F,37 1/2,39
27,Debussy_-_Suite_Bergamasque_-_III,G#,37 1/2,39
28,Debussy_-_Suite_Bergamasque_-_III,C#,39,41
29,Debussy_-_Suite_Bergamasque_-_III,F,39,41
30,Debussy_-_Suite_Bergamasque_-_III,F#,41,44 3/4
31,Debussy_-_Suite_Bergamasque_-_III,B-,41,44 3/4
32,Debussy_-_Suite_Bergamasque_-_III,C#,45 1/2,46
33,Debussy_-_Suite_Bergamasque_-_III,C#,45 1/2,46
34,Debussy_-_Suite_Bergamasque_-_III,E-,46,46 1/2
35,Debussy_-_Suite_Bergamasque_-_III,E-,46,46 1/2
36,Debussy_-_Suite_Bergamasque_-_III,G#,46 1/2,48
37,Debussy_-_Suite_Bergamasque_-_III,C#,46 1/2,48
38,Debussy_-_Suite_Bergamasque_-_III,G#,46 1/2,48
39,Debussy_-_Suite_Bergamasque_-_III,F,48,49 1/2
40,Debussy_-_Suite_Bergamasque_-_III,C#,48,49 1/2
41,Debussy_-_Suite_Bergamasque_-_III,F#,50,54
42,Debussy_-_Suite_Bergamasque_-_III,B-,50,54
43,Debussy_-_Suite_Bergamasque_-_III,C#,54 1/2,55
44,Debussy_-_Suite_Bergamasque_-_III,C#,54 1/2,55
45,Debussy_-_Suite_Bergamasque_-_III,E-,55,55 1/2
46,Debussy_-_Suite_Bergamasque_-_III,E-,55,55 1/2
47,Debussy_-_Suite_Bergamasque_-_III,B-,55 1/2,56 1/4
48,Debussy_-_Suite_Bergamasque_-_III,B-,55 1/2,56 1/4
49,Debussy_-_Suite_Bergamasque_-_III,G#,56 1/4,57 3/4
50,Debussy_-_Suite_Bergamasque_-_III,G#,56 1/4,57 3/4
51,Debussy_-_Suite_Bergamasque_-_III,F,57 3/4,58 1/2
52,Debussy_-_Suite_Bergamasque_-_III,F,57 3/4,58 1/2
53,Debussy_-_Suite_Bergamasque_-_III,F,59,63
54,Debussy_-_Suite_Bergamasque_-_III,B-,59,63
55,Debussy_-_Suite_Bergamasque_-_III,F,63 3/4,65
56,Debussy_-_Suite_Bergamasque_-_III,B-,63 3/4,65
57,Debussy_-_Suite_Bergamasque_-_III,F,63 3/4,65
58,Debussy_-_Suite_Bergamasque_-_III,E-,65,65 1/2
59,Debussy_-_Suite_Bergamasque_-_III,B-,65,65 1/2
60,Debussy_-_Suite_Bergamasque_-_III,E-,65,65 1/2
61,Debussy_-_Suite_Bergamasque_-_III,E-,65 1/2,66
62,Debussy_-_Suite_Bergamasque_-_III,B-,65 1/2,66
63,Debussy_-_Suite_Bergamasque_-_III,E-,65 1/2,66
64,Debussy_-_Suite_Bergamasque_-_III,E-,66,66 1/2
65,Debussy_-_Suite_Bergamasque_-_III,B-,66,66 1/2
66,Debussy_-_Suite_Bergamasque_-_III,E-,66,66 1/2
67,Debussy_-_Suite_Bergamasque_-_III,C#,66 1/2,67
68,Debussy_-_Suite_Bergamasque_-_III,B-,66 1/2,67
69,Debussy_-_Suite_Bergamasque_-_III,C#,66 1/2,67
70,Debussy_-_Suite_Bergamasque_-_III,C#,67,67 1/2
71,Debussy_-_Suite_Bergamasque_-_III,B-,67,67 1/2
72,Debussy_-_Suite_Bergamasque_-_III,C#,67,67 1/2
73,Debussy_-_Suite_Bergamasque_-_III,C#,67 1/2,68
74,Debussy_-_Suite_Bergamasque_-_III,B-,67 1/2,68
75,Debussy_-_Suite_Bergamasque_-_III,C#,67 1/2,68
76,Debussy_-_Suite_Bergamasque_-_III,C,68,68 1/2
77,Debussy_-_Suite_Bergamasque_-_III,F#,68,68 1/2
78,Debussy_-_Suite_Bergamasque_-_III,B-,68,68 1/2
79,Debussy_-_Suite_Bergamasque_-_III,C,68,68 1/2
80,Debussy_-_Suite_Bergamasque_-_III,C,68 1/2,69
81,Debussy_-_Suite_Bergamasque_-_III,F#,68 1/2,69
82,Debussy_-_Suite_Bergamasque_-_III,B-,68 1/2,69
83,Debussy_-_Suite_Bergamasque_-_III,C,68 1/2,69
84,Debussy_-_Suite_Bergamasque_-_III,C,69,69 3/4
85,Debussy_-_Suite_Bergamasque_-_III,F#,69,69 3/4
86,Debussy_-_Suite_Bergamasque_-_III,B-,69,69 3/4
87,Debussy_-_Suite_Bergamasque_-_III,C,69,69 3/4
88,Debussy_-_Suite_Bergamasque_-_III,C#,69 3/4,70 1/2
89,Debussy_-_Suite_Bergamasque_-_III,B-,69 3/4,70 1/2
90,Debussy_-_Suite_Bergamasque_-_III,C#,69 3/4,70 1/2
91,Debussy_-_Suite_Bergamasque_-_III,B-,70 1/2,72
92,Debussy_-_Suite_Bergamasque_-_III,F#,70 1/2,72
93,Debussy_-_Suite_Bergamasque_-_III,B-,70 1/2,72
94,Debussy_-_Suite_Bergamasque_-_III,F,72 3/4,74
95,Debussy_-_Suite_Bergamasque_-_III,B-,72 3/4,74
96,Debussy_-_Suite_Bergamasque_-_III,F,72 3/4,74
97,Debussy_-_Suite_Bergamasque_-_III,F#,74,74 1/2
98,Debussy_-_Suite_Bergamasque_-_III,B-,74,74 1/2
99,Debussy_-_Suite_Bergamasque_-_III,F#,74,74 1/2
100,Debussy_-_Suite_Bergamasque_-_III,F,74 1/2,75
101,Debussy_-_Suite_Bergamasque_-_III,B-,74 1/2,75
