,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_-_Suite_Bergamasque_-_VI,F#,8,8 1/2
1,Debussy_-_Suite_Bergamasque_-_VI,C#,9,9 1/2
2,Debussy_-_Suite_Bergamasque_-_VI,B,10,13
3,Debussy_-_Suite_Bergamasque_-_VI,A,13,13 1/4
4,Debussy_-_Suite_Bergamasque_-_VI,G#,13 1/2,13 3/4
5,Debussy_-_Suite_Bergamasque_-_VI,F#,14,14 1/2
6,Debussy_-_Suite_Bergamasque_-_VI,E,15,15 1/4
7,Debussy_-_Suite_Bergamasque_-_VI,D,15 1/2,15 3/4
8,Debussy_-_Suite_Bergamasque_-_VI,C#,16,17
9,Debussy_-_Suite_Bergamasque_-_VI,D,17,17 1/2
10,Debussy_-_Suite_Bergamasque_-_VI,E,17 1/2,18
11,Debussy_-_Suite_Bergamasque_-_VI,F#,18,19
12,Debussy_-_Suite_Bergamasque_-_VI,A,19,20
13,Debussy_-_Suite_Bergamasque_-_VI,G#,20,24 1/4
14,Debussy_-_Suite_Bergamasque_-_VI,F#,24 1/2,24 3/4
15,Debussy_-_Suite_Bergamasque_-_VI,G#,25,25 1/4
16,Debussy_-_Suite_Bergamasque_-_VI,A,25 1/2,26
17,Debussy_-_Suite_Bergamasque_-_VI,F#,26,27
18,Debussy_-_Suite_Bergamasque_-_VI,F,27,28
19,Debussy_-_Suite_Bergamasque_-_VI,C#,28,29
20,Debussy_-_Suite_Bergamasque_-_VI,B,29,29 1/2
21,Debussy_-_Suite_Bergamasque_-_VI,C#,29 1/2,30
22,Debussy_-_Suite_Bergamasque_-_VI,A,30,31
23,Debussy_-_Suite_Bergamasque_-_VI,G#,31,32
24,Debussy_-_Suite_Bergamasque_-_VI,E,32,33
25,Debussy_-_Suite_Bergamasque_-_VI,D,33,33 1/2
26,Debussy_-_Suite_Bergamasque_-_VI,E,33 1/2,34
27,Debussy_-_Suite_Bergamasque_-_VI,D,34,37
28,Debussy_-_Suite_Bergamasque_-_VI,F#,38,40 3/4
29,Debussy_-_Suite_Bergamasque_-_VI,C#,41,41 1/2
30,Debussy_-_Suite_Bergamasque_-_VI,B,42,45
31,Debussy_-_Suite_Bergamasque_-_VI,A,45,45 1/4
32,Debussy_-_Suite_Bergamasque_-_VI,G#,45 1/2,45 3/4
33,Debussy_-_Suite_Bergamasque_-_VI,F#,46,46 1/2
34,Debussy_-_Suite_Bergamasque_-_VI,E,47,47 1/4
35,Debussy_-_Suite_Bergamasque_-_VI,D,47 1/2,47 3/4
36,Debussy_-_Suite_Bergamasque_-_VI,C#,48 1/2,49
37,Debussy_-_Suite_Bergamasque_-_VI,D,49,49 1/2
38,Debussy_-_Suite_Bergamasque_-_VI,E,49 1/2,50
39,Debussy_-_Suite_Bergamasque_-_VI,F#,50,51
40,Debussy_-_Suite_Bergamasque_-_VI,A,51,52
41,Debussy_-_Suite_Bergamasque_-_VI,F#,52,57 2/3
42,Debussy_-_Suite_Bergamasque_-_VI,G#,52,57 2/3
43,Debussy_-_Suite_Bergamasque_-_VI,F#,58,59
44,Debussy_-_Suite_Bergamasque_-_VI,A,58,59
45,Debussy_-_Suite_Bergamasque_-_VI,E,59,59 1/3
46,Debussy_-_Suite_Bergamasque_-_VI,G#,59,59 1/3
47,Debussy_-_Suite_Bergamasque_-_VI,F#,60,62
48,Debussy_-_Suite_Bergamasque_-_VI,G#,60,62
49,Debussy_-_Suite_Bergamasque_-_VI,D,62,63
50,Debussy_-_Suite_Bergamasque_-_VI,F#,62,63
51,Debussy_-_Suite_Bergamasque_-_VI,C#,63,63 1/3
52,Debussy_-_Suite_Bergamasque_-_VI,E,63,63 1/3
53,Debussy_-_Suite_Bergamasque_-_VI,C#,64,65
54,Debussy_-_Suite_Bergamasque_-_VI,E,64,65
55,Debussy_-_Suite_Bergamasque_-_VI,B,66,67
56,Debussy_-_Suite_Bergamasque_-_VI,E-,66,67
