,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_10_Canope,D,1,2
1,Debussy_Prelude_Book_2_No_10_Canope,F,1,2
2,Debussy_Prelude_Book_2_No_10_Canope,A,1,2
3,Debussy_Prelude_Book_2_No_10_Canope,D,1,2
4,Debussy_Prelude_Book_2_No_10_Canope,A,2,3
5,Debussy_Prelude_Book_2_No_10_Canope,C,2,3
6,Debussy_Prelude_Book_2_No_10_Canope,E,2,3
7,Debussy_Prelude_Book_2_No_10_Canope,A,2,3
8,Debussy_Prelude_Book_2_No_10_Canope,C,3,4
9,Debussy_Prelude_Book_2_No_10_Canope,E,3,4
10,Debussy_Prelude_Book_2_No_10_Canope,G,3,4
11,Debussy_Prelude_Book_2_No_10_Canope,C,3,4
12,Debussy_Prelude_Book_2_No_10_Canope,E,4,5
13,Debussy_Prelude_Book_2_No_10_Canope,G,4,5
14,Debussy_Prelude_Book_2_No_10_Canope,B,4,5
15,Debussy_Prelude_Book_2_No_10_Canope,E,4,5
16,Debussy_Prelude_Book_2_No_10_Canope,D,5,6
17,Debussy_Prelude_Book_2_No_10_Canope,F,5,6
18,Debussy_Prelude_Book_2_No_10_Canope,A,5,6
19,Debussy_Prelude_Book_2_No_10_Canope,D,5,6
20,Debussy_Prelude_Book_2_No_10_Canope,G,6,7
21,Debussy_Prelude_Book_2_No_10_Canope,B-,6,7
22,Debussy_Prelude_Book_2_No_10_Canope,D,6,7
23,Debussy_Prelude_Book_2_No_10_Canope,G,6,7
24,Debussy_Prelude_Book_2_No_10_Canope,C,7,8
25,Debussy_Prelude_Book_2_No_10_Canope,E,7,8
26,Debussy_Prelude_Book_2_No_10_Canope,G,7,8
27,Debussy_Prelude_Book_2_No_10_Canope,C,7,8
28,Debussy_Prelude_Book_2_No_10_Canope,A,8,9
29,Debussy_Prelude_Book_2_No_10_Canope,C,8,9
30,Debussy_Prelude_Book_2_No_10_Canope,E,8,9
31,Debussy_Prelude_Book_2_No_10_Canope,A,8,9
32,Debussy_Prelude_Book_2_No_10_Canope,D,9,10
33,Debussy_Prelude_Book_2_No_10_Canope,F,9,10
34,Debussy_Prelude_Book_2_No_10_Canope,A,9,10
35,Debussy_Prelude_Book_2_No_10_Canope,D,9,10
36,Debussy_Prelude_Book_2_No_10_Canope,A,10,11
37,Debussy_Prelude_Book_2_No_10_Canope,C,10,11
38,Debussy_Prelude_Book_2_No_10_Canope,E,10,11
39,Debussy_Prelude_Book_2_No_10_Canope,A,10,11
40,Debussy_Prelude_Book_2_No_10_Canope,G,11,12
41,Debussy_Prelude_Book_2_No_10_Canope,B-,11,12
42,Debussy_Prelude_Book_2_No_10_Canope,D,11,12
43,Debussy_Prelude_Book_2_No_10_Canope,G,11,12
44,Debussy_Prelude_Book_2_No_10_Canope,D,12,13
45,Debussy_Prelude_Book_2_No_10_Canope,F,12,13
46,Debussy_Prelude_Book_2_No_10_Canope,A,12,13
47,Debussy_Prelude_Book_2_No_10_Canope,D,12,13
48,Debussy_Prelude_Book_2_No_10_Canope,E-,13,14
49,Debussy_Prelude_Book_2_No_10_Canope,G,13,14
50,Debussy_Prelude_Book_2_No_10_Canope,B-,13,14
51,Debussy_Prelude_Book_2_No_10_Canope,E-,13,14
52,Debussy_Prelude_Book_2_No_10_Canope,G#,14,15
53,Debussy_Prelude_Book_2_No_10_Canope,C,14,15
54,Debussy_Prelude_Book_2_No_10_Canope,E-,14,15
55,Debussy_Prelude_Book_2_No_10_Canope,G#,14,15
56,Debussy_Prelude_Book_2_No_10_Canope,B-,15,16
57,Debussy_Prelude_Book_2_No_10_Canope,C#,15,16
58,Debussy_Prelude_Book_2_No_10_Canope,F#,15,16
59,Debussy_Prelude_Book_2_No_10_Canope,B-,15,16
60,Debussy_Prelude_Book_2_No_10_Canope,D,20,23 3/4
61,Debussy_Prelude_Book_2_No_10_Canope,F,20,23 3/4
62,Debussy_Prelude_Book_2_No_10_Canope,A,20,23 3/4
63,Debussy_Prelude_Book_2_No_10_Canope,D,20,23 3/4
64,Debussy_Prelude_Book_2_No_10_Canope,C#,29,30 1/3
65,Debussy_Prelude_Book_2_No_10_Canope,C#,30 1/3,30 7/12
66,Debussy_Prelude_Book_2_No_10_Canope,C#,30 2/3,30 11/12
67,Debussy_Prelude_Book_2_No_10_Canope,C#,31,31 1/4
68,Debussy_Prelude_Book_2_No_10_Canope,C#,31 1/3,31 7/12
69,Debussy_Prelude_Book_2_No_10_Canope,D,31 2/3,31 11/12
70,Debussy_Prelude_Book_2_No_10_Canope,E-,32,32 1/4
71,Debussy_Prelude_Book_2_No_10_Canope,F,32 1/2,32 3/4
72,Debussy_Prelude_Book_2_No_10_Canope,E-,33,35
73,Debussy_Prelude_Book_2_No_10_Canope,D,35,36
74,Debussy_Prelude_Book_2_No_10_Canope,C#,37,38 1/3
75,Debussy_Prelude_Book_2_No_10_Canope,C#,37,38 1/3
76,Debussy_Prelude_Book_2_No_10_Canope,C#,38 1/3,38 7/12
77,Debussy_Prelude_Book_2_No_10_Canope,C#,38 1/3,38 7/12
78,Debussy_Prelude_Book_2_No_10_Canope,C#,38 2/3,38 11/12
79,Debussy_Prelude_Book_2_No_10_Canope,C#,38 2/3,38 11/12
80,Debussy_Prelude_Book_2_No_10_Canope,C#,39,39 1/4
81,Debussy_Prelude_Book_2_No_10_Canope,C#,39,39 1/4
82,Debussy_Prelude_Book_2_No_10_Canope,C#,39 1/3,39 7/12
83,Debussy_Prelude_Book_2_No_10_Canope,C#,39 1/3,39 7/12
84,Debussy_Prelude_Book_2_No_10_Canope,D,39 2/3,39 11/12
85,Debussy_Prelude_Book_2_No_10_Canope,D,39 2/3,39 11/12
86,Debussy_Prelude_Book_2_No_10_Canope,E-,40,40 1/4
87,Debussy_Prelude_Book_2_No_10_Canope,E-,40,40 1/4
88,Debussy_Prelude_Book_2_No_10_Canope,G#,40 1/2,40 3/4
89,Debussy_Prelude_Book_2_No_10_Canope,G#,40 1/2,40 3/4
90,Debussy_Prelude_Book_2_No_10_Canope,F#,41,43
91,Debussy_Prelude_Book_2_No_10_Canope,F#,41,43
92,Debussy_Prelude_Book_2_No_10_Canope,A,43,44
93,Debussy_Prelude_Book_2_No_10_Canope,A,43,44
94,Debussy_Prelude_Book_2_No_10_Canope,D,44,47 3/4
95,Debussy_Prelude_Book_2_No_10_Canope,E,44,47 3/4
96,Debussy_Prelude_Book_2_No_10_Canope,D,48,50 1/2
97,Debussy_Prelude_Book_2_No_10_Canope,E,50 1/2,51
98,Debussy_Prelude_Book_2_No_10_Canope,F,51,51 1/2
99,Debussy_Prelude_Book_2_No_10_Canope,G,51 1/2,52
100,Debussy_Prelude_Book_2_No_10_Canope,G,52,55 3/4
101,Debussy_Prelude_Book_2_No_10_Canope,C#,52,55 3/4
102,Debussy_Prelude_Book_2_No_10_Canope,C,56,58
103,Debussy_Prelude_Book_2_No_10_Canope,E-,58,60
104,Debussy_Prelude_Book_2_No_10_Canope,G,58,60
105,Debussy_Prelude_Book_2_No_10_Canope,C,60,62
106,Debussy_Prelude_Book_2_No_10_Canope,E-,62,65
107,Debussy_Prelude_Book_2_No_10_Canope,G,62,65
108,Debussy_Prelude_Book_2_No_10_Canope,E-,66,66 1/4
109,Debussy_Prelude_Book_2_No_10_Canope,E-,68,68 1/4
110,Debussy_Prelude_Book_2_No_10_Canope,A,68,68 1/4
111,Debussy_Prelude_Book_2_No_10_Canope,E-,70,70 1/4
112,Debussy_Prelude_Book_2_No_10_Canope,A,70,70 1/4
113,Debussy_Prelude_Book_2_No_10_Canope,A,73,74 1/3
114,Debussy_Prelude_Book_2_No_10_Canope,A,74 1/3,74 2/3
115,Debussy_Prelude_Book_2_No_10_Canope,A,74 2/3,75
116,Debussy_Prelude_Book_2_No_10_Canope,A,75,75 1/4
117,Debussy_Prelude_Book_2_No_10_Canope,A,75 1/3,75 2/3
118,Debussy_Prelude_Book_2_No_10_Canope,A,75 2/3,76
119,Debussy_Prelude_Book_2_No_10_Canope,E-,76,76 1/4
120,Debussy_Prelude_Book_2_No_10_Canope,A,76,76 1/4
121,Debussy_Prelude_Book_2_No_10_Canope,E-,78,78 1/4
122,Debussy_Prelude_Book_2_No_10_Canope,A,78,78 1/4
123,Debussy_Prelude_Book_2_No_10_Canope,G,81,87 2/3
124,Debussy_Prelude_Book_2_No_10_Canope,G,81,87 2/3
125,Debussy_Prelude_Book_2_No_10_Canope,G,89,95
126,Debussy_Prelude_Book_2_No_10_Canope,G,89,95
127,Debussy_Prelude_Book_2_No_10_Canope,G,95,96
128,Debussy_Prelude_Book_2_No_10_Canope,C,99,99 1/4
129,Debussy_Prelude_Book_2_No_10_Canope,E-,103,103 1/4
130,Debussy_Prelude_Book_2_No_10_Canope,E-,103,103 1/4
131,Debussy_Prelude_Book_2_No_10_Canope,F,109,110
132,Debussy_Prelude_Book_2_No_10_Canope,A,109,110
133,Debussy_Prelude_Book_2_No_10_Canope,D,109,110
134,Debussy_Prelude_Book_2_No_10_Canope,C,110,111
135,Debussy_Prelude_Book_2_No_10_Canope,E,110,111
136,Debussy_Prelude_Book_2_No_10_Canope,A,110,111
137,Debussy_Prelude_Book_2_No_10_Canope,E,111,112
138,Debussy_Prelude_Book_2_No_10_Canope,G,111,112
139,Debussy_Prelude_Book_2_No_10_Canope,C,111,112
140,Debussy_Prelude_Book_2_No_10_Canope,G,112,113
141,Debussy_Prelude_Book_2_No_10_Canope,B,112,113
142,Debussy_Prelude_Book_2_No_10_Canope,E,112,113
143,Debussy_Prelude_Book_2_No_10_Canope,F,113,114
144,Debussy_Prelude_Book_2_No_10_Canope,A,113,114
145,Debussy_Prelude_Book_2_No_10_Canope,D,113,114
