,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,212 3/4,213 3/4
1,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,212 3/4,213 3/4
2,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E-,213 3/4,214 3/4
3,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G,213 3/4,214 3/4
4,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,214 3/4,215 3/4
5,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,214 3/4,215 3/4
6,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,D,220,220 1/4
7,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F#,220,220 1/4
8,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,D,220,220 3/4
9,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F#,220,220 3/4
10,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,224,224 3/4
11,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,224,224 3/4
12,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,224 3/4,226
13,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,224 3/4,226
14,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F,226,226 3/4
15,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,226,226 3/4
16,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F,226 3/4,227 3/4
17,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,226 3/4,227 3/4
18,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,227 3/4,228 3/4
19,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,227 3/4,228 3/4
20,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B,228 3/4,229 3/4
21,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E-,228 3/4,229 3/4
22,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E-,229 3/4,230 3/4
23,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G,229 3/4,230 3/4
24,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F#,230 3/4,232
25,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B-,230 3/4,232
26,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,328,330 3/4
27,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E,328,330 3/4
28,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,0,1
29,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E,0,1
30,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,D,1,2
31,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F#,1,2
32,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F,2,3
33,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,A,2,3
34,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G,3,7 3/4
35,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B,3,7 3/4
36,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,8,9
37,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,8,9
38,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B-,9,10
39,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,D,9,10
40,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C#,10,11
41,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F,10,11
42,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E-,11,12
43,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G,11,12
44,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C#,13,13 1/2
45,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F,13,13 1/2
46,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E-,13 1/2,14
47,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G,13 1/2,14
48,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E,14,15
49,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,14,15
50,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F#,15,17 3/4
51,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B-,15,17 3/4
52,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C#,19,19 1/2
53,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F,19,19 1/2
54,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E-,19 1/2,20
55,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G,19 1/2,20
56,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F,22,22 1/4
57,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,A,22,22 1/4
58,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B,22 1/4,22 1/2
59,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,D,22 1/4,22 1/2
60,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,22 1/2,22 3/4
61,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E,22 1/2,22 3/4
62,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B,22 3/4,23
63,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,D,22 3/4,23
64,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,F,23,23 1/4
65,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,A,23,23 1/4
66,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B,23 1/4,23 1/2
67,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,D,23 1/4,23 1/2
68,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,C,23 1/2,23 3/4
69,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E,23 1/2,23 3/4
70,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B,23 3/4,24
71,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,D,23 3/4,24
72,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,E,24,24 1/4
73,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,G#,24,24 1/4
74,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,B,24 1/4,24 1/2
75,Debussy_Prelude_Book_2_No_11_-_Les_tierces_alternes,D,24 1/4,24 1/2
