,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,4,4 1/4
1,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,4,4 1/4
2,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,6,6 1/4
3,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,6,6 1/4
4,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,8,8 1/4
5,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,8,8 1/4
6,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,10,10 1/4
7,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,10,10 1/4
8,Debussy_Prelude_Book_2_No_12_Feux_dartifice,C,12,12 1/3
9,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,12,12 1/3
10,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,14,14 1/4
11,Debussy_Prelude_Book_2_No_12_Feux_dartifice,C,14,14 1/4
12,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,14,14 1/4
13,Debussy_Prelude_Book_2_No_12_Feux_dartifice,C,16,16 1/3
14,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,16,16 1/3
15,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,18,18 1/4
16,Debussy_Prelude_Book_2_No_12_Feux_dartifice,C,18,18 1/4
17,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,18,18 1/4
18,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,20 1/2,20 3/4
19,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,20 1/2,20 3/4
20,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,21 1/2,21 3/4
21,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,21 1/2,21 3/4
22,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,22 1/2,22 3/4
23,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,22 1/2,22 3/4
24,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,23 1/2,23 3/4
25,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,23 1/2,23 3/4
26,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,24 1/2,24 3/4
27,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,24 1/2,24 3/4
28,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,25 1/2,25 3/4
29,Debussy_Prelude_Book_2_No_12_Feux_dartifice,G#,25 1/2,25 3/4
30,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,26 1/2,26 3/4
31,Debussy_Prelude_Book_2_No_12_Feux_dartifice,D,26 1/2,26 3/4
