,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_1_Brouillards,B-,0,1/4
1,Debussy_Prelude_Book_2_No_1_Brouillards,F#,1/4,1/2
2,Debussy_Prelude_Book_2_No_1_Brouillards,G#,2/3,11/12
3,Debussy_Prelude_Book_2_No_1_Brouillards,B-,1,1 1/4
4,Debussy_Prelude_Book_2_No_1_Brouillards,F#,1 1/4,1 1/2
5,Debussy_Prelude_Book_2_No_1_Brouillards,G#,1 2/3,1 11/12
6,Debussy_Prelude_Book_2_No_1_Brouillards,B-,2,2 1/4
7,Debussy_Prelude_Book_2_No_1_Brouillards,C#,2 1/2,2 3/4
8,Debussy_Prelude_Book_2_No_1_Brouillards,C#,2 3/4,3
9,Debussy_Prelude_Book_2_No_1_Brouillards,C#,3,3 1/4
10,Debussy_Prelude_Book_2_No_1_Brouillards,C#,3 1/2,3 3/4
11,Debussy_Prelude_Book_2_No_1_Brouillards,C#,3 3/4,4
12,Debussy_Prelude_Book_2_No_1_Brouillards,C#,4,4 1/4
13,Debussy_Prelude_Book_2_No_1_Brouillards,F#,4 1/4,4 1/2
14,Debussy_Prelude_Book_2_No_1_Brouillards,G#,4 2/3,4 11/12
15,Debussy_Prelude_Book_2_No_1_Brouillards,B-,5,5 1/4
16,Debussy_Prelude_Book_2_No_1_Brouillards,E-,5 1/4,5 1/2
17,Debussy_Prelude_Book_2_No_1_Brouillards,C#,5 1/2,5 3/4
18,Debussy_Prelude_Book_2_No_1_Brouillards,G#,5 3/4,6
19,Debussy_Prelude_Book_2_No_1_Brouillards,E-,6,6 1/4
20,Debussy_Prelude_Book_2_No_1_Brouillards,C#,6 1/2,6 3/4
21,Debussy_Prelude_Book_2_No_1_Brouillards,G#,6 3/4,7
22,Debussy_Prelude_Book_2_No_1_Brouillards,E-,7,7 1/4
23,Debussy_Prelude_Book_2_No_1_Brouillards,C#,7 1/2,7 3/4
24,Debussy_Prelude_Book_2_No_1_Brouillards,G#,7 3/4,8
25,Debussy_Prelude_Book_2_No_1_Brouillards,E-,8,8 1/4
26,Debussy_Prelude_Book_2_No_1_Brouillards,F#,18 1/2,22 1/2
27,Debussy_Prelude_Book_2_No_1_Brouillards,G,22 1/2,22 3/4
28,Debussy_Prelude_Book_2_No_1_Brouillards,D,23 1/2,23 3/4
29,Debussy_Prelude_Book_2_No_1_Brouillards,B-,25 1/2,26 1/2
30,Debussy_Prelude_Book_2_No_1_Brouillards,F#,26 1/2,30 1/2
31,Debussy_Prelude_Book_2_No_1_Brouillards,C#,36 1/2,36 3/4
32,Debussy_Prelude_Book_2_No_1_Brouillards,C#,36 1/2,36 3/4
33,Debussy_Prelude_Book_2_No_1_Brouillards,D,36 3/4,37
34,Debussy_Prelude_Book_2_No_1_Brouillards,D,36 3/4,37
35,Debussy_Prelude_Book_2_No_1_Brouillards,D,37,38
36,Debussy_Prelude_Book_2_No_1_Brouillards,D,37,38
37,Debussy_Prelude_Book_2_No_1_Brouillards,G,38,38 1/4
38,Debussy_Prelude_Book_2_No_1_Brouillards,G,38,38 1/4
39,Debussy_Prelude_Book_2_No_1_Brouillards,E-,38 1/2,38 3/4
40,Debussy_Prelude_Book_2_No_1_Brouillards,E-,38 1/2,38 3/4
41,Debussy_Prelude_Book_2_No_1_Brouillards,G#,39,40
42,Debussy_Prelude_Book_2_No_1_Brouillards,G#,39,40
43,Debussy_Prelude_Book_2_No_1_Brouillards,E,40,40 1/4
44,Debussy_Prelude_Book_2_No_1_Brouillards,E,40,40 1/4
45,Debussy_Prelude_Book_2_No_1_Brouillards,C#,40 1/2,40 3/4
46,Debussy_Prelude_Book_2_No_1_Brouillards,C#,40 1/2,40 3/4
47,Debussy_Prelude_Book_2_No_1_Brouillards,C#,41,42 1/2
48,Debussy_Prelude_Book_2_No_1_Brouillards,C#,41,42 1/2
49,Debussy_Prelude_Book_2_No_1_Brouillards,C#,42 1/2,42 3/4
50,Debussy_Prelude_Book_2_No_1_Brouillards,C#,42 1/2,42 3/4
51,Debussy_Prelude_Book_2_No_1_Brouillards,C#,43,44 1/4
52,Debussy_Prelude_Book_2_No_1_Brouillards,C#,44 1/2,44 3/4
53,Debussy_Prelude_Book_2_No_1_Brouillards,C#,44 1/2,44 3/4
54,Debussy_Prelude_Book_2_No_1_Brouillards,D,44 3/4,45
55,Debussy_Prelude_Book_2_No_1_Brouillards,D,44 3/4,45
56,Debussy_Prelude_Book_2_No_1_Brouillards,D,45,46
57,Debussy_Prelude_Book_2_No_1_Brouillards,D,45,46
58,Debussy_Prelude_Book_2_No_1_Brouillards,G,46,46 1/4
59,Debussy_Prelude_Book_2_No_1_Brouillards,G,46,46 1/4
60,Debussy_Prelude_Book_2_No_1_Brouillards,E,46 1/2,46 3/4
61,Debussy_Prelude_Book_2_No_1_Brouillards,E,46 1/2,46 3/4
62,Debussy_Prelude_Book_2_No_1_Brouillards,A,47,48
63,Debussy_Prelude_Book_2_No_1_Brouillards,A,47,48
64,Debussy_Prelude_Book_2_No_1_Brouillards,F,48,48 1/4
65,Debussy_Prelude_Book_2_No_1_Brouillards,F,48,48 1/4
66,Debussy_Prelude_Book_2_No_1_Brouillards,C#,48 1/2,48 3/4
67,Debussy_Prelude_Book_2_No_1_Brouillards,C#,48 1/2,48 3/4
68,Debussy_Prelude_Book_2_No_1_Brouillards,C#,49,50 1/2
69,Debussy_Prelude_Book_2_No_1_Brouillards,C#,49,50 1/2
70,Debussy_Prelude_Book_2_No_1_Brouillards,C#,52,52 1/4
71,Debussy_Prelude_Book_2_No_1_Brouillards,C#,52 1/4,52 1/2
72,Debussy_Prelude_Book_2_No_1_Brouillards,C#,53,53 1/4
73,Debussy_Prelude_Book_2_No_1_Brouillards,C#,53 1/4,53 1/2
74,Debussy_Prelude_Book_2_No_1_Brouillards,B-,53 2/3,53 11/12
75,Debussy_Prelude_Book_2_No_1_Brouillards,C#,54,54 1/4
76,Debussy_Prelude_Book_2_No_1_Brouillards,E,54 1/4,54 1/2
77,Debussy_Prelude_Book_2_No_1_Brouillards,F#,54 2/3,54 11/12
78,Debussy_Prelude_Book_2_No_1_Brouillards,G#,55,55 1/4
79,Debussy_Prelude_Book_2_No_1_Brouillards,B-,55 1/4,55 1/2
80,Debussy_Prelude_Book_2_No_1_Brouillards,B-,56,56 1/4
81,Debussy_Prelude_Book_2_No_1_Brouillards,G#,56 1/4,56 1/2
82,Debussy_Prelude_Book_2_No_1_Brouillards,C,56 1/2,56 3/4
83,Debussy_Prelude_Book_2_No_1_Brouillards,G#,56 3/4,57
84,Debussy_Prelude_Book_2_No_1_Brouillards,F,57,57 1/4
85,Debussy_Prelude_Book_2_No_1_Brouillards,B-,57 1/4,57 1/2
86,Debussy_Prelude_Book_2_No_1_Brouillards,B-,58,58 1/4
87,Debussy_Prelude_Book_2_No_1_Brouillards,G#,58 1/4,58 1/2
88,Debussy_Prelude_Book_2_No_1_Brouillards,G,58 1/2,58 3/4
89,Debussy_Prelude_Book_2_No_1_Brouillards,D,58 3/4,59
90,Debussy_Prelude_Book_2_No_1_Brouillards,D,59,59 1/4
91,Debussy_Prelude_Book_2_No_1_Brouillards,F#,59 1/4,59 1/2
92,Debussy_Prelude_Book_2_No_1_Brouillards,G,59 1/4,59 1/2
93,Debussy_Prelude_Book_2_No_1_Brouillards,F#,59 1/2,59 3/4
94,Debussy_Prelude_Book_2_No_1_Brouillards,G,59 1/2,59 3/4
95,Debussy_Prelude_Book_2_No_1_Brouillards,G,59 3/4,60
96,Debussy_Prelude_Book_2_No_1_Brouillards,C#,59 3/4,60
97,Debussy_Prelude_Book_2_No_1_Brouillards,F#,60,60 1/4
98,Debussy_Prelude_Book_2_No_1_Brouillards,G,61,61 1/4
99,Debussy_Prelude_Book_2_No_1_Brouillards,C#,61,61 1/4
100,Debussy_Prelude_Book_2_No_1_Brouillards,F#,61 1/4,61 1/2
101,Debussy_Prelude_Book_2_No_1_Brouillards,G,61 1/4,61 1/2
102,Debussy_Prelude_Book_2_No_1_Brouillards,F#,61 1/2,61 3/4
103,Debussy_Prelude_Book_2_No_1_Brouillards,G,61 1/2,61 3/4
104,Debussy_Prelude_Book_2_No_1_Brouillards,G,61 3/4,62
105,Debussy_Prelude_Book_2_No_1_Brouillards,C#,61 3/4,62
106,Debussy_Prelude_Book_2_No_1_Brouillards,F#,62,62 1/4
107,Debussy_Prelude_Book_2_No_1_Brouillards,D,65,65 1/4
108,Debussy_Prelude_Book_2_No_1_Brouillards,E-,65,65 1/4
109,Debussy_Prelude_Book_2_No_1_Brouillards,E-,65 1/4,65 1/2
110,Debussy_Prelude_Book_2_No_1_Brouillards,G#,65 1/4,65 1/2
111,Debussy_Prelude_Book_2_No_1_Brouillards,G#,65 1/2,65 3/4
112,Debussy_Prelude_Book_2_No_1_Brouillards,E-,65 1/2,65 3/4
113,Debussy_Prelude_Book_2_No_1_Brouillards,E-,65 3/4,66
114,Debussy_Prelude_Book_2_No_1_Brouillards,E-,65 3/4,66
115,Debussy_Prelude_Book_2_No_1_Brouillards,G#,66,66 1/4
116,Debussy_Prelude_Book_2_No_1_Brouillards,D,66,66 1/4
117,Debussy_Prelude_Book_2_No_1_Brouillards,E-,66 1/4,66 1/2
118,Debussy_Prelude_Book_2_No_1_Brouillards,E-,66 1/4,66 1/2
119,Debussy_Prelude_Book_2_No_1_Brouillards,E-,66 1/2,66 3/4
120,Debussy_Prelude_Book_2_No_1_Brouillards,G#,66 1/2,66 3/4
121,Debussy_Prelude_Book_2_No_1_Brouillards,G#,66 3/4,67
122,Debussy_Prelude_Book_2_No_1_Brouillards,E-,66 3/4,67
123,Debussy_Prelude_Book_2_No_1_Brouillards,E-,67,67 1/4
124,Debussy_Prelude_Book_2_No_1_Brouillards,G#,67,67 1/4
125,Debussy_Prelude_Book_2_No_1_Brouillards,E-,67 1/4,67 1/2
126,Debussy_Prelude_Book_2_No_1_Brouillards,E-,67 1/4,67 1/2
127,Debussy_Prelude_Book_2_No_1_Brouillards,E-,67 1/2,67 3/4
128,Debussy_Prelude_Book_2_No_1_Brouillards,G#,67 1/2,67 3/4
129,Debussy_Prelude_Book_2_No_1_Brouillards,G#,67 3/4,68
130,Debussy_Prelude_Book_2_No_1_Brouillards,E-,67 3/4,68
131,Debussy_Prelude_Book_2_No_1_Brouillards,E-,68,68 1/4
132,Debussy_Prelude_Book_2_No_1_Brouillards,G#,68,68 1/4
133,Debussy_Prelude_Book_2_No_1_Brouillards,E-,68 1/4,68 1/2
134,Debussy_Prelude_Book_2_No_1_Brouillards,E-,68 1/4,68 1/2
135,Debussy_Prelude_Book_2_No_1_Brouillards,E-,68 1/2,68 3/4
136,Debussy_Prelude_Book_2_No_1_Brouillards,G#,68 1/2,68 3/4
137,Debussy_Prelude_Book_2_No_1_Brouillards,G#,68 3/4,69
138,Debussy_Prelude_Book_2_No_1_Brouillards,E-,68 3/4,69
139,Debussy_Prelude_Book_2_No_1_Brouillards,E-,69,69 1/4
140,Debussy_Prelude_Book_2_No_1_Brouillards,G#,69,69 1/4
141,Debussy_Prelude_Book_2_No_1_Brouillards,E-,69 1/4,69 1/2
142,Debussy_Prelude_Book_2_No_1_Brouillards,E-,69 1/4,69 1/2
143,Debussy_Prelude_Book_2_No_1_Brouillards,E-,69 1/2,69 3/4
144,Debussy_Prelude_Book_2_No_1_Brouillards,G#,69 1/2,69 3/4
145,Debussy_Prelude_Book_2_No_1_Brouillards,G#,69 3/4,70
146,Debussy_Prelude_Book_2_No_1_Brouillards,E-,69 3/4,70
147,Debussy_Prelude_Book_2_No_1_Brouillards,E-,70,70 1/4
148,Debussy_Prelude_Book_2_No_1_Brouillards,G#,70,70 1/4
149,Debussy_Prelude_Book_2_No_1_Brouillards,E-,70 1/4,70 1/2
150,Debussy_Prelude_Book_2_No_1_Brouillards,E-,70 1/4,70 1/2
151,Debussy_Prelude_Book_2_No_1_Brouillards,E-,70 1/2,70 3/4
152,Debussy_Prelude_Book_2_No_1_Brouillards,G#,70 1/2,70 3/4
153,Debussy_Prelude_Book_2_No_1_Brouillards,G#,70 3/4,71
154,Debussy_Prelude_Book_2_No_1_Brouillards,E-,70 3/4,71
155,Debussy_Prelude_Book_2_No_1_Brouillards,E-,71,71 1/4
156,Debussy_Prelude_Book_2_No_1_Brouillards,G#,71,71 1/4
157,Debussy_Prelude_Book_2_No_1_Brouillards,E-,71 1/4,71 1/2
158,Debussy_Prelude_Book_2_No_1_Brouillards,E-,71 1/4,71 1/2
159,Debussy_Prelude_Book_2_No_1_Brouillards,E-,71 1/2,71 3/4
160,Debussy_Prelude_Book_2_No_1_Brouillards,G#,71 1/2,71 3/4
161,Debussy_Prelude_Book_2_No_1_Brouillards,G#,71 3/4,72
162,Debussy_Prelude_Book_2_No_1_Brouillards,E-,71 3/4,72
163,Debussy_Prelude_Book_2_No_1_Brouillards,E-,72,72 1/4
164,Debussy_Prelude_Book_2_No_1_Brouillards,G#,72,72 1/4
165,Debussy_Prelude_Book_2_No_1_Brouillards,C#,72 1/4,72 1/2
166,Debussy_Prelude_Book_2_No_1_Brouillards,C#,72 1/4,72 1/2
167,Debussy_Prelude_Book_2_No_1_Brouillards,C#,72 1/2,72 3/4
168,Debussy_Prelude_Book_2_No_1_Brouillards,F#,72 1/2,72 3/4
169,Debussy_Prelude_Book_2_No_1_Brouillards,F#,72 3/4,73
170,Debussy_Prelude_Book_2_No_1_Brouillards,C#,72 3/4,73
171,Debussy_Prelude_Book_2_No_1_Brouillards,C#,73,73 1/4
172,Debussy_Prelude_Book_2_No_1_Brouillards,F#,73,73 1/4
173,Debussy_Prelude_Book_2_No_1_Brouillards,G#,73 1/4,73 1/2
174,Debussy_Prelude_Book_2_No_1_Brouillards,G#,73 1/4,73 1/2
175,Debussy_Prelude_Book_2_No_1_Brouillards,G#,73 1/2,73 3/4
176,Debussy_Prelude_Book_2_No_1_Brouillards,C#,73 1/2,73 3/4
177,Debussy_Prelude_Book_2_No_1_Brouillards,C#,73 3/4,74
178,Debussy_Prelude_Book_2_No_1_Brouillards,G#,73 3/4,74
179,Debussy_Prelude_Book_2_No_1_Brouillards,G#,74,74 1/4
180,Debussy_Prelude_Book_2_No_1_Brouillards,C#,74,74 1/4
