,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E,0,3
1,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B-,0,3
2,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C#,0,3
3,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,F#,0,3
4,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,D,3,4 1/2
5,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E,3,4 1/2
6,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C#,4 1/2,5
7,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C#,4 1/2,5
8,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,D,5,5 1/2
9,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,D,5,5 1/2
10,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B,5 1/2,6
11,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B,5 1/2,6
12,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E,6,9
13,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B-,6,9
14,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B-,9 1/2,10
15,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,G,10,10 1/4
16,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,G#,10 1/4,10 1/2
17,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,A,10 1/2,11
18,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,F,11,11 1/2
19,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C#,11 1/2,12
20,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,D,12,12 1/4
21,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E-,12 1/4,12 1/2
22,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E,12 1/2,13
23,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C,13,13 1/2
24,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,A,13 1/2,14
25,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,G,14 1/2,15
26,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B,14 1/2,15
27,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C#,14 1/2,15
28,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E,14 1/2,15
29,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,F#,15 1/2,15 3/4
30,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B,15 1/2,15 3/4
31,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C#,15 1/2,15 3/4
32,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E-,15 1/2,15 3/4
33,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,F#,16,17
34,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B,16,17
35,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C#,16,17
36,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E-,16,17
37,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,F,17 1/2,17 3/4
38,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B-,17 1/2,17 3/4
39,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C,17 1/2,17 3/4
40,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,D,17 1/2,17 3/4
41,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,F#,17 3/4,20
42,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B,17 3/4,20
43,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C#,17 3/4,20
44,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E-,17 3/4,20
45,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,B,20 1/2,21 1/2
46,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,C#,20 1/2,21 1/2
47,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E-,20 1/2,21 1/2
48,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,G#,20 1/2,21 1/2
49,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,F#,21 1/2,22
50,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,G#,21 1/2,22
51,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,A,21 1/2,22
52,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,E-,21 1/2,22
53,Debussy_Prelude_Book_2_No_2_Feuilles_mortes,A,22,22 3/4
