,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,1,1 1/4
1,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,A,1 1/2,1 3/4
2,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,3,3 1/4
3,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,A,3 1/2,3 3/4
4,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,B,8,13
5,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,C,13,15
6,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,15,16 1/3
7,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,16 1/3,16 2/3
8,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,16 2/3,17
9,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,17,17 1/2
10,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,17 1/2,18
11,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,18 1/3,18 2/3
12,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,18 2/3,19
13,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,19,19 1/2
14,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,19 1/2,20
15,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,20,20 3/4
16,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,F,20 3/4,21
17,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,F,21,21 1/4
18,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,23,24 3/4
19,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,F,24 3/4,25
20,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,G#,24 3/4,25
21,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,F,25,25 1/4
22,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E-,25 3/4,26
23,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,C,25 3/4,26
24,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E-,26,26 1/4
25,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,F,26 3/4,27
26,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,G#,26 3/4,27
27,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,F,27,27 1/4
28,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E-,27 3/4,28
29,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,C,27 3/4,28
30,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E-,28,28 1/4
31,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E-,31 3/4,32
32,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,31 3/4,32
33,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,B,32,32 1/4
34,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,G#,32,32 1/4
35,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,32 1/3,32 7/12
36,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,32 2/3,32 11/12
37,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,33,33 1/4
38,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E-,33 1/2,33 3/4
39,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E-,34,34 1/4
40,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,34 1/3,34 7/12
41,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,34 2/3,34 11/12
42,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,35,35 1/4
43,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,C#,35 1/2,35 3/4
44,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,C#,36,39 3/4
45,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,F,36,39 3/4
46,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,40,41 3/4
47,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,44,44 1/3
48,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,C#,44 1/3,44 2/3
49,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,C#,44 2/3,47 11/12
50,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,48,48 1/4
51,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,C,48 1/4,48 1/2
52,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,48 2/3,48 11/12
53,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,48 2/3,48 11/12
54,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,49,49 1/4
55,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,49,49 1/4
56,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,F,49 1/3,49 7/12
57,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,F,49 1/3,49 7/12
58,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,49 2/3,49 11/12
59,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,E,49 2/3,49 11/12
60,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,50,50 1/4
61,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,B-,50 1/4,50 1/2
62,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,50 2/3,50 11/12
63,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,50 2/3,50 11/12
64,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,51,51 1/4
65,Debussy_Prelude_Book_2_No_3_La_puerta_del_vino,D,51,51 1/4
