,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,6,6 1/4
1,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,6 1/4,6 1/2
2,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,6 1/2,6 3/4
3,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,6 3/4,7
4,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,7,7 1/4
5,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,7 1/4,7 1/2
6,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,7 1/2,7 3/4
7,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,7 1/2,7 3/4
8,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,7 3/4,8
9,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,7 3/4,8
10,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,8,8 1/4
11,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,8,8 1/4
12,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,8 1/4,8 1/2
13,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,8 1/4,8 1/2
14,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,8 1/2,8 3/4
15,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,8 1/2,8 3/4
16,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,8 3/4,9
17,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,8 3/4,9
18,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,9,9 1/4
19,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,9,9 1/4
20,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,9 1/4,9 1/2
21,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,9 1/4,9 1/2
22,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,9 1/2,9 3/4
23,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,9 1/2,9 3/4
24,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,9 3/4,10
25,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,9 3/4,10
26,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,10,10 1/4
27,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,10,10 1/4
28,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,10 1/4,10 1/2
29,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,10 1/4,10 1/2
30,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,10 1/2,10 3/4
31,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,10 1/2,10 3/4
32,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,10 3/4,11
33,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,B-,10 3/4,11
34,Debussy_Prelude_Book_2_No_4_Les_fees_sont_dexquises_danseuses,E-,11,11 1/4
