,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_5_Bruyres,E-,2 1/2,3
1,Debussy_Prelude_Book_2_No_5_Bruyres,C,3,3 1/2
2,Debussy_Prelude_Book_2_No_5_Bruyres,B-,3 1/2,3 3/4
3,Debussy_Prelude_Book_2_No_5_Bruyres,C,3 3/4,4
4,Debussy_Prelude_Book_2_No_5_Bruyres,G,4,4 1/2
5,Debussy_Prelude_Book_2_No_5_Bruyres,B-,4 1/2,5
6,Debussy_Prelude_Book_2_No_5_Bruyres,F,5,5 1/2
7,Debussy_Prelude_Book_2_No_5_Bruyres,E-,5 1/2,6
8,Debussy_Prelude_Book_2_No_5_Bruyres,C,6,8
9,Debussy_Prelude_Book_2_No_5_Bruyres,C,11,11 1/2
10,Debussy_Prelude_Book_2_No_5_Bruyres,B-,11 1/2,11 3/4
11,Debussy_Prelude_Book_2_No_5_Bruyres,C,11 3/4,12
12,Debussy_Prelude_Book_2_No_5_Bruyres,C#,12,14 3/4
13,Debussy_Prelude_Book_2_No_5_Bruyres,C,14 3/4,15
14,Debussy_Prelude_Book_2_No_5_Bruyres,C,15,17
15,Debussy_Prelude_Book_2_No_5_Bruyres,E-,15,17
16,Debussy_Prelude_Book_2_No_5_Bruyres,C,18,18 3/4
17,Debussy_Prelude_Book_2_No_5_Bruyres,E-,18 3/4,19
18,Debussy_Prelude_Book_2_No_5_Bruyres,C#,19,19 1/2
19,Debussy_Prelude_Book_2_No_5_Bruyres,F,19,19 1/2
20,Debussy_Prelude_Book_2_No_5_Bruyres,C,19 1/2,20
21,Debussy_Prelude_Book_2_No_5_Bruyres,E-,19 1/2,20
22,Debussy_Prelude_Book_2_No_5_Bruyres,G#,19 1/2,20
23,Debussy_Prelude_Book_2_No_5_Bruyres,C#,20,20 1/2
24,Debussy_Prelude_Book_2_No_5_Bruyres,F#,20,20 1/2
25,Debussy_Prelude_Book_2_No_5_Bruyres,B-,20,20 1/2
26,Debussy_Prelude_Book_2_No_5_Bruyres,F,20 1/2,21
27,Debussy_Prelude_Book_2_No_5_Bruyres,G#,20 1/2,21
28,Debussy_Prelude_Book_2_No_5_Bruyres,C#,20 1/2,21
29,Debussy_Prelude_Book_2_No_5_Bruyres,F,20 1/2,21
30,Debussy_Prelude_Book_2_No_5_Bruyres,C,21,21 3/4
31,Debussy_Prelude_Book_2_No_5_Bruyres,E-,21 3/4,22
32,Debussy_Prelude_Book_2_No_5_Bruyres,F,22,22 1/2
33,Debussy_Prelude_Book_2_No_5_Bruyres,C#,22 1/2,23
34,Debussy_Prelude_Book_2_No_5_Bruyres,B-,23,23 1/2
35,Debussy_Prelude_Book_2_No_5_Bruyres,F,23 1/2,24
36,Debussy_Prelude_Book_2_No_5_Bruyres,G#,24,25
37,Debussy_Prelude_Book_2_No_5_Bruyres,C,24,25
38,Debussy_Prelude_Book_2_No_5_Bruyres,C#,25,25 1/4
39,Debussy_Prelude_Book_2_No_5_Bruyres,C,25 1/4,25 1/2
40,Debussy_Prelude_Book_2_No_5_Bruyres,B-,25 1/2,25 3/4
41,Debussy_Prelude_Book_2_No_5_Bruyres,G#,25 3/4,26
42,Debussy_Prelude_Book_2_No_5_Bruyres,B-,26,26 1/4
43,Debussy_Prelude_Book_2_No_5_Bruyres,G#,26 1/4,26 1/2
44,Debussy_Prelude_Book_2_No_5_Bruyres,G,26 1/2,26 3/4
45,Debussy_Prelude_Book_2_No_5_Bruyres,F,26 3/4,27
46,Debussy_Prelude_Book_2_No_5_Bruyres,C,27,27 3/4
