,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,E-,2,2 1/4
1,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,F#,2,2 1/4
2,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,B-,2,2 1/4
3,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,G,2 1/2,2 3/4
4,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,B,2 1/2,2 3/4
5,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,D,2 1/2,2 3/4
6,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,B-,3,3 1/4
7,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,C#,3,3 1/4
8,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,F,3,3 1/4
9,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,G,3 1/2,3 3/4
10,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,B,3 1/2,3 3/4
11,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,D,3 1/2,3 3/4
12,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,E-,4,4 1/4
13,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,F#,4,4 1/4
14,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,B-,4,4 1/4
15,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,E-,6,6 1/4
16,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,F#,6,6 1/4
17,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,B-,6,6 1/4
18,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,G,6 1/2,6 3/4
19,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,B,6 1/2,6 3/4
20,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,D,6 1/2,6 3/4
21,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,B-,7,7 1/4
22,Debussy_Prelude_Book_2_No_6_General_Lavine_-_excentric,C#,7,7 1/4
