,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,2 1/2,2 3/4
1,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,2 3/4,3
2,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,3,3 1/4
3,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,3 1/4,3 1/2
4,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,C#,3 1/2,3 3/4
5,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B,3 3/4,4
6,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,4,4 1/4
7,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,4 1/4,4 1/2
8,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,4 1/2,4 3/4
9,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,4 3/4,5
10,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,C#,5,5 1/4
11,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B,5 1/4,5 1/2
12,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,5 1/2,5 5/6
13,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B,6,7
14,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,C#,6,7
15,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,D,7,7 1/2
16,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,7,7 1/2
17,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G#,7,7 1/2
18,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B-,7,7 1/2
19,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B,7 1/2,8 1/2
20,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,C#,7 1/2,8 1/2
21,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,D,8 1/2,9
22,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,8 1/2,9
23,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G#,8 1/2,9
24,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B-,8 1/2,9
25,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,D,10 1/4,10 1/2
26,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,10 1/4,10 1/2
27,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G#,10 1/4,10 1/2
28,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B-,10 1/4,10 1/2
29,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,D,11 1/4,11 1/2
30,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,11 1/4,11 1/2
31,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G#,11 1/4,11 1/2
32,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B-,11 1/4,11 1/2
33,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,A,11 3/4,12
34,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,C,11 3/4,12
35,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,E-,11 3/4,12
36,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,11 3/4,12
37,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,12 1/2,12 3/4
38,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,12 3/4,13
39,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,13,13 1/4
40,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,13 1/4,13 1/2
41,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,C#,13 1/2,13 3/4
42,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B,13 3/4,14
43,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,14,14 1/4
44,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,14 1/4,14 1/2
45,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,14 1/2,14 3/4
46,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,14 3/4,15
47,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,C#,15,15 1/4
48,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B,15 1/4,15 1/2
49,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,15 1/2,15 3/4
50,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,15 3/4,16
51,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,16,16 1/4
52,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,16 1/4,16 1/2
53,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F#,18 1/2,18 3/4
54,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B-,18 1/2,18 3/4
55,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,E-,18 1/2,18 3/4
56,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F#,18 1/2,18 3/4
57,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F#,18 3/4,19
58,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B-,18 3/4,19
59,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,E-,18 3/4,19
60,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F#,18 3/4,19
61,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F#,19,19 1/4
62,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B-,19,19 1/4
63,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,E-,19,19 1/4
64,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F#,19,19 1/4
65,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,19 1/4,19 1/2
66,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B,19 1/4,19 1/2
67,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,E,19 1/4,19 1/2
68,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,G,19 1/4,19 1/2
69,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F#,19 1/2,19 3/4
70,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,B-,19 1/2,19 3/4
71,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,E-,19 1/2,19 3/4
72,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F#,19 1/2,19 3/4
73,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,D,20,20 1/4
74,Debussy_Prelude_Book_2_No_7_La_terrasse_des_audiences_du_clair_de_lune,F,20,20 1/4
