,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_8_Ondine,G,1/2,3/4
1,Debussy_Prelude_Book_2_No_8_Ondine,A,1/2,3/4
2,Debussy_Prelude_Book_2_No_8_Ondine,B-,1/2,3/4
3,Debussy_Prelude_Book_2_No_8_Ondine,C#,1,2
4,Debussy_Prelude_Book_2_No_8_Ondine,F,1,2
5,Debussy_Prelude_Book_2_No_8_Ondine,G,2,2 1/4
6,Debussy_Prelude_Book_2_No_8_Ondine,A,2,2 1/4
7,Debussy_Prelude_Book_2_No_8_Ondine,B-,2,2 1/4
8,Debussy_Prelude_Book_2_No_8_Ondine,C#,2 1/2,5 1/2
9,Debussy_Prelude_Book_2_No_8_Ondine,D,12,12 1/4
10,Debussy_Prelude_Book_2_No_8_Ondine,G#,12 1/4,12 1/2
11,Debussy_Prelude_Book_2_No_8_Ondine,B-,12 1/2,12 3/4
12,Debussy_Prelude_Book_2_No_8_Ondine,B,12 3/4,13
13,Debussy_Prelude_Book_2_No_8_Ondine,B-,13,13 1/4
14,Debussy_Prelude_Book_2_No_8_Ondine,A,13 1/4,13 1/2
15,Debussy_Prelude_Book_2_No_8_Ondine,D,18,18 1/4
16,Debussy_Prelude_Book_2_No_8_Ondine,G#,18 1/4,18 1/2
17,Debussy_Prelude_Book_2_No_8_Ondine,B-,18 1/2,18 3/4
18,Debussy_Prelude_Book_2_No_8_Ondine,B,18 3/4,19
19,Debussy_Prelude_Book_2_No_8_Ondine,B-,19,19 1/4
20,Debussy_Prelude_Book_2_No_8_Ondine,A,19 1/4,19 1/2
21,Debussy_Prelude_Book_2_No_8_Ondine,G,21,21 1/4
22,Debussy_Prelude_Book_2_No_8_Ondine,C#,21 1/4,21 1/2
23,Debussy_Prelude_Book_2_No_8_Ondine,E-,21 1/2,21 3/4
24,Debussy_Prelude_Book_2_No_8_Ondine,E,21 3/4,22
25,Debussy_Prelude_Book_2_No_8_Ondine,E-,22,22 1/4
26,Debussy_Prelude_Book_2_No_8_Ondine,D,22 1/4,22 1/2
27,Debussy_Prelude_Book_2_No_8_Ondine,G,23 1/2,23 3/4
28,Debussy_Prelude_Book_2_No_8_Ondine,C,23 3/4,24
29,Debussy_Prelude_Book_2_No_8_Ondine,D,24,24 1/2
30,Debussy_Prelude_Book_2_No_8_Ondine,E-,24 1/2,24 3/4
31,Debussy_Prelude_Book_2_No_8_Ondine,E-,24 1/2,24 3/4
32,Debussy_Prelude_Book_2_No_8_Ondine,E,25,25 1/4
