,score_name,pitch_name,pitch_onset,pitch_offset
0,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,3,5
1,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,3,5
2,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,3,5
3,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,3,5
4,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,5,6
5,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,5,6
6,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,5,6
7,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,5,6
8,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,6,7
9,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,6,7
10,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,6,7
11,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,6,7
12,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,7,8
13,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C#,7,8
14,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,7,8
15,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,7,8
16,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,8,9
17,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,8,9
18,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,8,9
19,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,8,9
20,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,9,10
21,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,9,10
22,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,9,10
23,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,10,10 3/4
24,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,10,10 3/4
25,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,10,10 3/4
26,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,10 3/4,11
27,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,11,12
28,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,11,12
29,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,11,12
30,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,12 1/2,14
31,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,12 1/2,14
32,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,14,15
33,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C#,14,15
34,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,15,16
35,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,15,16
36,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,16,17
37,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,16,17
38,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,17,18
39,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,17,18
40,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,18,19
41,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,18,19
42,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,19,20
43,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,19,20
44,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,20,22
45,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,20,22
46,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,22,23
47,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,22,23
48,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,23,24 1/2
49,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,23,24 1/2
50,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,25 1/2,26
51,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G#,25 1/2,26
52,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,25 1/2,26
53,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C#,26,26 1/2
54,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,26,26 1/2
55,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,26,26 1/2
56,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,26 1/2,27
57,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,26 1/2,27
58,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,26 1/2,27
59,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,27,29
60,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,29,29 3/4
61,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,29 3/4,30
62,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,30,32
63,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,32,32 3/4
64,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,32 3/4,33
65,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,33,33 1/3
66,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,33 1/3,33 7/12
67,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,33 3/4,34
68,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,34,34 1/3
69,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,34 1/3,34 7/12
70,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,34 3/4,35
71,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,35,35 1/3
72,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,35 1/3,35 7/12
73,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,35 3/4,36
74,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,42,44
75,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,44,45
76,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,45,47 1/2
77,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,48,50
78,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,50,51
79,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B-,51,53 1/2
80,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,54,54 1/3
81,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,54 1/3,54 7/12
82,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,54 3/4,55
83,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,55,55 1/3
84,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,55,55 1/3
85,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,55 1/3,55 7/12
86,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,55 1/3,55 7/12
87,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,55 3/4,56
88,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,55 3/4,56
89,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,56,56 1/3
90,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,56,56 1/3
91,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,56 1/3,56 7/12
92,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,56 1/3,56 7/12
93,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,56 3/4,57
94,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B,56 3/4,57
95,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,57,57 1/3
96,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,57,57 1/3
97,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,57 1/3,57 7/12
98,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B,57 1/3,57 7/12
99,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,57 3/4,58
100,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,57 3/4,58
101,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,58,58 1/3
102,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,58,58 1/3
103,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,58 1/3,58 7/12
104,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,58 1/3,58 7/12
105,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,58 3/4,59
106,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,58 3/4,59
107,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,59,59 1/3
108,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,59,59 1/3
109,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,59 1/3,59 7/12
110,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,59 1/3,59 7/12
111,Debussy_Prelude_Book_2_No_9_Hommage_a_S,F,59 3/4,60
112,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,59 3/4,60
113,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,60,61
114,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,62,63
115,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,64,65
116,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,70,71
117,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,70,71
118,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,70,71
119,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,70,71
120,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,70,71
121,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,70,71
122,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,72,73
123,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,72,73
124,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,72,73
125,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,72,73
126,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,72,73
127,Debussy_Prelude_Book_2_No_9_Hommage_a_S,A,72,73
128,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B,74,76
129,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,74,76
130,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,74,76
131,Debussy_Prelude_Book_2_No_9_Hommage_a_S,B,74,76
132,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,74,76
133,Debussy_Prelude_Book_2_No_9_Hommage_a_S,G,74,76
134,Debussy_Prelude_Book_2_No_9_Hommage_a_S,E,78,79
135,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,79,80
136,Debussy_Prelude_Book_2_No_9_Hommage_a_S,D,81,82
137,Debussy_Prelude_Book_2_No_9_Hommage_a_S,C,82,83
