,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude I - (,B-,0,1
1,Prélude I - (,B,1,1 3/4
2,Prélude I - (,C,1 3/4,2
3,Prélude I - (,C,2,3
4,Prélude I - (,B-,3,4
5,Prélude I - (,B,4,4 3/4
6,Prélude I - (,C,4 3/4,5
7,Prélude I - (,C,5,5 3/4
8,Prélude I - (,F,5 3/4,6
9,Prélude I - (,D,6,7
10,Prélude I - (,D,7,8
11,Prélude I - (,E-,8,9
12,Prélude I - (,E,9,10
13,Prélude I - (,F,10,10 1/2
14,Prélude I - (,F,10 1/2,11
15,Prélude I - (,B-,10 1/2,11
16,Prélude I - (,F,10 1/2,11
17,Prélude I - (,D,11,11 1/2
18,Prélude I - (,A,11,11 1/2
19,Prélude I - (,D,11,11 1/2
20,Prélude I - (,A,11 1/2,11 3/4
21,Prélude I - (,D,11 1/2,11 3/4
22,Prélude I - (,A,11 1/2,11 3/4
23,Prélude I - (,F,12,12 1/4
24,Prélude I - (,A,12,12 1/4
25,Prélude I - (,D,12,12 1/4
26,Prélude I - (,F,12,12 1/4
27,Prélude I - (,G,12 1/2,12 3/4
28,Prélude I - (,B-,12 1/2,12 3/4
29,Prélude I - (,D,12 1/2,12 3/4
30,Prélude I - (,G,12 1/2,12 3/4
31,Prélude I - (,E,13,13 1/2
32,Prélude I - (,G,13,13 1/2
33,Prélude I - (,C,13,13 1/2
34,Prélude I - (,E,13,13 1/2
35,Prélude I - (,D,13 1/2,14
36,Prélude I - (,F,13 1/2,14
37,Prélude I - (,A,13 1/2,14
38,Prélude I - (,D,13 1/2,14
39,Prélude I - (,D,14,14 1/2
40,Prélude I - (,F,14,14 1/2
41,Prélude I - (,B-,14,14 1/2
42,Prélude I - (,D,14,14 1/2
43,Prélude I - (,C,14 1/2,15
44,Prélude I - (,E,14 1/2,15
45,Prélude I - (,G,14 1/2,15
46,Prélude I - (,C,14 1/2,15
47,Prélude I - (,F,15,16
48,Prélude I - (,A,15,16
49,Prélude I - (,C,15,16
50,Prélude I - (,F,15,16
51,Prélude I - (,B-,16,17
52,Prélude I - (,G,17,17 3/4
53,Prélude I - (,C,17 3/4,18
54,Prélude I - (,C#,18,19
55,Prélude I - (,B-,19,20
56,Prélude I - (,B,20,20 1/2
57,Prélude I - (,G,20 1/2,21 1/2
58,Prélude I - (,B,20 1/2,21 1/2
59,Prélude I - (,E-,20 1/2,21 1/2
60,Prélude I - (,G,20 1/2,21 1/2
61,Prélude I - (,A,21 1/2,22
62,Prélude I - (,C#,21 1/2,22
63,Prélude I - (,F,21 1/2,22
64,Prélude I - (,A,21 1/2,22
65,Prélude I - (,D,22,22 1/2
66,Prélude I - (,G,22,22 1/2
67,Prélude I - (,F,22 1/2,23 1/2
68,Prélude I - (,G,22 1/2,23 1/2
69,Prélude I - (,G,22 1/2,23 1/2
70,Prélude I - (,F,23 1/2,24 1/2
71,Prélude I - (,G,23 1/2,24 1/2
72,Prélude I - (,G,23 1/2,24 1/2
73,Prélude I - (,F,24 1/2,25
74,Prélude I - (,G,24 1/2,25
75,Prélude I - (,G,24 1/2,25
76,Prélude I - (,E,25,25 1/2
77,Prélude I - (,G,25,25 1/2
78,Prélude I - (,F,25 1/2,26 1/2
79,Prélude I - (,G,25 1/2,26 1/2
80,Prélude I - (,G,25 1/2,26 1/2
81,Prélude I - (,D,26 1/2,27
82,Prélude I - (,F,26 1/2,27
83,Prélude I - (,B-,26 1/2,27
84,Prélude I - (,D,26 1/2,27
85,Prélude I - (,F,26 1/2,27
86,Prélude I - (,B-,26 1/2,27
87,Prélude I - (,F,26 1/2,27
88,Prélude I - (,D,27,27 1/2
89,Prélude I - (,F,27,27 1/2
90,Prélude I - (,A,27,27 1/2
91,Prélude I - (,D,27,27 1/2
92,Prélude I - (,A,27,27 1/2
93,Prélude I - (,D,27,27 1/2
94,Prélude I - (,A,27 1/2,28
95,Prélude I - (,D,27 1/2,28
96,Prélude I - (,A,27 1/2,28
97,Prélude I - (,F,28,28 1/2
98,Prélude I - (,A,28,28 1/2
99,Prélude I - (,D,28,28 1/2
100,Prélude I - (,F,28,28 1/2
101,Prélude I - (,G,28 1/2,29
102,Prélude I - (,B-,28 1/2,29
103,Prélude I - (,D,28 1/2,29
104,Prélude I - (,G,28 1/2,29
105,Prélude I - (,E,29,29 1/2
106,Prélude I - (,G,29,29 1/2
107,Prélude I - (,C,29,29 1/2
108,Prélude I - (,E,29,29 1/2
109,Prélude I - (,D,29 1/2,30
110,Prélude I - (,F,29 1/2,30
111,Prélude I - (,A,29 1/2,30
112,Prélude I - (,D,29 1/2,30
113,Prélude I - (,D,30,30 1/2
114,Prélude I - (,F,30,30 1/2
115,Prélude I - (,B-,30,30 1/2
116,Prélude I - (,D,30,30 1/2
117,Prélude I - (,C,30 1/2,31
118,Prélude I - (,E,30 1/2,31
119,Prélude I - (,G,30 1/2,31
120,Prélude I - (,C,30 1/2,31
121,Prélude I - (,F,31,33
122,Prélude I - (,A,31,33
123,Prélude I - (,C,31,33
124,Prélude I - (,F,31,33
125,Prélude I - (,G,33,34
126,Prélude I - (,G,33,34
127,Prélude I - (,F,34,34 3/4
128,Prélude I - (,F,34,34 3/4
129,Prélude I - (,D,34 3/4,35
130,Prélude I - (,D,34 3/4,35
131,Prélude I - (,C,35,35 3/4
132,Prélude I - (,C,35,35 3/4
133,Prélude I - (,B-,35 3/4,36
134,Prélude I - (,B-,35 3/4,36
135,Prélude I - (,E-,36,36 1/2
136,Prélude I - (,G,36,36 1/2
137,Prélude I - (,G,36,36 1/2
138,Prélude I - (,B-,36,36 1/2
139,Prélude I - (,E-,36,36 1/2
140,Prélude I - (,F,36 1/2,37
141,Prélude I - (,A,36 1/2,37
142,Prélude I - (,C,36 1/2,37
143,Prélude I - (,F,36 1/2,37
144,Prélude I - (,D,37,39
145,Prélude I - (,C,39,40
146,Prélude I - (,C,39,40
147,Prélude I - (,B-,40,40 3/4
148,Prélude I - (,B-,40,40 3/4
149,Prélude I - (,G,40 3/4,41
150,Prélude I - (,G,40 3/4,41
151,Prélude I - (,F,41,41 3/4
152,Prélude I - (,F,41,41 3/4
153,Prélude I - (,E-,41 3/4,42
154,Prélude I - (,E-,41 3/4,42
155,Prélude I - (,E-,42,42 3/4
156,Prélude I - (,C,42,42 3/4
157,Prélude I - (,B-,42 3/4,43
158,Prélude I - (,B-,42 3/4,43
159,Prélude I - (,G,43,43 1/4
160,Prélude I - (,G,43,43 1/4
161,Prélude I - (,B-,43,43 1/4
162,Prélude I - (,E-,43,43 1/4
163,Prélude I - (,G#,43 1/2,43 3/4
164,Prélude I - (,C,43 1/2,43 3/4
165,Prélude I - (,F,43 1/2,43 3/4
166,Prélude I - (,G,44,44 1/4
167,Prélude I - (,B,44,44 1/4
168,Prélude I - (,D,44,44 1/4
169,Prélude I - (,G,44,44 1/4
170,Prélude I - (,B-,44 1/2,44 3/4
171,Prélude I - (,C#,44 1/2,44 3/4
172,Prélude I - (,F,44 1/2,44 3/4
173,Prélude I - (,B-,44 1/2,44 3/4
174,Prélude I - (,G,45,46
175,Prélude I - (,G,45,46
176,Prélude I - (,E,46,46 3/4
177,Prélude I - (,E,46,46 3/4
178,Prélude I - (,F,46 3/4,47
179,Prélude I - (,F,46 3/4,47
180,Prélude I - (,F#,47,47 3/4
