,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude II - (,E,1,1 2/3
1,Prélude II - (,G#,1,1 2/3
2,Prélude II - (,D,1 2/3,1 11/12
3,Prélude II - (,F#,1 2/3,1 11/12
4,Prélude II - (,G#,2,2 3/4
5,Prélude II - (,C,2,2 3/4
6,Prélude II - (,G#,2 3/4,3
7,Prélude II - (,C,2 3/4,3
8,Prélude II - (,F#,3,4
9,Prélude II - (,B-,3,4
10,Prélude II - (,E,5,5 2/3
11,Prélude II - (,G#,5,5 2/3
12,Prélude II - (,D,5 2/3,5 11/12
13,Prélude II - (,F#,5 2/3,5 11/12
14,Prélude II - (,G#,6,7 1/4
15,Prélude II - (,C,6,7 1/4
16,Prélude II - (,F#,7 1/4,7 1/2
17,Prélude II - (,B-,7 1/4,7 1/2
18,Prélude II - (,E,7 1/2,7 3/4
19,Prélude II - (,G#,7 1/2,7 3/4
20,Prélude II - (,D,7 3/4,8
21,Prélude II - (,F#,7 3/4,8
22,Prélude II - (,C,8,11
23,Prélude II - (,E,8,11
24,Prélude II - (,G#,12 1/2,13
25,Prélude II - (,B-,13,13 1/2
26,Prélude II - (,C,13 1/2,15 1/2
27,Prélude II - (,C,13 1/2,15 1/2
28,Prélude II - (,G#,16 1/2,17
29,Prélude II - (,B-,17,17 1/2
30,Prélude II - (,C,17 1/2,19
31,Prélude II - (,C,17 1/2,19
32,Prélude II - (,E,19,19 1/2
33,Prélude II - (,E,19 1/2,19 3/4
34,Prélude II - (,C,19 3/4,20
35,Prélude II - (,E,19 3/4,20
36,Prélude II - (,G#,20,21
37,Prélude II - (,C,20,21
38,Prélude II - (,E,22,22 2/3
39,Prélude II - (,G#,22,22 2/3
40,Prélude II - (,D,22 2/3,22 11/12
41,Prélude II - (,F#,22 2/3,22 11/12
42,Prélude II - (,G#,23,24 1/4
43,Prélude II - (,C,23,24 1/4
44,Prélude II - (,F#,24 1/4,24 1/2
45,Prélude II - (,B-,24 1/4,24 1/2
46,Prélude II - (,E,24 1/2,24 3/4
47,Prélude II - (,G#,24 1/2,24 3/4
48,Prélude II - (,D,24 3/4,25
49,Prélude II - (,F#,24 3/4,25
50,Prélude II - (,C,25,27
51,Prélude II - (,E,25,27
52,Prélude II - (,E,28,28 2/3
53,Prélude II - (,G#,28,28 2/3
54,Prélude II - (,D,28 2/3,28 11/12
55,Prélude II - (,F#,28 2/3,28 11/12
56,Prélude II - (,G#,29,30 3/4
57,Prélude II - (,C,29,30 3/4
58,Prélude II - (,G#,31 1/3,31 7/12
59,Prélude II - (,C,31 1/3,31 7/12
60,Prélude II - (,E,32 1/2,33 1/6
61,Prélude II - (,G#,32 1/2,33 1/6
62,Prélude II - (,C,33 1/4,33 1/2
63,Prélude II - (,E,33 1/4,33 1/2
64,Prélude II - (,G#,33 1/2,35 5/6
65,Prélude II - (,C,33 1/2,35 5/6
66,Prélude II - (,B-,36,36 3/4
67,Prélude II - (,D,36,36 3/4
68,Prélude II - (,C,36 3/4,37
69,Prélude II - (,E,36 3/4,37
70,Prélude II - (,C,37,37 3/4
71,Prélude II - (,E,37,37 3/4
72,Prélude II - (,D,37 3/4,38
73,Prélude II - (,F#,37 3/4,38
74,Prélude II - (,D,38,39 1/2
75,Prélude II - (,F#,38,39 1/2
76,Prélude II - (,C,40,40 1/2
77,Prélude II - (,E,40,40 1/2
78,Prélude II - (,D,40 1/2,41 1/4
79,Prélude II - (,F#,40 1/2,41 1/4
80,Prélude II - (,E,41 1/4,41 1/2
81,Prélude II - (,G#,41 1/4,41 1/2
82,Prélude II - (,E,41 1/2,43 1/2
83,Prélude II - (,G#,41 1/2,43 1/2
84,Prélude II - (,D,43 1/2,43 3/4
85,Prélude II - (,D,43 1/2,43 3/4
86,Prélude II - (,D,43 1/2,43 3/4
87,Prélude II - (,D,44 1/2,46 1/4
88,Prélude II - (,F#,46 1/2,47 1/4
89,Prélude II - (,C,47 1/4,47 1/2
90,Prélude II - (,D,47 1/2,48 1/4
91,Prélude II - (,F#,48 1/2,49 1/4
92,Prélude II - (,C,49 1/4,49 1/2
93,Prélude II - (,D,50 1/2,50 3/4
94,Prélude II - (,F#,50 1/2,50 3/4
95,Prélude II - (,B-,50 3/4,52
96,Prélude II - (,D,50 3/4,52
97,Prélude II - (,G#,52,52 1/4
98,Prélude II - (,C,52,52 1/4
99,Prélude II - (,G#,52 1/3,52 7/12
100,Prélude II - (,C,52 1/3,52 7/12
101,Prélude II - (,E,53,54 1/2
102,Prélude II - (,D,54 1/2,56
103,Prélude II - (,G#,58,58 1/4
104,Prélude II - (,C,58 1/4,58 1/2
105,Prélude II - (,D,59 1/2,59 3/4
106,Prélude II - (,E,59 3/4,60
107,Prélude II - (,F#,60,60 1/4
108,Prélude II - (,B-,60,60 1/4
109,Prélude II - (,B-,60,60 1/4
110,Prélude II - (,G#,60 1/4,60 1/2
111,Prélude II - (,C,60 1/4,60 1/2
112,Prélude II - (,G#,60 1/2,60 3/4
113,Prélude II - (,G#,61,61 1/4
114,Prélude II - (,G#,61 1/4,61 1/2
115,Prélude II - (,D,61 1/2,61 3/4
116,Prélude II - (,G#,61 1/2,61 3/4
117,Prélude II - (,E,61 3/4,62
118,Prélude II - (,C,61 3/4,62
119,Prélude II - (,F#,62,62 1/4
120,Prélude II - (,B-,62,62 1/4
121,Prélude II - (,B-,62,62 1/4
122,Prélude II - (,G#,62 1/4,62 1/2
123,Prélude II - (,C,62 1/4,62 1/2
124,Prélude II - (,G#,62 1/2,63 1/6
125,Prélude II - (,G#,63 1/4,63 1/2
126,Prélude II - (,F#,63 1/2,63 3/4
127,Prélude II - (,G#,63 3/4,64 1/12
128,Prélude II - (,F#,64 1/2,64 3/4
129,Prélude II - (,G#,64 3/4,65 1/12
130,Prélude II - (,G#,65 1/2,67 1/2
131,Prélude II - (,C,65 1/2,67 1/2
132,Prélude II - (,D,67 1/2,67 3/4
133,Prélude II - (,E,67 3/4,68
134,Prélude II - (,G#,68,68 1/2
135,Prélude II - (,D,68 1/2,68 3/4
136,Prélude II - (,E,68 3/4,69
137,Prélude II - (,C,69,70 1/2
138,Prélude II - (,D,70 1/2,70 3/4
139,Prélude II - (,E,70 3/4,71
140,Prélude II - (,D,71,71 1/4
141,Prélude II - (,E,71 1/4,71 1/2
142,Prélude II - (,D,71 1/2,71 3/4
143,Prélude II - (,E,71 3/4,72
144,Prélude II - (,D,72,72 1/4
145,Prélude II - (,E,72 1/4,72 1/2
146,Prélude II - (,D,72 1/2,72 3/4
147,Prélude II - (,E,72 3/4,73
148,Prélude II - (,C,73,73 1/2
149,Prélude II - (,D,73 1/2,73 3/4
150,Prélude II - (,E,73 3/4,74
151,Prélude II - (,B-,74,75
152,Prélude II - (,G#,75,75 1/2
153,Prélude II - (,D,75 1/2,75 3/4
154,Prélude II - (,E,75 3/4,76
155,Prélude II - (,D,76,76 1/4
156,Prélude II - (,E,76 1/4,76 1/2
157,Prélude II - (,D,76 1/2,76 3/4
158,Prélude II - (,E,76 3/4,77
159,Prélude II - (,D,77,77 1/4
160,Prélude II - (,E,77 1/4,77 1/2
161,Prélude II - (,G#,77 1/2,77 3/4
162,Prélude II - (,D,77 1/2,77 3/4
163,Prélude II - (,F#,77 1/2,77 3/4
164,Prélude II - (,B-,77 3/4,78
165,Prélude II - (,F#,77 3/4,78
166,Prélude II - (,B-,77 3/4,78
167,Prélude II - (,C,78,78 3/4
168,Prélude II - (,F#,78,78 3/4
169,Prélude II - (,G#,78,78 3/4
170,Prélude II - (,C,78 3/4,79
171,Prélude II - (,B-,79,79 1/4
172,Prélude II - (,D,79 1/4,79 1/2
173,Prélude II - (,G#,79 1/2,79 3/4
174,Prélude II - (,D,79 1/2,79 3/4
175,Prélude II - (,F#,79 1/2,79 3/4
176,Prélude II - (,B-,79 3/4,80
177,Prélude II - (,F#,79 3/4,80
178,Prélude II - (,B-,79 3/4,80
179,Prélude II - (,C,80,80 3/4
180,Prélude II - (,F#,80,80 3/4
181,Prélude II - (,G#,80,80 3/4
182,Prélude II - (,C,80 3/4,81
183,Prélude II - (,B-,81,81 1/4
184,Prélude II - (,D,81 1/4,81 1/2
185,Prélude II - (,F#,81 1/2,82 1/2
186,Prélude II - (,F#,82 1/2,83 1/2
187,Prélude II - (,F#,82 1/2,83 1/2
188,Prélude II - (,A,84 1/2,84 5/6
189,Prélude II - (,G#,85 1/4,85 3/4
190,Prélude II - (,G#,85 3/4,86
191,Prélude II - (,C#,86 1/2,86 3/4
192,Prélude II - (,B-,86 3/4,87
193,Prélude II - (,G#,87,87 1/4
194,Prélude II - (,G#,87 1/4,87 1/2
195,Prélude II - (,G#,87 1/2,87 3/4
196,Prélude II - (,G#,87 3/4,88
197,Prélude II - (,E-,88,89
198,Prélude II - (,G#,89,89 1/4
199,Prélude II - (,G#,89,89 1/4
200,Prélude II - (,G#,89 1/4,89 1/2
201,Prélude II - (,G#,89 1/4,89 1/2
202,Prélude II - (,G#,89 1/2,89 3/4
203,Prélude II - (,G#,89 1/2,89 3/4
204,Prélude II - (,C#,89 3/4,90
205,Prélude II - (,C#,89 3/4,90
206,Prélude II - (,E-,90,91
207,Prélude II - (,E-,90,91
208,Prélude II - (,G#,90,91
209,Prélude II - (,G#,90,91
210,Prélude II - (,C#,90,91
211,Prélude II - (,C#,90,91
212,Prélude II - (,C#,91,91 1/4
213,Prélude II - (,C#,91,91 1/4
214,Prélude II - (,B-,91 1/4,91 1/2
215,Prélude II - (,B-,91 1/4,91 1/2
216,Prélude II - (,C#,91 1/2,91 3/4
217,Prélude II - (,C#,91 1/2,91 3/4
218,Prélude II - (,E-,91 3/4,92 1/4
219,Prélude II - (,E-,91 3/4,92 1/4
220,Prélude II - (,F#,92 1/4,92 1/2
221,Prélude II - (,F#,92 1/4,92 1/2
222,Prélude II - (,C#,92 1/2,92 3/4
223,Prélude II - (,C#,92 1/2,92 3/4
224,Prélude II - (,E-,92 3/4,93 1/2
225,Prélude II - (,F#,92 3/4,93 1/2
226,Prélude II - (,F#,92 3/4,93 1/2
227,Prélude II - (,E-,92 3/4,93 1/2
228,Prélude II - (,C#,93 1/2,93 3/4
229,Prélude II - (,C#,93 1/2,93 3/4
230,Prélude II - (,E-,93 3/4,94 1/4
231,Prélude II - (,E-,93 3/4,94 1/4
232,Prélude II - (,B-,94 1/4,94 1/2
233,Prélude II - (,B-,94 1/4,94 1/2
234,Prélude II - (,C#,94 1/2,94 3/4
235,Prélude II - (,C#,94 1/2,94 3/4
236,Prélude II - (,E-,94 3/4,96 1/2
