,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude III - (,B,1/4,1/2
1,Prélude III - (,B,1/2,3/4
2,Prélude III - (,B,3/4,1
3,Prélude III - (,B,1 1/4,1 1/2
4,Prélude III - (,B,1 1/2,1 3/4
5,Prélude III - (,B,1 3/4,2
6,Prélude III - (,B,2 1/4,2 1/2
7,Prélude III - (,B,2 1/2,2 3/4
8,Prélude III - (,B,2 3/4,3
9,Prélude III - (,B,3 1/4,3 1/2
10,Prélude III - (,B,3 1/2,3 3/4
11,Prélude III - (,B,3 3/4,4
12,Prélude III - (,B,4 1/4,4 1/2
13,Prélude III - (,B,4 1/2,4 3/4
14,Prélude III - (,B,4 3/4,5
15,Prélude III - (,B,5 1/4,5 1/2
16,Prélude III - (,B,5 1/2,5 3/4
17,Prélude III - (,B,5 3/4,6
18,Prélude III - (,B,6 1/4,6 1/2
19,Prélude III - (,B,6 1/2,6 3/4
20,Prélude III - (,B,6 3/4,7
21,Prélude III - (,B,7 1/4,7 1/2
22,Prélude III - (,B,7 1/2,7 3/4
23,Prélude III - (,B,7 3/4,8
24,Prélude III - (,B,8 1/4,8 1/2
25,Prélude III - (,B,8 1/2,8 3/4
26,Prélude III - (,B,8 3/4,9
27,Prélude III - (,B,9 1/4,9 1/2
28,Prélude III - (,B,9 1/2,9 3/4
29,Prélude III - (,B,9 3/4,10
30,Prélude III - (,B,10 1/4,10 1/2
31,Prélude III - (,B,10 1/2,10 3/4
32,Prélude III - (,B,10 3/4,11
33,Prélude III - (,B,11 1/4,11 1/2
34,Prélude III - (,B,11 1/2,11 3/4
35,Prélude III - (,B,11 3/4,12
36,Prélude III - (,B,12 1/4,12 1/2
37,Prélude III - (,B,12 1/2,12 3/4
38,Prélude III - (,B,12 3/4,13
39,Prélude III - (,B,13 1/4,13 1/2
40,Prélude III - (,B,13 1/2,13 3/4
41,Prélude III - (,B,13 3/4,14
42,Prélude III - (,B,14 1/4,14 1/2
43,Prélude III - (,B,14 1/2,14 3/4
44,Prélude III - (,B,14 3/4,15
45,Prélude III - (,B,15 1/4,15 1/2
46,Prélude III - (,B,15 1/2,15 3/4
47,Prélude III - (,B,15 3/4,16
48,Prélude III - (,B,16 1/4,16 1/2
49,Prélude III - (,B,16 1/2,16 3/4
50,Prélude III - (,B,16 3/4,17
51,Prélude III - (,B,17 1/4,17 1/2
52,Prélude III - (,B,17 1/2,17 3/4
53,Prélude III - (,B,17 3/4,18
54,Prélude III - (,B,18 1/4,18 1/2
55,Prélude III - (,B,18 1/2,18 3/4
56,Prélude III - (,B,18 3/4,19
57,Prélude III - (,B,19 1/4,19 1/2
58,Prélude III - (,B,19 1/2,19 3/4
59,Prélude III - (,B,19 3/4,20
60,Prélude III - (,B,20 1/4,20 1/2
61,Prélude III - (,B,20 1/2,20 3/4
62,Prélude III - (,B,20 3/4,21
63,Prélude III - (,B,21 1/4,21 1/2
64,Prélude III - (,B,21 1/2,21 3/4
65,Prélude III - (,B,21 3/4,22
66,Prélude III - (,B,22 1/4,22 1/2
67,Prélude III - (,B,22 1/2,22 3/4
68,Prélude III - (,B,22 3/4,23
69,Prélude III - (,B,23 1/4,23 1/2
70,Prélude III - (,B,23 1/2,23 3/4
71,Prélude III - (,B,23 3/4,24
72,Prélude III - (,B,24 1/4,24 1/2
73,Prélude III - (,B,24 1/2,24 3/4
74,Prélude III - (,B,24 3/4,25
75,Prélude III - (,B,25 1/4,25 1/2
