,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude IV - (,E,1,1 1/2
1,Prélude IV - (,E,1,1 1/2
2,Prélude IV - (,A,1 1/2,2
3,Prélude IV - (,A,1 1/2,2
4,Prélude IV - (,B-,2,3
5,Prélude IV - (,D,2,3
6,Prélude IV - (,E,2,3
7,Prélude IV - (,B-,2,3
8,Prélude IV - (,E,3,4
9,Prélude IV - (,E,3,4
10,Prélude IV - (,E,6,6 1/2
11,Prélude IV - (,E,6,6 1/2
12,Prélude IV - (,A,6 1/2,7
13,Prélude IV - (,A,6 1/2,7
14,Prélude IV - (,B-,7,7 1/2
15,Prélude IV - (,B-,7,7 1/2
16,Prélude IV - (,F#,7 1/2,8
17,Prélude IV - (,F#,7 1/2,8
18,Prélude IV - (,C#,8,8 1/2
19,Prélude IV - (,C#,8,8 1/2
20,Prélude IV - (,C#,9,9 1/2
21,Prélude IV - (,C#,9,9 1/2
22,Prélude IV - (,F#,11,11 1/2
23,Prélude IV - (,C#,11 1/2,12
24,Prélude IV - (,F#,13,13 1/2
25,Prélude IV - (,C#,13 1/2,14
26,Prélude IV - (,F#,15,15 1/2
27,Prélude IV - (,C#,15 1/2,16
28,Prélude IV - (,C,17,17 1/2
29,Prélude IV - (,G,17 1/2,18 1/2
30,Prélude IV - (,B-,18 1/2,19 1/2
31,Prélude IV - (,C#,19 1/2,19 3/4
32,Prélude IV - (,E,19 1/2,19 3/4
33,Prélude IV - (,E,20,20 1/4
34,Prélude IV - (,G,20,20 1/4
35,Prélude IV - (,G,20 1/2,20 3/4
36,Prélude IV - (,B-,20 1/2,20 3/4
37,Prélude IV - (,B-,21,21 1/4
38,Prélude IV - (,C#,21,21 1/4
39,Prélude IV - (,C#,21 1/2,21 3/4
40,Prélude IV - (,E,21 1/2,21 3/4
41,Prélude IV - (,C,23,23 1/2
42,Prélude IV - (,G,23 1/2,24 1/2
43,Prélude IV - (,B-,24 1/2,25
44,Prélude IV - (,C#,25,25 1/2
45,Prélude IV - (,G,25 1/2,25 3/4
46,Prélude IV - (,B-,25 1/2,25 3/4
47,Prélude IV - (,B-,26,26 1/4
48,Prélude IV - (,C#,26,26 1/4
49,Prélude IV - (,C#,26 1/2,26 3/4
50,Prélude IV - (,E,26 1/2,26 3/4
51,Prélude IV - (,E,27,27 1/4
52,Prélude IV - (,G,27,27 1/4
53,Prélude IV - (,G,27 1/2,27 3/4
54,Prélude IV - (,B-,27 1/2,27 3/4
55,Prélude IV - (,C#,29,29 1/2
56,Prélude IV - (,C#,29,29 1/2
57,Prélude IV - (,E-,29 1/2,30
58,Prélude IV - (,E-,29 1/2,30
59,Prélude IV - (,E-,30,31 1/2
60,Prélude IV - (,E-,30,31 1/2
61,Prélude IV - (,C#,31 1/2,32
62,Prélude IV - (,C#,31 1/2,32
63,Prélude IV - (,C#,32,32 1/2
64,Prélude IV - (,C#,32,32 1/2
65,Prélude IV - (,E-,32 1/2,33
66,Prélude IV - (,E-,32 1/2,33
67,Prélude IV - (,E-,33,33 1/2
68,Prélude IV - (,E-,33,33 1/2
69,Prélude IV - (,C#,33 1/2,34
70,Prélude IV - (,C#,33 1/2,34
71,Prélude IV - (,B,35,35 1/2
72,Prélude IV - (,B,35,35 1/2
73,Prélude IV - (,C#,35 1/2,36
74,Prélude IV - (,C#,35 1/2,36
75,Prélude IV - (,C#,36,37 1/2
76,Prélude IV - (,C#,36,37 1/2
77,Prélude IV - (,B,37 1/2,38
78,Prélude IV - (,B,37 1/2,38
79,Prélude IV - (,B,38,38 1/2
80,Prélude IV - (,B,38,38 1/2
81,Prélude IV - (,A,38 1/2,39
82,Prélude IV - (,A,38 1/2,39
83,Prélude IV - (,B,39,39 1/2
84,Prélude IV - (,B,39,39 1/2
85,Prélude IV - (,C#,39 1/2,40
86,Prélude IV - (,C#,39 1/2,40
87,Prélude IV - (,E-,41,41 1/2
88,Prélude IV - (,E-,41,41 1/2
89,Prélude IV - (,G#,41 1/2,42
90,Prélude IV - (,G#,41 1/2,42
91,Prélude IV - (,E-,42,42 1/2
92,Prélude IV - (,E-,42,42 1/2
93,Prélude IV - (,C#,43 1/2,44
94,Prélude IV - (,C#,43 1/2,44
95,Prélude IV - (,B-,44,44 1/2
96,Prélude IV - (,B-,44,44 1/2
97,Prélude IV - (,C#,44 1/2,45
98,Prélude IV - (,C#,44 1/2,45
99,Prélude IV - (,E-,45,45 1/2
100,Prélude IV - (,E-,45,45 1/2
101,Prélude IV - (,F#,45 1/2,46
102,Prélude IV - (,F#,45 1/2,46
103,Prélude IV - (,E-,46 1/2,46 3/4
104,Prélude IV - (,E-,46 1/2,46 3/4
105,Prélude IV - (,G#,47,47 1/4
106,Prélude IV - (,G#,47,47 1/4
107,Prélude IV - (,E-,47 1/2,47 3/4
108,Prélude IV - (,E-,47 1/2,47 3/4
109,Prélude IV - (,G#,48,48 1/4
110,Prélude IV - (,G#,48,48 1/4
111,Prélude IV - (,E-,48 1/2,48 3/4
112,Prélude IV - (,E-,48 1/2,48 3/4
113,Prélude IV - (,G#,49,49 1/2
114,Prélude IV - (,G#,49,49 1/2
115,Prélude IV - (,E-,52,52 1/2
116,Prélude IV - (,C#,52 1/2,53
117,Prélude IV - (,E-,53,53 1/2
118,Prélude IV - (,C#,53 1/2,54
119,Prélude IV - (,E-,54,54 1/2
120,Prélude IV - (,C#,54 1/2,55
121,Prélude IV - (,E-,55,55 1/2
122,Prélude IV - (,C#,55 1/2,56
123,Prélude IV - (,E-,56,56 1/2
124,Prélude IV - (,C#,56 1/2,57
125,Prélude IV - (,E-,57,57 1/2
126,Prélude IV - (,C#,57 1/2,58
127,Prélude IV - (,E-,58,58 1/2
128,Prélude IV - (,C#,58 1/2,59
129,Prélude IV - (,E-,59,59 1/2
130,Prélude IV - (,C#,59 1/2,60
131,Prélude IV - (,E-,60,60 1/2
132,Prélude IV - (,C#,60 1/2,61
133,Prélude IV - (,E-,61,61 1/2
134,Prélude IV - (,C#,61 1/2,62
135,Prélude IV - (,E-,62,62 1/2
136,Prélude IV - (,C#,62 1/2,63
137,Prélude IV - (,E-,63,63 1/2
138,Prélude IV - (,C#,63 1/2,64
139,Prélude IV - (,E-,64,64 1/2
140,Prélude IV - (,C#,64 1/2,65
141,Prélude IV - (,E-,65,65 1/2
