,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude IX - (,F#,1/2,3/4
1,Prélude IX - (,F#,1 1/2,1 3/4
2,Prélude IX - (,F,2 1/2,2 3/4
3,Prélude IX - (,F,6 1/4,6 1/2
4,Prélude IX - (,E-,6 3/4,7
5,Prélude IX - (,C#,7 1/4,7 1/2
6,Prélude IX - (,B,7 3/4,8
7,Prélude IX - (,B-,8 1/4,8 1/2
8,Prélude IX - (,F#,8 3/4,9
9,Prélude IX - (,F,9 1/4,9 1/2
10,Prélude IX - (,F#,9 3/4,10
11,Prélude IX - (,B-,10 1/4,10 1/2
12,Prélude IX - (,B,10 3/4,11
13,Prélude IX - (,C#,11 1/4,11 1/2
14,Prélude IX - (,E-,11 3/4,12
15,Prélude IX - (,F,12 1/4,12 1/2
16,Prélude IX - (,C,12 3/4,13
17,Prélude IX - (,F,13 1/4,13 1/2
18,Prélude IX - (,F,13 3/4,14
19,Prélude IX - (,C,14 1/4,14 1/2
20,Prélude IX - (,F,14 3/4,15
21,Prélude IX - (,F#,15 1/2,15 3/4
22,Prélude IX - (,F#,16 1/2,16 3/4
23,Prélude IX - (,F,17 1/2,17 3/4
24,Prélude IX - (,F,18 1/4,18 1/2
25,Prélude IX - (,E-,18 3/4,19
26,Prélude IX - (,C#,19 1/4,19 1/2
27,Prélude IX - (,B,19 3/4,20
28,Prélude IX - (,B-,20 1/4,20 1/2
29,Prélude IX - (,F#,20 3/4,21
30,Prélude IX - (,F,21 1/4,21 1/2
31,Prélude IX - (,C,21 3/4,22
32,Prélude IX - (,F,22 1/4,22 1/2
33,Prélude IX - (,F,22 3/4,23
34,Prélude IX - (,C,23 1/4,23 1/2
35,Prélude IX - (,F,23 3/4,24
36,Prélude IX - (,F,24 1/2,24 3/4
37,Prélude IX - (,C,24 1/2,24 3/4
38,Prélude IX - (,F,25 1/2,25 3/4
39,Prélude IX - (,C,25 1/2,25 3/4
40,Prélude IX - (,F,26 1/2,26 3/4
41,Prélude IX - (,C,26 1/2,26 3/4
42,Prélude IX - (,A,27 1/2,28
43,Prélude IX - (,C,27 1/2,28
44,Prélude IX - (,E,29,29 1/2
45,Prélude IX - (,B-,29,29 1/2
46,Prélude IX - (,C#,29,29 1/2
47,Prélude IX - (,G#,29 1/2,29 3/4
48,Prélude IX - (,F#,29 3/4,30
49,Prélude IX - (,F,31 1/4,31 1/2
50,Prélude IX - (,A,31 1/4,31 1/2
51,Prélude IX - (,C,31 1/2,31 3/4
52,Prélude IX - (,C,31 3/4,32
53,Prélude IX - (,C,32,32 1/4
54,Prélude IX - (,C#,32 1/4,32 1/2
55,Prélude IX - (,E-,32 1/2,32 3/4
56,Prélude IX - (,C#,32 3/4,33
57,Prélude IX - (,C,33,33 1/4
58,Prélude IX - (,C,33 1/4,33 1/2
59,Prélude IX - (,C,33 1/2,33 3/4
60,Prélude IX - (,B-,33 3/4,34
61,Prélude IX - (,G#,34,34 1/4
62,Prélude IX - (,F#,34 1/4,34 1/2
63,Prélude IX - (,F,34 1/2,34 3/4
64,Prélude IX - (,C,34 3/4,35
65,Prélude IX - (,F,35,35 1/4
66,Prélude IX - (,C,35 1/4,35 1/2
67,Prélude IX - (,F,35 3/4,36
68,Prélude IX - (,C,35 3/4,36
69,Prélude IX - (,F#,36 1/4,36 1/2
70,Prélude IX - (,C#,36 1/4,36 1/2
71,Prélude IX - (,E-,36 3/4,37
72,Prélude IX - (,B-,36 3/4,37
73,Prélude IX - (,F#,37 1/4,37 1/2
74,Prélude IX - (,C#,37 1/4,37 1/2
75,Prélude IX - (,F,37 3/4,38
76,Prélude IX - (,C,37 3/4,38
77,Prélude IX - (,F,38 1/4,38 1/2
78,Prélude IX - (,C,38 1/4,38 1/2
79,Prélude IX - (,F,38 3/4,39
80,Prélude IX - (,C,38 3/4,39
81,Prélude IX - (,F#,39 1/4,39 1/2
82,Prélude IX - (,C#,39 1/4,39 1/2
83,Prélude IX - (,E-,39 3/4,40
84,Prélude IX - (,B-,39 3/4,40
85,Prélude IX - (,F#,40 1/4,40 1/2
86,Prélude IX - (,C#,40 1/4,40 1/2
87,Prélude IX - (,F,40 3/4,41
88,Prélude IX - (,C,40 3/4,41
89,Prélude IX - (,F,41 1/4,41 1/2
90,Prélude IX - (,C,41 1/4,41 1/2
91,Prélude IX - (,F#,41 3/4,42
92,Prélude IX - (,C#,41 3/4,42
93,Prélude IX - (,F#,42 1/4,42 1/2
94,Prélude IX - (,C#,42 1/4,42 1/2
95,Prélude IX - (,F#,42 3/4,43
96,Prélude IX - (,C#,42 3/4,43
97,Prélude IX - (,F#,43 1/4,43 1/2
98,Prélude IX - (,C#,43 1/4,43 1/2
99,Prélude IX - (,F#,43 3/4,44
100,Prélude IX - (,C#,43 3/4,44
101,Prélude IX - (,F#,44 1/4,44 1/2
102,Prélude IX - (,C#,44 1/4,44 1/2
103,Prélude IX - (,F#,44 3/4,45
104,Prélude IX - (,C#,44 3/4,45
105,Prélude IX - (,F#,45 1/4,45 1/2
106,Prélude IX - (,C#,45 1/4,45 1/2
107,Prélude IX - (,F#,45 3/4,46
108,Prélude IX - (,C#,45 3/4,46
109,Prélude IX - (,F#,46 1/4,46 1/2
110,Prélude IX - (,C#,46 1/4,46 1/2
111,Prélude IX - (,E,46 1/2,49 1/4
112,Prélude IX - (,F,49 1/2,50 1/2
113,Prélude IX - (,E,50 1/2,53 5/6
114,Prélude IX - (,F,54 1/2,54 3/4
115,Prélude IX - (,F,55,55 1/4
116,Prélude IX - (,F,55 1/2,58 1/2
117,Prélude IX - (,E,58 1/2,60
118,Prélude IX - (,E,60,60 1/4
119,Prélude IX - (,A,60 1/2,61
120,Prélude IX - (,E-,60 1/2,61
121,Prélude IX - (,F,64 1/4,64 1/2
122,Prélude IX - (,A,64 1/4,64 1/2
123,Prélude IX - (,C,64 1/2,64 3/4
124,Prélude IX - (,C,64 3/4,65
125,Prélude IX - (,C,65,65 1/4
126,Prélude IX - (,C#,65 1/4,65 1/2
127,Prélude IX - (,E-,65 1/2,65 3/4
128,Prélude IX - (,C#,65 3/4,66
129,Prélude IX - (,C,66,66 1/4
130,Prélude IX - (,C,66 1/4,66 1/2
131,Prélude IX - (,C,66 1/2,66 3/4
132,Prélude IX - (,B-,66 3/4,67
133,Prélude IX - (,G#,67,67 1/4
134,Prélude IX - (,F#,67 1/4,67 1/2
135,Prélude IX - (,C,68,68 1/4
136,Prélude IX - (,F,68,68 1/4
137,Prélude IX - (,C,68,68 1/4
138,Prélude IX - (,D,68 1/2,68 3/4
139,Prélude IX - (,F#,68 3/4,69 1/2
140,Prélude IX - (,C,69 1/2,70
141,Prélude IX - (,C,70,71 2/3
142,Prélude IX - (,F,70,71 2/3
143,Prélude IX - (,C,70,71 2/3
144,Prélude IX - (,F,73 3/4,74
145,Prélude IX - (,E-,74 1/4,74 1/2
146,Prélude IX - (,C#,74 3/4,75
147,Prélude IX - (,B,75 1/4,75 1/2
148,Prélude IX - (,B-,75 3/4,76
149,Prélude IX - (,F#,76 1/4,76 1/2
150,Prélude IX - (,F,76 3/4,77
151,Prélude IX - (,F#,77 1/4,77 1/2
152,Prélude IX - (,B-,77 3/4,78
153,Prélude IX - (,B,78 1/4,78 1/2
154,Prélude IX - (,C#,78 3/4,79
155,Prélude IX - (,E-,79 1/4,79 1/2
156,Prélude IX - (,F#,80,80 1/2
