,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude V - (,B,0,2 1/4
1,Prélude V - (,B,2 1/2,4 3/4
2,Prélude V - (,F#,5 1/2,5 3/4
3,Prélude V - (,G#,5 3/4,6 1/4
4,Prélude V - (,B,5 3/4,6 1/4
5,Prélude V - (,E-,6 1/4,6 1/2
6,Prélude V - (,E,6 1/2,7 1/2
7,Prélude V - (,B,8 1/2,9
8,Prélude V - (,B,13,13 1/4
9,Prélude V - (,F#,13 1/2,13 3/4
10,Prélude V - (,C#,14,14 1/4
11,Prélude V - (,E,14 1/2,14 3/4
12,Prélude V - (,G#,15,15 1/4
13,Prélude V - (,B,15 1/2,15 3/4
14,Prélude V - (,F#,16 1/2,18 3/4
15,Prélude V - (,B,22 1/2,23
16,Prélude V - (,C#,22 1/2,23
17,Prélude V - (,E,22 1/2,23
18,Prélude V - (,B,23 1/2,24
19,Prélude V - (,C#,23 1/2,24
20,Prélude V - (,B,24 1/2,25
21,Prélude V - (,C#,24 1/2,25
22,Prélude V - (,B,25 1/2,26
23,Prélude V - (,D,25 1/2,26
24,Prélude V - (,B,26 1/2,27
25,Prélude V - (,C#,27 1/2,27 3/4
26,Prélude V - (,E-,27 3/4,28 1/4
27,Prélude V - (,F#,27 3/4,28 1/4
28,Prélude V - (,B-,28 1/4,28 1/2
29,Prélude V - (,C#,28 1/2,29
30,Prélude V - (,E-,28 1/2,29
31,Prélude V - (,F#,29,29 1/4
32,Prélude V - (,B,29 1/4,30 1/4
33,Prélude V - (,E-,29 1/4,30 1/4
34,Prélude V - (,F#,30 1/2,30 3/4
35,Prélude V - (,C#,30 1/2,30 3/4
36,Prélude V - (,E-,30 3/4,31
37,Prélude V - (,G#,30 3/4,31
38,Prélude V - (,F#,31 1/4,31 1/2
39,Prélude V - (,C#,31 1/4,31 1/2
40,Prélude V - (,E-,31 1/2,31 5/6
41,Prélude V - (,G#,31 1/2,31 5/6
42,Prélude V - (,E-,33,33 1/2
43,Prélude V - (,G#,39 1/2,39 3/4
44,Prélude V - (,G#,39 3/4,40
45,Prélude V - (,B-,40,40 1/4
46,Prélude V - (,G#,40 1/4,40 1/2
47,Prélude V - (,B-,40 1/2,40 3/4
48,Prélude V - (,B,41,41 1/4
49,Prélude V - (,C#,41 1/4,42 1/2
50,Prélude V - (,B,42 1/2,42 3/4
51,Prélude V - (,C#,42 3/4,43
52,Prélude V - (,B,43,43 1/4
53,Prélude V - (,B-,43 1/4,43 1/2
54,Prélude V - (,B-,43 1/2,43 3/4
55,Prélude V - (,G#,44,44 1/4
56,Prélude V - (,B-,44 1/4,45 1/2
57,Prélude V - (,G#,45 1/2,45 3/4
58,Prélude V - (,B-,45 3/4,46 1/4
59,Prélude V - (,G#,46 1/4,46 1/2
60,Prélude V - (,F#,46 1/2,47
61,Prélude V - (,G#,47,47 1/4
62,Prélude V - (,F#,47 1/4,47 3/4
63,Prélude V - (,E-,47 3/4,48
64,Prélude V - (,C#,48,48 1/2
65,Prélude V - (,E-,48 1/2,48 3/4
66,Prélude V - (,C#,48 3/4,49 1/4
67,Prélude V - (,B-,49 1/4,49 1/2
68,Prélude V - (,G#,49 1/2,50 1/4
69,Prélude V - (,B-,50 1/4,50 1/2
70,Prélude V - (,C#,50 3/4,51
71,Prélude V - (,E-,51,51 3/4
72,Prélude V - (,C#,51 3/4,52
73,Prélude V - (,B-,52 1/4,52 1/2
74,Prélude V - (,G#,52 1/2,53 1/4
75,Prélude V - (,B-,53 1/4,53 1/2
76,Prélude V - (,C#,53 1/2,53 3/4
77,Prélude V - (,E-,53 3/4,54
78,Prélude V - (,F#,54,54 1/4
79,Prélude V - (,E-,54 1/3,54 7/12
80,Prélude V - (,C#,54 3/4,55
81,Prélude V - (,B-,55,55 1/4
82,Prélude V - (,G#,55 1/2,56 1/4
83,Prélude V - (,B-,56 1/4,56 3/4
84,Prélude V - (,C#,56 3/4,57
85,Prélude V - (,G#,57,57 3/4
86,Prélude V - (,B-,57 3/4,58 1/4
87,Prélude V - (,G#,58 1/4,58 1/2
88,Prélude V - (,F#,58 1/2,58 3/4
89,Prélude V - (,F#,58 3/4,59
90,Prélude V - (,F#,59 1/4,59 1/2
91,Prélude V - (,F#,59 1/2,59 3/4
92,Prélude V - (,F#,59 3/4,60
93,Prélude V - (,F#,60,60 1/4
94,Prélude V - (,F#,60 1/4,60 1/2
95,Prélude V - (,F#,60 1/2,60 3/4
96,Prélude V - (,F#,60 3/4,61
97,Prélude V - (,F#,61,61 1/4
98,Prélude V - (,F#,61 1/4,61 1/2
99,Prélude V - (,F#,61 1/2,61 3/4
100,Prélude V - (,F#,61 3/4,62
101,Prélude V - (,F#,62,62 1/4
102,Prélude V - (,F#,62 1/4,62 1/2
103,Prélude V - (,F#,62 1/2,62 3/4
104,Prélude V - (,F#,62 3/4,63
105,Prélude V - (,F#,63,63 1/4
106,Prélude V - (,F#,63 1/4,63 1/2
107,Prélude V - (,F#,63 1/2,63 3/4
108,Prélude V - (,F#,63 3/4,64
109,Prélude V - (,F#,64,64 1/4
110,Prélude V - (,F#,64 1/4,64 1/2
111,Prélude V - (,F#,64 1/2,64 3/4
112,Prélude V - (,F#,64 3/4,65
113,Prélude V - (,F#,65 1/4,65 1/2
114,Prélude V - (,F#,65 1/2,65 3/4
115,Prélude V - (,F#,65 3/4,66
116,Prélude V - (,F#,66,66 1/4
117,Prélude V - (,F#,66 1/4,66 1/2
118,Prélude V - (,F#,66 1/2,66 3/4
119,Prélude V - (,F#,66 3/4,67
120,Prélude V - (,F#,67,67 1/4
121,Prélude V - (,F#,67 1/4,67 1/2
122,Prélude V - (,F#,67 1/2,67 3/4
123,Prélude V - (,F#,67 3/4,68
124,Prélude V - (,F#,68,68 1/4
125,Prélude V - (,F#,68 1/4,68 1/2
126,Prélude V - (,F#,68 1/2,68 3/4
127,Prélude V - (,F#,68 3/4,69
128,Prélude V - (,F#,69,69 1/4
129,Prélude V - (,F#,69 1/4,69 1/2
130,Prélude V - (,F#,69 1/2,69 3/4
131,Prélude V - (,F#,69 3/4,70
132,Prélude V - (,F#,70,70 1/4
133,Prélude V - (,F#,70 1/4,70 1/2
134,Prélude V - (,F#,70 1/2,70 3/4
135,Prélude V - (,F#,70 3/4,71
136,Prélude V - (,F#,71,71 1/4
137,Prélude V - (,F#,71 1/4,71 1/2
138,Prélude V - (,F#,71 1/2,71 3/4
139,Prélude V - (,F#,71 3/4,72
140,Prélude V - (,F#,72,72 1/4
141,Prélude V - (,F#,72 1/4,72 1/2
142,Prélude V - (,F#,72 1/2,72 3/4
143,Prélude V - (,F#,72 3/4,73
144,Prélude V - (,F#,73,73 1/4
145,Prélude V - (,F#,73 1/4,73 1/2
146,Prélude V - (,F#,73 1/2,73 3/4
147,Prélude V - (,F#,73 3/4,74
148,Prélude V - (,F#,74,74 1/4
149,Prélude V - (,F#,74 1/4,74 1/2
150,Prélude V - (,F#,74 1/2,74 3/4
151,Prélude V - (,F#,74 3/4,75
152,Prélude V - (,F#,75,75 1/4
153,Prélude V - (,F#,75 1/4,75 1/2
