,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude VI - (,B-,5,7
1,Prélude VI - (,C,7,7 1/2
2,Prélude VI - (,D,7 1/2,8
3,Prélude VI - (,E,9,10
4,Prélude VI - (,D,10,10 1/3
5,Prélude VI - (,C,10 1/3,10 2/3
6,Prélude VI - (,B-,10 2/3,11
7,Prélude VI - (,G,11,13
8,Prélude VI - (,C,13,14
9,Prélude VI - (,A,14,16
10,Prélude VI - (,A,17,18
11,Prélude VI - (,B,19,20
12,Prélude VI - (,C,21,22
13,Prélude VI - (,D,23,23 1/4
14,Prélude VI - (,E,23 1/2,24 1/2
15,Prélude VI - (,C,25,25 1/3
16,Prélude VI - (,A,25 1/3,25 2/3
17,Prélude VI - (,G,25 2/3,26
18,Prélude VI - (,E,26,26 1/2
19,Prélude VI - (,C,27,27 1/2
20,Prélude VI - (,B-,28,30
21,Prélude VI - (,B,30,32
22,Prélude VI - (,B-,32,34
23,Prélude VI - (,B,34,36
24,Prélude VI - (,B-,36,38
25,Prélude VI - (,B,38,40
26,Prélude VI - (,C#,38,40
27,Prélude VI - (,C,40,41
28,Prélude VI - (,B-,41,42
29,Prélude VI - (,F#,42,44
30,Prélude VI - (,B-,42,44
31,Prélude VI - (,F#,44,47 1/2
32,Prélude VI - (,B-,44,47 1/2
33,Prélude VI - (,F#,47 1/2,50
34,Prélude VI - (,B-,47 1/2,50
35,Prélude VI - (,F,47 1/2,50
36,Prélude VI - (,E,50,55
37,Prélude VI - (,B-,50,55
38,Prélude VI - (,F#,50,55
39,Prélude VI - (,D,58,58 1/4
40,Prélude VI - (,D,58,58 1/4
41,Prélude VI - (,E,58 1/4,60
42,Prélude VI - (,D,60,62
43,Prélude VI - (,C,63,65
44,Prélude VI - (,G#,65,66
45,Prélude VI - (,E,67,68 1/3
46,Prélude VI - (,D,68 1/3,68 2/3
47,Prélude VI - (,C,68 2/3,69
48,Prélude VI - (,G#,69,70
49,Prélude VI - (,E,71,72
50,Prélude VI - (,D,72,72 1/3
51,Prélude VI - (,C,72 1/3,72 2/3
52,Prélude VI - (,B-,72 2/3,73
53,Prélude VI - (,G,73,73 1/4
54,Prélude VI - (,A,73 1/2,73 3/4
55,Prélude VI - (,A,75,76
56,Prélude VI - (,B,77,78
57,Prélude VI - (,B,79,79 1/2
58,Prélude VI - (,E-,81,81 1/2
59,Prélude VI - (,B,81 1/2,82 1/2
60,Prélude VI - (,C#,82 1/2,83
61,Prélude VI - (,B-,83,83 1/2
62,Prélude VI - (,G#,83 1/2,84
63,Prélude VI - (,E-,85,85 1/2
64,Prélude VI - (,B,85 1/2,86 1/2
65,Prélude VI - (,C#,86 1/2,87
66,Prélude VI - (,E-,87,87 1/2
67,Prélude VI - (,F,87 1/2,89
68,Prélude VI - (,G#,89,89 1/2
69,Prélude VI - (,F,89 1/2,90 1/2
70,Prélude VI - (,F,91,91 1/2
71,Prélude VI - (,C#,91 1/2,92 1/2
72,Prélude VI - (,C#,93,93 1/2
73,Prélude VI - (,B-,93 1/2,95
74,Prélude VI - (,G#,95,97
75,Prélude VI - (,F,97,98
76,Prélude VI - (,D,98,98 1/4
77,Prélude VI - (,D,98,98 1/4
78,Prélude VI - (,E,98 1/4,100
79,Prélude VI - (,E,100,100 1/4
80,Prélude VI - (,F,100 1/4,102
81,Prélude VI - (,D,102,102 1/4
82,Prélude VI - (,D,102,102 1/4
83,Prélude VI - (,E,102 1/4,104
84,Prélude VI - (,E,104,104 1/4
85,Prélude VI - (,F,104 1/4,106
86,Prélude VI - (,D,106,106 1/4
87,Prélude VI - (,E,106 1/4,108
88,Prélude VI - (,E-,109,109 1/2
89,Prélude VI - (,B,109 1/2,110 1/2
90,Prélude VI - (,C#,110 1/2,111
91,Prélude VI - (,B-,111,111 1/2
92,Prélude VI - (,G#,111 1/2,113
93,Prélude VI - (,E-,113,113 1/2
94,Prélude VI - (,B,113 1/2,114 1/2
95,Prélude VI - (,C#,114 1/2,115
96,Prélude VI - (,E-,115,115 1/2
97,Prélude VI - (,F,115 1/2,117
98,Prélude VI - (,B,117,117 1/2
99,Prélude VI - (,G#,117 1/2,118 1/2
