,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude VIII - (,C#,0,1 1/2
1,Prélude VIII - (,B-,1 1/2,1 3/4
2,Prélude VIII - (,F#,1 3/4,2
3,Prélude VIII - (,E-,2,2 1/2
4,Prélude VIII - (,F#,2 1/2,2 3/4
5,Prélude VIII - (,B-,2 3/4,3
6,Prélude VIII - (,C#,3,3 1/2
7,Prélude VIII - (,B-,3 1/2,3 3/4
8,Prélude VIII - (,F#,3 3/4,4
9,Prélude VIII - (,E-,4,4 1/2
10,Prélude VIII - (,F#,4 1/2,4 3/4
11,Prélude VIII - (,B-,4 3/4,5
12,Prélude VIII - (,F#,5,5 1/2
13,Prélude VIII - (,F#,5 1/2,6
14,Prélude VIII - (,B,5 1/2,6
15,Prélude VIII - (,F#,6,11
16,Prélude VIII - (,B-,6,11
17,Prélude VIII - (,E-,11,11 1/2
18,Prélude VIII - (,F#,11 1/2,12
19,Prélude VIII - (,C#,12,13 1/2
20,Prélude VIII - (,F,12,13 1/2
21,Prélude VIII - (,G#,12,13 1/2
22,Prélude VIII - (,C#,13 1/2,14
23,Prélude VIII - (,F,13 1/2,14
24,Prélude VIII - (,C#,13 1/2,14
25,Prélude VIII - (,E-,14,14 1/2
26,Prélude VIII - (,F#,14,14 1/2
27,Prélude VIII - (,B-,14,14 1/2
28,Prélude VIII - (,C#,14 1/2,14 3/4
29,Prélude VIII - (,F#,14 1/2,14 3/4
30,Prélude VIII - (,B-,14 3/4,15
31,Prélude VIII - (,C#,15,16
32,Prélude VIII - (,F,15,16
33,Prélude VIII - (,D,16,17
34,Prélude VIII - (,F,16,17
35,Prélude VIII - (,B-,16,17
36,Prélude VIII - (,E-,17,19
37,Prélude VIII - (,B-,17,19
38,Prélude VIII - (,E-,17,19
39,Prélude VIII - (,B-,19,20 1/2
40,Prélude VIII - (,B,20 1/2,21
41,Prélude VIII - (,C#,21,23
42,Prélude VIII - (,E-,23,24
43,Prélude VIII - (,C#,24,25
44,Prélude VIII - (,E-,25,26
45,Prélude VIII - (,B-,26,26 1/2
46,Prélude VIII - (,C#,26,26 1/2
47,Prélude VIII - (,F#,26,26 1/2
48,Prélude VIII - (,G#,26 1/2,27
49,Prélude VIII - (,B,26 1/2,27
50,Prélude VIII - (,F#,27,30
51,Prélude VIII - (,B-,32 1/2,32 3/4
52,Prélude VIII - (,C#,32 3/4,33
53,Prélude VIII - (,E-,33,33 1/2
54,Prélude VIII - (,F#,33 1/2,33 3/4
55,Prélude VIII - (,G#,33 3/4,34
56,Prélude VIII - (,B,34,34 1/2
57,Prélude VIII - (,C#,34 1/2,35
58,Prélude VIII - (,E-,35,35 1/2
59,Prélude VIII - (,F#,35 1/2,36 1/2
60,Prélude VIII - (,F,36 1/2,36 3/4
61,Prélude VIII - (,E-,36 3/4,37
62,Prélude VIII - (,C#,37,38 1/4
63,Prélude VIII - (,B,38 1/4,38 1/2
64,Prélude VIII - (,B-,38 1/2,38 3/4
65,Prélude VIII - (,G#,38 3/4,39
66,Prélude VIII - (,E-,39,39 3/4
67,Prélude VIII - (,F,39 3/4,40
68,Prélude VIII - (,E-,40,40 3/4
69,Prélude VIII - (,C#,40 3/4,41
70,Prélude VIII - (,B,41,41 3/4
71,Prélude VIII - (,B-,41 3/4,42
72,Prélude VIII - (,G#,42,45
73,Prélude VIII - (,B,45,48
74,Prélude VIII - (,E-,45,48
75,Prélude VIII - (,B,48,49
76,Prélude VIII - (,F,49,51
77,Prélude VIII - (,B,51,52
78,Prélude VIII - (,F,52,54
79,Prélude VIII - (,G#,52,54
80,Prélude VIII - (,B-,52,54
81,Prélude VIII - (,G,54,55 1/2
82,Prélude VIII - (,C,56,56 1/2
83,Prélude VIII - (,E-,56 1/2,56 3/4
84,Prélude VIII - (,C,56 3/4,57
85,Prélude VIII - (,G,57,58 1/2
86,Prélude VIII - (,G,58 1/2,58 3/4
87,Prélude VIII - (,B-,58 3/4,60
88,Prélude VIII - (,G,60,61 1/2
89,Prélude VIII - (,G,61 1/2,61 3/4
90,Prélude VIII - (,B-,61 3/4,62
91,Prélude VIII - (,E-,62,63 1/2
92,Prélude VIII - (,F#,62,63 1/2
93,Prélude VIII - (,B,62,63 1/2
94,Prélude VIII - (,E-,62,63 1/2
95,Prélude VIII - (,F,63 1/2,64
96,Prélude VIII - (,G#,63 1/2,64
97,Prélude VIII - (,E-,64,64 1/2
98,Prélude VIII - (,F#,64,64 1/2
99,Prélude VIII - (,G#,64 1/2,66
100,Prélude VIII - (,C,64 1/2,66
101,Prélude VIII - (,E-,66,66 1/2
102,Prélude VIII - (,F#,66,66 1/2
103,Prélude VIII - (,B,66,66 1/2
104,Prélude VIII - (,E-,66,66 1/2
105,Prélude VIII - (,F,66 1/2,67
106,Prélude VIII - (,G#,66 1/2,67
107,Prélude VIII - (,E-,67,67 1/2
108,Prélude VIII - (,F#,67,67 1/2
109,Prélude VIII - (,B-,67,67 1/2
110,Prélude VIII - (,E-,67 1/2,68 1/2
111,Prélude VIII - (,G#,67 1/2,68 1/2
112,Prélude VIII - (,B,68 1/2,69
113,Prélude VIII - (,B-,69,69 3/4
114,Prélude VIII - (,E-,69,69 3/4
115,Prélude VIII - (,B-,69,69 3/4
116,Prélude VIII - (,F#,69 3/4,70
117,Prélude VIII - (,C#,69 3/4,70
118,Prélude VIII - (,F#,69 3/4,70
119,Prélude VIII - (,E-,70,70 1/2
120,Prélude VIII - (,B-,70,70 1/2
121,Prélude VIII - (,E-,70,70 1/2
122,Prélude VIII - (,F#,70 1/2,71
123,Prélude VIII - (,C#,70 1/2,71
124,Prélude VIII - (,F#,70 1/2,71
125,Prélude VIII - (,B-,71,71 1/2
126,Prélude VIII - (,E-,71,71 1/2
127,Prélude VIII - (,B-,71,71 1/2
128,Prélude VIII - (,C#,71 1/2,72
129,Prélude VIII - (,F#,71 1/2,72
130,Prélude VIII - (,C#,71 1/2,72
131,Prélude VIII - (,B-,72,72 1/2
132,Prélude VIII - (,E-,72,72 1/2
133,Prélude VIII - (,B-,72,72 1/2
134,Prélude VIII - (,F#,72 1/2,73
135,Prélude VIII - (,C#,72 1/2,73
136,Prélude VIII - (,F#,72 1/2,73
137,Prélude VIII - (,E-,73,74
138,Prélude VIII - (,B-,73,74
139,Prélude VIII - (,E-,73,74
140,Prélude VIII - (,F#,74,75
141,Prélude VIII - (,B,74,75
142,Prélude VIII - (,F#,74,75
143,Prélude VIII - (,B-,75,75 3/4
144,Prélude VIII - (,E-,75,75 3/4
145,Prélude VIII - (,B-,75,75 3/4
146,Prélude VIII - (,F#,75 3/4,76
147,Prélude VIII - (,C#,75 3/4,76
148,Prélude VIII - (,F#,75 3/4,76
149,Prélude VIII - (,B-,76,76 1/2
150,Prélude VIII - (,E-,76,76 1/2
151,Prélude VIII - (,B-,76,76 1/2
152,Prélude VIII - (,C#,76 1/2,77
153,Prélude VIII - (,F#,76 1/2,77
154,Prélude VIII - (,C#,76 1/2,77
155,Prélude VIII - (,E-,77,77 1/2
156,Prélude VIII - (,B-,77,77 1/2
157,Prélude VIII - (,E-,77,77 1/2
158,Prélude VIII - (,F#,77 1/2,78
159,Prélude VIII - (,C#,77 1/2,78
160,Prélude VIII - (,F#,77 1/2,78
161,Prélude VIII - (,B-,78,78 1/2
162,Prélude VIII - (,E-,78,78 1/2
163,Prélude VIII - (,B-,78,78 1/2
164,Prélude VIII - (,F#,78 1/2,79
165,Prélude VIII - (,C#,78 1/2,79
166,Prélude VIII - (,F#,78 1/2,79
167,Prélude VIII - (,B,79,80
168,Prélude VIII - (,B-,79,80
169,Prélude VIII - (,G#,80,81
170,Prélude VIII - (,C#,80,81
171,Prélude VIII - (,F#,81,86 3/4
172,Prélude VIII - (,B,81,86 3/4
173,Prélude VIII - (,E-,81,86 3/4
174,Prélude VIII - (,F#,81,86 3/4
175,Prélude VIII - (,B-,86 3/4,87
176,Prélude VIII - (,E-,87,89
177,Prélude VIII - (,F#,87,89
178,Prélude VIII - (,G#,89,90
179,Prélude VIII - (,F#,90,93
180,Prélude VIII - (,B-,90,93
181,Prélude VIII - (,C#,93,96
182,Prélude VIII - (,F#,93,96
183,Prélude VIII - (,E-,96,96 3/4
184,Prélude VIII - (,F,96 3/4,97
185,Prélude VIII - (,E-,97,97 3/4
186,Prélude VIII - (,C#,97 3/4,98
187,Prélude VIII - (,B,98,98 3/4
188,Prélude VIII - (,B-,98 3/4,99
189,Prélude VIII - (,G#,99,99 3/4
190,Prélude VIII - (,B-,99 3/4,100
191,Prélude VIII - (,B,100,100 3/4
192,Prélude VIII - (,B-,100 3/4,101
193,Prélude VIII - (,G#,101,101 3/4
194,Prélude VIII - (,B-,101 3/4,102
