,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude X - (,D,0,4
1,Prélude X - (,D,4,5
2,Prélude X - (,G,4,5
3,Prélude X - (,E,5,5 3/4
4,Prélude X - (,A,5,5 3/4
5,Prélude X - (,E,5,5 3/4
6,Prélude X - (,D,12,16
7,Prélude X - (,D,16,17
8,Prélude X - (,G,16,17
9,Prélude X - (,E,17,17 3/4
10,Prélude X - (,A,17,17 3/4
11,Prélude X - (,E,17,17 3/4
12,Prélude X - (,D,24,28
13,Prélude X - (,D,28,29
14,Prélude X - (,G,28,29
15,Prélude X - (,E,29,31
16,Prélude X - (,E,29,31
17,Prélude X - (,E,31,34
18,Prélude X - (,E,31,34
19,Prélude X - (,E,34,38
20,Prélude X - (,E,34,38
21,Prélude X - (,E,38,42
22,Prélude X - (,E,38,42
23,Prélude X - (,E,42,48
24,Prélude X - (,E,42,48
25,Prélude X - (,E,48,52
26,Prélude X - (,E,48,52
27,Prélude X - (,E,52,56
28,Prélude X - (,G#,52,56
29,Prélude X - (,E,52,56
30,Prélude X - (,E,56,60
31,Prélude X - (,E,56,60
32,Prélude X - (,E,60,64
33,Prélude X - (,E,60,64
34,Prélude X - (,E,64,68
35,Prélude X - (,E,64,68
36,Prélude X - (,E,68,72
37,Prélude X - (,E,68,72
38,Prélude X - (,E,72,77 2/3
39,Prélude X - (,B,72,77 2/3
40,Prélude X - (,E,72,77 2/3
41,Prélude X - (,B,78,81
42,Prélude X - (,B,81,82
43,Prélude X - (,E,81,82
44,Prélude X - (,D,82,83
45,Prélude X - (,G,82,83
46,Prélude X - (,D,82,83
47,Prélude X - (,E,83,84
48,Prélude X - (,A,83,84
49,Prélude X - (,E,83,84
50,Prélude X - (,B,84,85
51,Prélude X - (,E,84,85
52,Prélude X - (,B,84,85
53,Prélude X - (,E,85,86
54,Prélude X - (,A,85,86
55,Prélude X - (,E,85,86
56,Prélude X - (,D,86,87
57,Prélude X - (,G,86,87
58,Prélude X - (,D,86,87
59,Prélude X - (,B,87,88
60,Prélude X - (,E,87,88
61,Prélude X - (,B,87,88
62,Prélude X - (,E,88,89
63,Prélude X - (,A,88,89
64,Prélude X - (,E,88,89
65,Prélude X - (,D,89,90
66,Prélude X - (,G,89,90
67,Prélude X - (,D,89,90
68,Prélude X - (,E-,91,92
