,score_name,pitch_name,pitch_onset,pitch_offset
0,Prélude XII - (,B,1/2,3/4
1,Prélude XII - (,A,1/2,3/4
2,Prélude XII - (,E,3/4,1
3,Prélude XII - (,D,1,1 1/4
4,Prélude XII - (,C,1,1 1/4
5,Prélude XII - (,B,2 1/2,2 3/4
6,Prélude XII - (,A,2 1/2,2 3/4
7,Prélude XII - (,E,2 3/4,3
8,Prélude XII - (,D,3,3 1/4
9,Prélude XII - (,C,3,3 1/4
10,Prélude XII - (,F#,3 1/4,3 1/2
11,Prélude XII - (,F#,3 1/2,3 3/4
12,Prélude XII - (,B,4 1/2,4 3/4
13,Prélude XII - (,A,4 1/2,4 3/4
14,Prélude XII - (,E,4 3/4,5
15,Prélude XII - (,D,5,5 1/4
16,Prélude XII - (,C,5,5 1/4
17,Prélude XII - (,F#,5 1/4,5 1/2
18,Prélude XII - (,F#,5 1/2,5 3/4
19,Prélude XII - (,E,5 3/4,6
20,Prélude XII - (,B,6,6 1/4
21,Prélude XII - (,A,6,6 1/4
22,Prélude XII - (,D,6 1/4,6 1/2
23,Prélude XII - (,D,6 1/2,6 3/4
24,Prélude XII - (,B,6 3/4,7
25,Prélude XII - (,B,6 3/4,7
26,Prélude XII - (,B,10 1/2,10 3/4
27,Prélude XII - (,A,10 1/2,10 3/4
28,Prélude XII - (,E,10 3/4,11
29,Prélude XII - (,D,11,11 1/4
30,Prélude XII - (,C,11,11 1/4
31,Prélude XII - (,B,12 1/2,12 3/4
32,Prélude XII - (,A,12 1/2,12 3/4
33,Prélude XII - (,E,12 3/4,13
34,Prélude XII - (,D,13,13 1/4
35,Prélude XII - (,C,13,13 1/4
36,Prélude XII - (,F#,13 1/4,13 1/2
37,Prélude XII - (,F#,13 1/2,13 3/4
38,Prélude XII - (,B,14 1/2,14 3/4
39,Prélude XII - (,A,14 1/2,14 3/4
40,Prélude XII - (,E,14 3/4,15
41,Prélude XII - (,D,15,15 1/4
42,Prélude XII - (,C,15,15 1/4
43,Prélude XII - (,F#,15 1/4,15 1/2
44,Prélude XII - (,F#,15 1/2,15 3/4
45,Prélude XII - (,E,15 3/4,16
46,Prélude XII - (,B,16,16 1/4
47,Prélude XII - (,A,16,16 1/4
48,Prélude XII - (,D,16 1/4,16 1/2
49,Prélude XII - (,D,16 1/2,16 3/4
50,Prélude XII - (,B,16 3/4,17
51,Prélude XII - (,B,16 3/4,17
52,Prélude XII - (,D,20 1/2,20 3/4
53,Prélude XII - (,E,20 1/2,20 3/4
54,Prélude XII - (,A,20 3/4,21
55,Prélude XII - (,B,20 3/4,21
56,Prélude XII - (,D,21,21 1/4
57,Prélude XII - (,E,21,21 1/4
58,Prélude XII - (,A,21 1/4,21 1/2
59,Prélude XII - (,B,21 1/4,21 1/2
60,Prélude XII - (,D,21 1/2,21 3/4
61,Prélude XII - (,E,21 1/2,21 3/4
62,Prélude XII - (,A,21 3/4,22
63,Prélude XII - (,B,21 3/4,22
64,Prélude XII - (,D,22,22 1/4
65,Prélude XII - (,E,22,22 1/4
66,Prélude XII - (,A,22 1/4,22 1/2
67,Prélude XII - (,B,22 1/4,22 1/2
68,Prélude XII - (,D,22 1/2,22 3/4
