,score_name,pitch_name,pitch_onset,pitch_offset
0,childrens_corner_5_(c)oguri,G#,17 1/4,21 11/12
1,childrens_corner_5_(c)oguri,E,22 3/4,24
2,childrens_corner_5_(c)oguri,E,25,25 3/4
3,childrens_corner_5_(c)oguri,C#,26 1/4,27
4,childrens_corner_5_(c)oguri,B,28 1/3,30 2/3
5,childrens_corner_5_(c)oguri,F#,38 1/3,40
6,childrens_corner_5_(c)oguri,D,40 1/2,47 1/4
7,childrens_corner_5_(c)oguri,D,47 1/2,52 1/2
8,childrens_corner_5_(c)oguri,F,54,54 1/2
9,childrens_corner_5_(c)oguri,G,61 1/4,61 3/4
10,childrens_corner_5_(c)oguri,D,62,69 1/2
11,childrens_corner_5_(c)oguri,C#,70 1/4,71 1/2
12,childrens_corner_5_(c)oguri,B,71 1/2,71 3/4
13,childrens_corner_5_(c)oguri,C#,71 3/4,72 1/4
14,childrens_corner_5_(c)oguri,D,72 1/2,72 3/4
15,childrens_corner_5_(c)oguri,G#,72 3/4,74 5/12
16,childrens_corner_5_(c)oguri,C#,74 1/2,75 1/6
17,childrens_corner_5_(c)oguri,C#,75 1/3,75 5/6
18,childrens_corner_5_(c)oguri,D,76,76 1/3
19,childrens_corner_5_(c)oguri,E,76 1/3,76 5/6
20,childrens_corner_5_(c)oguri,E,77,77 1/3
21,childrens_corner_5_(c)oguri,C#,77 1/2,77 5/6
22,childrens_corner_5_(c)oguri,C#,78 1/3,79 1/3
23,childrens_corner_5_(c)oguri,B,79 2/3,87 1/6
24,childrens_corner_5_(c)oguri,C#,89,89 3/4
25,childrens_corner_5_(c)oguri,B,89 3/4,90 1/12
26,childrens_corner_5_(c)oguri,C#,90 1/4,90 3/4
27,childrens_corner_5_(c)oguri,D,90 3/4,91 1/12
28,childrens_corner_5_(c)oguri,D,91 2/3,92
29,childrens_corner_5_(c)oguri,C#,92,92 1/2
30,childrens_corner_5_(c)oguri,C#,92 2/3,93 1/3
31,childrens_corner_5_(c)oguri,C#,93 1/2,94 1/4
32,childrens_corner_5_(c)oguri,A,94 1/2,96 1/2
33,childrens_corner_5_(c)oguri,D,96 1/2,102 1/2
34,childrens_corner_5_(c)oguri,C#,103 2/3,105 2/3
35,childrens_corner_5_(c)oguri,G#,105 3/4,106 3/4
36,childrens_corner_5_(c)oguri,F#,107,108 2/3
37,childrens_corner_5_(c)oguri,G#,109,114 1/2
38,childrens_corner_5_(c)oguri,E,109,114 1/2
39,childrens_corner_5_(c)oguri,E,115 1/2,117 3/4
40,childrens_corner_5_(c)oguri,D,117 3/4,118
41,childrens_corner_5_(c)oguri,C#,118,118 1/4
