,score_name,pitch_name,pitch_onset,pitch_offset
0,childrens_corner_6_(c)dery,B-,0,1/4
1,childrens_corner_6_(c)dery,G#,1/4,1/2
2,childrens_corner_6_(c)dery,B-,3/4,1
3,childrens_corner_6_(c)dery,F,1,1 1/4
4,childrens_corner_6_(c)dery,B-,1 1/2,1 3/4
5,childrens_corner_6_(c)dery,G#,2,2 1/4
6,childrens_corner_6_(c)dery,F,2 1/4,2 3/4
7,childrens_corner_6_(c)dery,E-,2 3/4,3
8,childrens_corner_6_(c)dery,B,3,4
9,childrens_corner_6_(c)dery,G#,4 1/4,4 1/2
10,childrens_corner_6_(c)dery,F,4 1/2,4 3/4
11,childrens_corner_6_(c)dery,E-,4 3/4,5
12,childrens_corner_6_(c)dery,B,5,6
13,childrens_corner_6_(c)dery,B-,18,18 1/4
14,childrens_corner_6_(c)dery,G#,18 1/4,18 3/4
15,childrens_corner_6_(c)dery,B-,18 3/4,19
16,childrens_corner_6_(c)dery,F,19,19 1/4
17,childrens_corner_6_(c)dery,B,19 1/2,20
18,childrens_corner_6_(c)dery,E-,19 1/2,20
19,childrens_corner_6_(c)dery,G#,20,20 1/4
20,childrens_corner_6_(c)dery,F,20 1/4,20 3/4
21,childrens_corner_6_(c)dery,E-,20 3/4,21
22,childrens_corner_6_(c)dery,B,21,21 1/4
23,childrens_corner_6_(c)dery,B,21 1/2,22
24,childrens_corner_6_(c)dery,B-,22,22 1/4
25,childrens_corner_6_(c)dery,B-,22 1/4,22 1/2
26,childrens_corner_6_(c)dery,C,22 3/4,23
27,childrens_corner_6_(c)dery,B-,23,23 1/2
28,childrens_corner_6_(c)dery,E-,23 1/2,23 3/4
29,childrens_corner_6_(c)dery,B-,23 1/2,23 3/4
30,childrens_corner_6_(c)dery,B-,24,26
31,childrens_corner_6_(c)dery,B-,34,34 1/4
32,childrens_corner_6_(c)dery,G#,34 1/4,34 3/4
33,childrens_corner_6_(c)dery,B-,34 3/4,35
34,childrens_corner_6_(c)dery,F,35,35 1/4
35,childrens_corner_6_(c)dery,B,35 1/2,36
36,childrens_corner_6_(c)dery,E-,35 1/2,36
37,childrens_corner_6_(c)dery,G#,36,36 1/4
38,childrens_corner_6_(c)dery,F,36 1/4,36 3/4
39,childrens_corner_6_(c)dery,E-,36 3/4,37
40,childrens_corner_6_(c)dery,B,37,37 1/4
41,childrens_corner_6_(c)dery,B,37 1/2,38
42,childrens_corner_6_(c)dery,B-,38,38 1/4
43,childrens_corner_6_(c)dery,B-,38 1/4,38 1/2
44,childrens_corner_6_(c)dery,C,38 3/4,39
45,childrens_corner_6_(c)dery,B-,39,39 1/2
46,childrens_corner_6_(c)dery,E-,39 1/2,39 3/4
47,childrens_corner_6_(c)dery,B-,39 1/2,39 3/4
48,childrens_corner_6_(c)dery,B-,40,42
49,childrens_corner_6_(c)dery,B-,42,42 1/4
50,childrens_corner_6_(c)dery,B-,42 1/4,42 1/2
51,childrens_corner_6_(c)dery,C,42 3/4,43
52,childrens_corner_6_(c)dery,B-,43,43 1/4
53,childrens_corner_6_(c)dery,C#,43 1/2,43 3/4
54,childrens_corner_6_(c)dery,E-,44,44 1/4
55,childrens_corner_6_(c)dery,F,44 1/2,44 3/4
56,childrens_corner_6_(c)dery,E-,45,45 1/4
57,childrens_corner_6_(c)dery,F#,45 1/2,45 3/4
58,childrens_corner_6_(c)dery,F,46,46 1/4
