,score_name,pitch_name,pitch_onset,pitch_offset
0,deuxieme_arabesque,E,0,1/4
1,deuxieme_arabesque,F#,1/4,1/2
2,deuxieme_arabesque,A,1/2,3/4
3,deuxieme_arabesque,A,1,1 1/4
4,deuxieme_arabesque,B,1 1/4,1 1/2
5,deuxieme_arabesque,D,1 1/2,1 3/4
6,deuxieme_arabesque,E,2,2 1/4
7,deuxieme_arabesque,F#,2 1/4,2 1/2
8,deuxieme_arabesque,A,2 1/2,2 3/4
9,deuxieme_arabesque,A,3,3 1/4
10,deuxieme_arabesque,B,3 1/4,3 1/2
11,deuxieme_arabesque,D,3 1/2,3 3/4
12,deuxieme_arabesque,E,4,4 1/4
13,deuxieme_arabesque,F#,4 1/4,4 1/2
14,deuxieme_arabesque,B,4 1/2,4 3/4
15,deuxieme_arabesque,B,5,5 1/4
16,deuxieme_arabesque,C,5 1/4,5 1/2
17,deuxieme_arabesque,D,5 1/2,5 3/4
18,deuxieme_arabesque,E,6,6 1/4
19,deuxieme_arabesque,F#,6 1/4,6 1/2
20,deuxieme_arabesque,B,6 1/2,6 3/4
21,deuxieme_arabesque,B,7,7 1/4
22,deuxieme_arabesque,C,7 1/4,7 1/2
23,deuxieme_arabesque,D,7 1/2,7 3/4
24,deuxieme_arabesque,E,8,8 1/4
25,deuxieme_arabesque,F#,8 1/4,8 1/2
26,deuxieme_arabesque,C,8 1/2,8 3/4
27,deuxieme_arabesque,C,9,9 1/4
28,deuxieme_arabesque,D,9 1/4,9 1/2
29,deuxieme_arabesque,D,9 1/2,9 3/4
30,deuxieme_arabesque,E,10,10 1/4
31,deuxieme_arabesque,F#,10 1/4,10 1/2
32,deuxieme_arabesque,C,10 1/2,10 3/4
33,deuxieme_arabesque,C,11,11 1/4
34,deuxieme_arabesque,D,11 1/4,11 1/2
35,deuxieme_arabesque,D,11 1/2,11 3/4
36,deuxieme_arabesque,E,12,12 1/4
37,deuxieme_arabesque,F#,12 1/4,12 1/2
38,deuxieme_arabesque,C,12 1/2,12 3/4
39,deuxieme_arabesque,C,13,13 1/4
40,deuxieme_arabesque,D,13 1/4,13 1/2
41,deuxieme_arabesque,D,13 1/2,13 3/4
42,deuxieme_arabesque,E,14,14 1/4
43,deuxieme_arabesque,F#,14 1/4,14 1/2
44,deuxieme_arabesque,C,14 1/2,14 3/4
45,deuxieme_arabesque,C,15,15 1/4
46,deuxieme_arabesque,D,15 1/4,15 1/2
47,deuxieme_arabesque,D,15 1/2,15 3/4
48,deuxieme_arabesque,E,16,16 1/4
49,deuxieme_arabesque,F#,16 1/4,16 1/2
50,deuxieme_arabesque,B,16 1/2,16 3/4
51,deuxieme_arabesque,D,17,17 1/4
52,deuxieme_arabesque,E,17 1/4,17 1/2
53,deuxieme_arabesque,G,17 1/2,17 3/4
54,deuxieme_arabesque,B,18,18 1/4
55,deuxieme_arabesque,C,18 1/4,18 1/2
56,deuxieme_arabesque,D,18 1/2,18 3/4
57,deuxieme_arabesque,A,19,19 1/4
58,deuxieme_arabesque,B,19 1/4,19 1/2
59,deuxieme_arabesque,E,19 1/2,19 3/4
60,deuxieme_arabesque,E,20,20 1/4
61,deuxieme_arabesque,F#,20 1/4,20 1/2
62,deuxieme_arabesque,B,20 1/2,20 3/4
63,deuxieme_arabesque,D,21,21 1/4
64,deuxieme_arabesque,E,21 1/4,21 1/2
65,deuxieme_arabesque,G,21 1/2,21 3/4
66,deuxieme_arabesque,B,22,22 1/4
67,deuxieme_arabesque,C,22 1/4,22 1/2
68,deuxieme_arabesque,D,22 1/2,22 3/4
69,deuxieme_arabesque,A,23,23 1/4
70,deuxieme_arabesque,B,23 1/4,23 1/2
71,deuxieme_arabesque,E,23 1/2,23 3/4
72,deuxieme_arabesque,G,24,24 1/4
73,deuxieme_arabesque,A,24 1/4,24 1/2
74,deuxieme_arabesque,D,24 1/2,24 3/4
75,deuxieme_arabesque,E,25,25 1/4
76,deuxieme_arabesque,G,25 1/3,25 7/12
77,deuxieme_arabesque,B,25 2/3,25 11/12
78,deuxieme_arabesque,G,26,26 1/4
79,deuxieme_arabesque,A,26 1/4,26 1/2
80,deuxieme_arabesque,D,26 1/2,26 3/4
81,deuxieme_arabesque,E,27,27 1/4
82,deuxieme_arabesque,G,27 1/3,27 7/12
83,deuxieme_arabesque,B,27 2/3,27 11/12
84,deuxieme_arabesque,A,28,28 1/4
85,deuxieme_arabesque,B,28 1/4,28 1/2
86,deuxieme_arabesque,E,28 1/2,28 3/4
87,deuxieme_arabesque,A,29,29 1/2
88,deuxieme_arabesque,C,29,29 1/2
89,deuxieme_arabesque,E,29,29 1/2
90,deuxieme_arabesque,D,29 1/2,30
91,deuxieme_arabesque,D,30,30 1/2
92,deuxieme_arabesque,D,30,30 1/2
93,deuxieme_arabesque,F#,30,30 1/2
94,deuxieme_arabesque,A,30 1/2,31
95,deuxieme_arabesque,F#,31,31 1/4
96,deuxieme_arabesque,D,31 1/2,31 3/4
97,deuxieme_arabesque,E,32,32 1/4
98,deuxieme_arabesque,F#,32 1/4,32 1/2
99,deuxieme_arabesque,B,32 1/2,32 3/4
100,deuxieme_arabesque,D,33,33 1/4
101,deuxieme_arabesque,E,33 1/4,33 1/2
102,deuxieme_arabesque,G,33 1/2,33 3/4
103,deuxieme_arabesque,B,34,34 1/4
104,deuxieme_arabesque,C,34 1/4,34 1/2
105,deuxieme_arabesque,D,34 1/2,34 3/4
106,deuxieme_arabesque,A,35,35 1/4
107,deuxieme_arabesque,B,35 1/4,35 1/2
108,deuxieme_arabesque,E,35 1/2,35 3/4
109,deuxieme_arabesque,E,36,36 1/4
110,deuxieme_arabesque,F#,36 1/4,36 1/2
111,deuxieme_arabesque,B,36 1/2,36 3/4
