,score_name,pitch_name,pitch_onset,pitch_offset
0,estamp1_Pagodes,B,9 1/2,13
1,estamp1_Pagodes,G#,15 2/3,17 1/3
2,estamp1_Pagodes,F#,15 2/3,17 1/3
3,estamp1_Pagodes,B,17 2/3,18 11/12
4,estamp1_Pagodes,F#,17 2/3,18 11/12
5,estamp1_Pagodes,F#,20 2/3,24 5/12
6,estamp1_Pagodes,F#,26 1/4,27 1/2
7,estamp1_Pagodes,B,27 1/2,27 5/6
8,estamp1_Pagodes,G#,29 1/4,30
9,estamp1_Pagodes,E-,30 1/4,32
10,estamp1_Pagodes,F#,32 3/4,33 1/12
11,estamp1_Pagodes,G#,33 1/4,33 7/12
12,estamp1_Pagodes,E-,33 2/3,34
13,estamp1_Pagodes,F#,34,34 1/3
14,estamp1_Pagodes,E-,34 1/3,35 1/3
15,estamp1_Pagodes,F#,34 1/3,35 1/3
16,estamp1_Pagodes,G#,36 1/4,37
17,estamp1_Pagodes,E-,37,37 1/3
18,estamp1_Pagodes,F#,37 3/4,39
19,estamp1_Pagodes,B,37 3/4,39
20,estamp1_Pagodes,E-,37 3/4,39
21,estamp1_Pagodes,E-,39 1/2,39 5/6
22,estamp1_Pagodes,C#,40,40 1/2
23,estamp1_Pagodes,E-,40 1/2,40 3/4
24,estamp1_Pagodes,F#,41 1/4,42 3/4
25,estamp1_Pagodes,G#,41 1/4,42 3/4
26,estamp1_Pagodes,B,43,43 3/4
27,estamp1_Pagodes,E-,44 3/4,46 1/12
28,estamp1_Pagodes,E-,44 3/4,46 1/12
29,estamp1_Pagodes,B,44 3/4,46 1/12
30,estamp1_Pagodes,E-,46 2/3,48
31,estamp1_Pagodes,G#,46 2/3,48
32,estamp1_Pagodes,F#,46 2/3,48
33,estamp1_Pagodes,E-,46 2/3,48
34,estamp1_Pagodes,B,46 2/3,48
35,estamp1_Pagodes,A,46 2/3,48
36,estamp1_Pagodes,F#,48 1/3,48 5/6
37,estamp1_Pagodes,E-,49 1/4,49 7/12
38,estamp1_Pagodes,E-,50,50 3/4
39,estamp1_Pagodes,B,50,50 3/4
40,estamp1_Pagodes,E-,50,50 3/4
41,estamp1_Pagodes,A,50,50 3/4
42,estamp1_Pagodes,G#,51 2/3,52 5/12
43,estamp1_Pagodes,E-,52 1/2,52 3/4
44,estamp1_Pagodes,E-,53 1/4,54 1/4
45,estamp1_Pagodes,B,53 1/4,54 1/4
46,estamp1_Pagodes,E-,53 1/4,54 1/4
47,estamp1_Pagodes,A,53 1/4,54 1/4
48,estamp1_Pagodes,E-,54 1/4,54 1/2
49,estamp1_Pagodes,E-,55,56
50,estamp1_Pagodes,F#,55,56
51,estamp1_Pagodes,E-,56,56 1/3
52,estamp1_Pagodes,F#,57,58 1/2
53,estamp1_Pagodes,B,58 3/4,59 1/2
54,estamp1_Pagodes,G#,60 2/3,61 1/3
55,estamp1_Pagodes,E-,61 2/3,63 2/3
56,estamp1_Pagodes,G#,64 1/4,65 1/2
57,estamp1_Pagodes,B,65 3/4,66 1/4
58,estamp1_Pagodes,E,66 1/4,67 1/4
59,estamp1_Pagodes,G#,67 1/2,68 1/4
60,estamp1_Pagodes,E-,68 1/4,68 7/12
61,estamp1_Pagodes,B,69,70
62,estamp1_Pagodes,E-,70,70 1/2
63,estamp1_Pagodes,G#,71,72 1/4
64,estamp1_Pagodes,G#,72 2/3,73 2/3
65,estamp1_Pagodes,B,74 1/4,74 11/12
66,estamp1_Pagodes,E-,75 3/4,76 5/12
67,estamp1_Pagodes,E-,76 2/3,78 2/3
68,estamp1_Pagodes,G#,79,80
69,estamp1_Pagodes,F#,80,80 1/2
70,estamp1_Pagodes,B,80 1/2,81
71,estamp1_Pagodes,C#,80 1/2,81
72,estamp1_Pagodes,C#,81 1/4,81 3/4
73,estamp1_Pagodes,G#,82,82 1/2
74,estamp1_Pagodes,E-,82,82 1/2
75,estamp1_Pagodes,E-,82 3/4,83
76,estamp1_Pagodes,B,83 1/2,84 1/2
