,score_name,pitch_name,pitch_onset,pitch_offset
0,estamp2_La soirée_dans_Grenade,C#,8 2/3,9 5/12
1,estamp2_La soirée_dans_Grenade,G#,11 1/4,11 11/12
2,estamp2_La soirée_dans_Grenade,C#,12,12 2/3
3,estamp2_La soirée_dans_Grenade,G#,13 1/4,14 1/4
4,estamp2_La soirée_dans_Grenade,C#,14 2/3,15 2/3
5,estamp2_La soirée_dans_Grenade,C#,14 2/3,15 2/3
6,estamp2_La soirée_dans_Grenade,G#,17,17 1/2
7,estamp2_La soirée_dans_Grenade,C#,17 2/3,18 1/6
8,estamp2_La soirée_dans_Grenade,G#,19,19 1/3
9,estamp2_La soirée_dans_Grenade,G#,19 2/3,19 11/12
10,estamp2_La soirée_dans_Grenade,C#,20 1/3,23 5/6
11,estamp2_La soirée_dans_Grenade,G#,24 1/2,24 5/6
12,estamp2_La soirée_dans_Grenade,G#,25,25 1/4
13,estamp2_La soirée_dans_Grenade,C#,25 3/4,28 3/4
14,estamp2_La soirée_dans_Grenade,G#,30,30 1/4
15,estamp2_La soirée_dans_Grenade,G#,30 3/4,31
16,estamp2_La soirée_dans_Grenade,C#,31 2/3,31 11/12
17,estamp2_La soirée_dans_Grenade,C#,34,34 1/4
18,estamp2_La soirée_dans_Grenade,C#,34 2/3,35 1/6
19,estamp2_La soirée_dans_Grenade,C#,36,36 1/4
20,estamp2_La soirée_dans_Grenade,C#,37 1/3,42 1/12
21,estamp2_La soirée_dans_Grenade,D,43,44 1/4
22,estamp2_La soirée_dans_Grenade,C#,45 1/4,45 1/2
23,estamp2_La soirée_dans_Grenade,C#,45 3/4,46 1/12
24,estamp2_La soirée_dans_Grenade,C#,47,47 1/2
25,estamp2_La soirée_dans_Grenade,C#,48 1/3,53 7/12
26,estamp2_La soirée_dans_Grenade,C#,54 1/4,54 11/12
27,estamp2_La soirée_dans_Grenade,A,55 1/4,55 3/4
28,estamp2_La soirée_dans_Grenade,C,55 3/4,63
29,estamp2_La soirée_dans_Grenade,A,63,64
30,estamp2_La soirée_dans_Grenade,F#,64 1/3,65 1/12
31,estamp2_La soirée_dans_Grenade,C#,65 1/4,66 3/4
32,estamp2_La soirée_dans_Grenade,C#,67 1/4,67 7/12
33,estamp2_La soirée_dans_Grenade,C#,68,68 1/2
34,estamp2_La soirée_dans_Grenade,G#,69 1/4,70
35,estamp2_La soirée_dans_Grenade,D,70 1/2,70 5/6
36,estamp2_La soirée_dans_Grenade,C,71 1/2,72 1/6
37,estamp2_La soirée_dans_Grenade,C#,72 2/3,72 11/12
38,estamp2_La soirée_dans_Grenade,C#,73 1/3,73 5/6
39,estamp2_La soirée_dans_Grenade,A,74 1/3,75 1/3
