,score_name,pitch_name,pitch_onset,pitch_offset
0,estamp3_Jardins_sous_la_pluie,E,5 1/2,5 3/4
1,estamp3_Jardins_sous_la_pluie,E,5 3/4,6
2,estamp3_Jardins_sous_la_pluie,G,6,6 1/4
3,estamp3_Jardins_sous_la_pluie,E,6 1/4,6 1/2
4,estamp3_Jardins_sous_la_pluie,E,6 1/2,6 3/4
5,estamp3_Jardins_sous_la_pluie,G,6 3/4,7
6,estamp3_Jardins_sous_la_pluie,E,7,7 1/4
7,estamp3_Jardins_sous_la_pluie,E,7 1/4,7 1/2
8,estamp3_Jardins_sous_la_pluie,A,7 1/2,7 3/4
9,estamp3_Jardins_sous_la_pluie,G,8,8 1/4
10,estamp3_Jardins_sous_la_pluie,B,8 1/4,8 1/2
11,estamp3_Jardins_sous_la_pluie,A,8 2/3,9
12,estamp3_Jardins_sous_la_pluie,C,9,9 1/4
13,estamp3_Jardins_sous_la_pluie,A,9 1/4,9 1/2
14,estamp3_Jardins_sous_la_pluie,E,9 1/2,9 5/6
15,estamp3_Jardins_sous_la_pluie,G,10,10 1/4
16,estamp3_Jardins_sous_la_pluie,E,10 1/4,10 1/2
17,estamp3_Jardins_sous_la_pluie,F#,10 2/3,10 11/12
18,estamp3_Jardins_sous_la_pluie,F#,11,11 1/4
19,estamp3_Jardins_sous_la_pluie,E-,11 1/4,11 1/2
20,estamp3_Jardins_sous_la_pluie,E,11 1/2,11 3/4
21,estamp3_Jardins_sous_la_pluie,B,11 3/4,12
22,estamp3_Jardins_sous_la_pluie,G,12,12 1/4
23,estamp3_Jardins_sous_la_pluie,E,12 1/4,12 1/2
24,estamp3_Jardins_sous_la_pluie,B,12 1/2,12 3/4
25,estamp3_Jardins_sous_la_pluie,G,12 3/4,13
26,estamp3_Jardins_sous_la_pluie,E,13,13 1/4
27,estamp3_Jardins_sous_la_pluie,B,13 1/4,13 1/2
28,estamp3_Jardins_sous_la_pluie,G,13 1/2,13 3/4
29,estamp3_Jardins_sous_la_pluie,D,13 3/4,14
30,estamp3_Jardins_sous_la_pluie,B,14,14 1/4
31,estamp3_Jardins_sous_la_pluie,G,14 1/4,14 1/2
32,estamp3_Jardins_sous_la_pluie,C,14 2/3,14 11/12
33,estamp3_Jardins_sous_la_pluie,G,15,15 1/4
34,estamp3_Jardins_sous_la_pluie,C,15 1/4,15 1/2
35,estamp3_Jardins_sous_la_pluie,B,15 1/2,15 3/4
36,estamp3_Jardins_sous_la_pluie,G,15 3/4,16
37,estamp3_Jardins_sous_la_pluie,C,16,16 1/4
38,estamp3_Jardins_sous_la_pluie,D,16 1/4,16 1/2
39,estamp3_Jardins_sous_la_pluie,G,16 1/2,16 3/4
40,estamp3_Jardins_sous_la_pluie,D,16 3/4,17
41,estamp3_Jardins_sous_la_pluie,D,17,17 1/4
42,estamp3_Jardins_sous_la_pluie,B-,17 1/4,17 7/12
43,estamp3_Jardins_sous_la_pluie,C,17 3/4,18 1/12
44,estamp3_Jardins_sous_la_pluie,C,18 1/3,18 7/12
45,estamp3_Jardins_sous_la_pluie,B,18 2/3,18 11/12
46,estamp3_Jardins_sous_la_pluie,G,19,19 1/4
47,estamp3_Jardins_sous_la_pluie,D,19 1/4,19 1/2
48,estamp3_Jardins_sous_la_pluie,B-,19 1/2,19 3/4
49,estamp3_Jardins_sous_la_pluie,D,19 3/4,20
50,estamp3_Jardins_sous_la_pluie,D,20,20 1/4
51,estamp3_Jardins_sous_la_pluie,B-,20 1/4,20 7/12
52,estamp3_Jardins_sous_la_pluie,D,20 2/3,20 11/12
53,estamp3_Jardins_sous_la_pluie,F,21,22
54,estamp3_Jardins_sous_la_pluie,B,22,22 1/4
55,estamp3_Jardins_sous_la_pluie,B,22 1/4,22 1/2
56,estamp3_Jardins_sous_la_pluie,B,22 1/2,22 3/4
57,estamp3_Jardins_sous_la_pluie,A,22 3/4,23
58,estamp3_Jardins_sous_la_pluie,B,23,23 1/4
59,estamp3_Jardins_sous_la_pluie,B,23 1/4,23 1/2
60,estamp3_Jardins_sous_la_pluie,B,23 1/2,23 3/4
61,estamp3_Jardins_sous_la_pluie,B,23 3/4,24
62,estamp3_Jardins_sous_la_pluie,B,24,24 1/4
63,estamp3_Jardins_sous_la_pluie,B,24 1/4,24 1/2
64,estamp3_Jardins_sous_la_pluie,B,24 1/2,24 3/4
65,estamp3_Jardins_sous_la_pluie,B,25,25 1/4
66,estamp3_Jardins_sous_la_pluie,B,25 1/4,25 1/2
67,estamp3_Jardins_sous_la_pluie,C,25 1/2,25 3/4
68,estamp3_Jardins_sous_la_pluie,A,25 3/4,26
69,estamp3_Jardins_sous_la_pluie,C,26,26 1/4
70,estamp3_Jardins_sous_la_pluie,D,26 1/3,26 7/12
71,estamp3_Jardins_sous_la_pluie,A,26 2/3,26 11/12
72,estamp3_Jardins_sous_la_pluie,E,27,27 1/4
73,estamp3_Jardins_sous_la_pluie,A,27 1/4,28 3/4
74,estamp3_Jardins_sous_la_pluie,E,28 3/4,29 1/12
75,estamp3_Jardins_sous_la_pluie,G,29 1/4,29 1/2
76,estamp3_Jardins_sous_la_pluie,F,29 1/2,29 5/6
77,estamp3_Jardins_sous_la_pluie,A,30,30 1/4
78,estamp3_Jardins_sous_la_pluie,G,30 1/4,30 7/12
79,estamp3_Jardins_sous_la_pluie,C,30 3/4,31 1/12
80,estamp3_Jardins_sous_la_pluie,F,31 1/4,31 1/2
81,estamp3_Jardins_sous_la_pluie,D,31 1/2,31 5/6
82,estamp3_Jardins_sous_la_pluie,D,32,32 1/4
83,estamp3_Jardins_sous_la_pluie,E,32 1/4,32 1/2
84,estamp3_Jardins_sous_la_pluie,A,32 1/2,32 3/4
85,estamp3_Jardins_sous_la_pluie,E,32 3/4,33
86,estamp3_Jardins_sous_la_pluie,D,33,33 1/3
