,score_name,pitch_name,pitch_onset,pitch_offset
0,images_1_1_(c)oguri,G#,7 1/2,8 1/4
1,images_1_1_(c)oguri,C#,7 1/2,8 1/4
2,images_1_1_(c)oguri,B-,9,9 2/3
3,images_1_1_(c)oguri,F,10,10 3/4
4,images_1_1_(c)oguri,C,10,10 3/4
5,images_1_1_(c)oguri,G#,10,10 3/4
6,images_1_1_(c)oguri,C#,11,11 1/4
7,images_1_1_(c)oguri,B-,11,11 1/4
8,images_1_1_(c)oguri,G#,11 2/3,11 11/12
9,images_1_1_(c)oguri,F#,12 1/3,12 7/12
10,images_1_1_(c)oguri,B-,12 1/3,12 7/12
11,images_1_1_(c)oguri,F,13 1/4,13 1/2
12,images_1_1_(c)oguri,B-,14,14 1/4
13,images_1_1_(c)oguri,E-,14,14 1/4
14,images_1_1_(c)oguri,C#,14,14 1/4
15,images_1_1_(c)oguri,F,14 3/4,17 1/4
16,images_1_1_(c)oguri,E-,17 3/4,18 1/2
17,images_1_1_(c)oguri,E-,17 3/4,18 1/2
18,images_1_1_(c)oguri,G#,18 3/4,19
19,images_1_1_(c)oguri,E-,19 2/3,22 1/3
20,images_1_1_(c)oguri,C#,19 2/3,22 1/3
21,images_1_1_(c)oguri,E-,23,23 1/4
22,images_1_1_(c)oguri,G#,23,23 1/4
23,images_1_1_(c)oguri,C#,23 3/4,24 1/12
24,images_1_1_(c)oguri,B-,23 3/4,24 1/12
25,images_1_1_(c)oguri,C,24 2/3,24 11/12
26,images_1_1_(c)oguri,F,24 2/3,24 11/12
27,images_1_1_(c)oguri,E-,24 2/3,24 11/12
28,images_1_1_(c)oguri,F,25 1/3,25 7/12
29,images_1_1_(c)oguri,C#,25 1/3,25 7/12
30,images_1_1_(c)oguri,G#,26,26 1/4
31,images_1_1_(c)oguri,E-,26,26 1/4
32,images_1_1_(c)oguri,B-,26 2/3,26 11/12
33,images_1_1_(c)oguri,C#,26 2/3,26 11/12
34,images_1_1_(c)oguri,E-,27 1/3,27 7/12
35,images_1_1_(c)oguri,C,27 1/3,27 7/12
36,images_1_1_(c)oguri,F,28,28 1/4
37,images_1_1_(c)oguri,E-,28 3/4,29
38,images_1_1_(c)oguri,G#,28 3/4,29
39,images_1_1_(c)oguri,B-,29 1/2,29 3/4
40,images_1_1_(c)oguri,E-,30 1/4,30 11/12
41,images_1_1_(c)oguri,C,30 1/4,30 11/12
42,images_1_1_(c)oguri,F,31,31 3/4
43,images_1_1_(c)oguri,C#,31 3/4,32
44,images_1_1_(c)oguri,B-,31 3/4,32
45,images_1_1_(c)oguri,F,31 3/4,32
46,images_1_1_(c)oguri,B-,32 2/3,32 11/12
47,images_1_1_(c)oguri,F,32 2/3,32 11/12
48,images_1_1_(c)oguri,F,33 2/3,33 11/12
49,images_1_1_(c)oguri,C#,33 2/3,33 11/12
50,images_1_1_(c)oguri,B-,33 2/3,33 11/12
51,images_1_1_(c)oguri,G#,35 1/4,38 1/4
52,images_1_1_(c)oguri,E-,38 1/2,38 5/6
53,images_1_1_(c)oguri,C#,38 1/2,38 5/6
54,images_1_1_(c)oguri,G#,39 1/4,39 1/2
55,images_1_1_(c)oguri,F#,39 3/4,40
56,images_1_1_(c)oguri,G#,40 2/3,41 1/3
57,images_1_1_(c)oguri,B-,41 1/3,41 7/12
58,images_1_1_(c)oguri,E-,41 1/3,41 7/12
59,images_1_1_(c)oguri,C#,41 1/3,41 7/12
60,images_1_1_(c)oguri,F,42,44 1/2
61,images_1_1_(c)oguri,E-,45 1/4,45 1/2
62,images_1_1_(c)oguri,B-,45 1/4,45 1/2
63,images_1_1_(c)oguri,C#,45 1/4,45 1/2
64,images_1_1_(c)oguri,G#,46 1/4,46 1/2
65,images_1_1_(c)oguri,F,46 1/4,46 1/2
66,images_1_1_(c)oguri,C,46 1/4,46 1/2
67,images_1_1_(c)oguri,E-,47,49 1/3
68,images_1_1_(c)oguri,C#,47,49 1/3
69,images_1_1_(c)oguri,B-,47,49 1/3
70,images_1_1_(c)oguri,E-,50 1/4,50 7/12
71,images_1_1_(c)oguri,G#,50 1/4,50 7/12
72,images_1_1_(c)oguri,F,50 1/4,50 7/12
73,images_1_1_(c)oguri,B-,51,51 1/4
74,images_1_1_(c)oguri,C#,51 1/4,51 1/2
75,images_1_1_(c)oguri,F,51 1/4,51 1/2
76,images_1_1_(c)oguri,E-,51 3/4,52
77,images_1_1_(c)oguri,F,51 3/4,52
78,images_1_1_(c)oguri,C,52,52 1/4
79,images_1_1_(c)oguri,B-,52 1/2,52 3/4
80,images_1_1_(c)oguri,F,52 1/2,52 3/4
81,images_1_1_(c)oguri,C#,52 1/2,52 3/4
82,images_1_1_(c)oguri,F,53 1/4,53 1/2
83,images_1_1_(c)oguri,C#,53 3/4,54
84,images_1_1_(c)oguri,B-,53 3/4,54
85,images_1_1_(c)oguri,F,53 3/4,54
86,images_1_1_(c)oguri,E-,54 1/2,54 3/4
87,images_1_1_(c)oguri,F,54 1/2,54 3/4
88,images_1_1_(c)oguri,F,55,55 1/4
89,images_1_1_(c)oguri,B-,55,55 1/4
90,images_1_1_(c)oguri,C#,55,55 1/4
91,images_1_1_(c)oguri,E-,55 3/4,56
92,images_1_1_(c)oguri,G#,55 3/4,56
93,images_1_1_(c)oguri,B-,56 1/2,56 3/4
94,images_1_1_(c)oguri,F,56 1/2,56 3/4
95,images_1_1_(c)oguri,E-,57 1/4,57 11/12
96,images_1_1_(c)oguri,C,57 1/4,57 11/12
97,images_1_1_(c)oguri,F,58,58 1/4
98,images_1_1_(c)oguri,B-,58,58 1/4
99,images_1_1_(c)oguri,C#,58,58 1/4
100,images_1_1_(c)oguri,C#,58 3/4,59 1/4
101,images_1_1_(c)oguri,B-,59 2/3,60
102,images_1_1_(c)oguri,C#,60 3/4,61
103,images_1_1_(c)oguri,B-,60 3/4,61
104,images_1_1_(c)oguri,F#,64,64 2/3
105,images_1_1_(c)oguri,F,64,64 2/3
106,images_1_1_(c)oguri,G#,64,64 2/3
107,images_1_1_(c)oguri,G#,64,64 2/3
108,images_1_1_(c)oguri,E-,65 1/3,65 2/3
109,images_1_1_(c)oguri,C#,65 1/3,65 2/3
110,images_1_1_(c)oguri,A,65 1/3,65 2/3
111,images_1_1_(c)oguri,B-,66 1/3,66 5/6
112,images_1_1_(c)oguri,B,67 3/4,72 1/4
113,images_1_1_(c)oguri,B,67 3/4,72 1/4
114,images_1_1_(c)oguri,F#,73 1/3,74
115,images_1_1_(c)oguri,G#,73 1/3,74
116,images_1_1_(c)oguri,G#,73 1/3,74
117,images_1_1_(c)oguri,F,73 1/3,74
118,images_1_1_(c)oguri,C#,74 1/2,74 5/6
119,images_1_1_(c)oguri,E-,74 1/2,74 5/6
120,images_1_1_(c)oguri,G,74 1/2,74 5/6
121,images_1_1_(c)oguri,B-,75 1/3,75 2/3
122,images_1_1_(c)oguri,B-,75 1/3,75 2/3
123,images_1_1_(c)oguri,G#,76 1/3,76 5/6
124,images_1_1_(c)oguri,E-,76 1/3,76 5/6
125,images_1_1_(c)oguri,C,77 1/2,78 1/4
126,images_1_1_(c)oguri,C,77 1/2,78 1/4
127,images_1_1_(c)oguri,B-,79,80
128,images_1_1_(c)oguri,B-,80 3/4,81 1/4
129,images_1_1_(c)oguri,F,81 2/3,82
130,images_1_1_(c)oguri,B-,82 1/2,82 3/4
