,score_name,pitch_name,pitch_onset,pitch_offset
0,images_1_3_(c)oguri (1),G,7 2/3,7 11/12
1,images_1_3_(c)oguri (1),C,7 2/3,7 11/12
2,images_1_3_(c)oguri (1),G,8 1/3,8 7/12
3,images_1_3_(c)oguri (1),C,8 1/3,8 7/12
4,images_1_3_(c)oguri (1),G,9,9 1/4
5,images_1_3_(c)oguri (1),C,9,9 1/4
6,images_1_3_(c)oguri (1),G,9 1/2,9 3/4
7,images_1_3_(c)oguri (1),C,9 1/2,9 3/4
8,images_1_3_(c)oguri (1),G,10,10 1/4
9,images_1_3_(c)oguri (1),C,10,10 1/4
10,images_1_3_(c)oguri (1),G,10 2/3,10 11/12
11,images_1_3_(c)oguri (1),C,10 2/3,10 11/12
12,images_1_3_(c)oguri (1),G,11 1/4,11 1/2
13,images_1_3_(c)oguri (1),C,11 1/4,11 1/2
14,images_1_3_(c)oguri (1),G,11 3/4,12
15,images_1_3_(c)oguri (1),C,11 3/4,12
16,images_1_3_(c)oguri (1),C,12 1/3,12 7/12
17,images_1_3_(c)oguri (1),G,12 1/3,12 7/12
18,images_1_3_(c)oguri (1),G,13,13 1/4
19,images_1_3_(c)oguri (1),C,13 1/2,13 3/4
20,images_1_3_(c)oguri (1),G,13 1/2,13 3/4
21,images_1_3_(c)oguri (1),C,14,14 1/4
22,images_1_3_(c)oguri (1),G,14,14 1/4
23,images_1_3_(c)oguri (1),C,14 2/3,14 11/12
24,images_1_3_(c)oguri (1),G,14 2/3,14 11/12
25,images_1_3_(c)oguri (1),G,15 1/4,15 1/2
26,images_1_3_(c)oguri (1),C,15 1/4,15 1/2
27,images_1_3_(c)oguri (1),G,15 3/4,16
28,images_1_3_(c)oguri (1),C,15 3/4,16
29,images_1_3_(c)oguri (1),G,16 1/3,16 7/12
30,images_1_3_(c)oguri (1),C,16 1/3,16 7/12
31,images_1_3_(c)oguri (1),D,16 3/4,17
32,images_1_3_(c)oguri (1),G,17,17 1/4
33,images_1_3_(c)oguri (1),F,17 1/4,17 1/2
34,images_1_3_(c)oguri (1),G,17 1/2,17 3/4
35,images_1_3_(c)oguri (1),D,17 1/2,17 3/4
36,images_1_3_(c)oguri (1),C,17 1/2,17 3/4
37,images_1_3_(c)oguri (1),F,17 3/4,18
38,images_1_3_(c)oguri (1),D,18,18 1/4
39,images_1_3_(c)oguri (1),C,18,18 1/4
40,images_1_3_(c)oguri (1),G,18,18 1/4
41,images_1_3_(c)oguri (1),E,18 1/4,18 1/2
42,images_1_3_(c)oguri (1),G,18 1/2,18 3/4
43,images_1_3_(c)oguri (1),D,18 1/2,18 3/4
44,images_1_3_(c)oguri (1),C,18 1/2,18 3/4
45,images_1_3_(c)oguri (1),E,18 3/4,19
46,images_1_3_(c)oguri (1),F,19,19 1/4
47,images_1_3_(c)oguri (1),E,19 1/3,19 7/12
48,images_1_3_(c)oguri (1),G,19 2/3,19 11/12
49,images_1_3_(c)oguri (1),C,19 2/3,19 11/12
50,images_1_3_(c)oguri (1),D,19 2/3,19 11/12
51,images_1_3_(c)oguri (1),F,20,20 1/4
52,images_1_3_(c)oguri (1),G,20 1/4,20 1/2
53,images_1_3_(c)oguri (1),C,20 1/4,20 1/2
54,images_1_3_(c)oguri (1),F,20 1/2,20 3/4
55,images_1_3_(c)oguri (1),E-,20 3/4,21
56,images_1_3_(c)oguri (1),C,20 3/4,21
57,images_1_3_(c)oguri (1),G,20 3/4,21
58,images_1_3_(c)oguri (1),F#,21,21 1/4
59,images_1_3_(c)oguri (1),A,21 1/4,21 1/2
60,images_1_3_(c)oguri (1),E,21 1/2,21 3/4
61,images_1_3_(c)oguri (1),F,21 3/4,22
62,images_1_3_(c)oguri (1),G,22,22 1/4
63,images_1_3_(c)oguri (1),D,22,22 1/4
64,images_1_3_(c)oguri (1),C,22,22 1/4
65,images_1_3_(c)oguri (1),F,22 1/3,22 7/12
66,images_1_3_(c)oguri (1),E,22 2/3,22 11/12
67,images_1_3_(c)oguri (1),G,23,23 1/4
68,images_1_3_(c)oguri (1),C,23,23 1/4
69,images_1_3_(c)oguri (1),E,23 1/4,23 1/2
70,images_1_3_(c)oguri (1),F,23 1/2,23 3/4
71,images_1_3_(c)oguri (1),E,23 3/4,24
72,images_1_3_(c)oguri (1),F,24,24 1/4
73,images_1_3_(c)oguri (1),D,24 1/4,24 1/2
74,images_1_3_(c)oguri (1),F,24 1/2,24 3/4
75,images_1_3_(c)oguri (1),E,24 3/4,25
76,images_1_3_(c)oguri (1),F,25,25 1/4
77,images_1_3_(c)oguri (1),C,25 1/4,25 1/2
78,images_1_3_(c)oguri (1),G,25 1/4,25 1/2
79,images_1_3_(c)oguri (1),E-,25 1/4,25 1/2
80,images_1_3_(c)oguri (1),A,25 1/2,25 3/4
81,images_1_3_(c)oguri (1),A,25 3/4,26
82,images_1_3_(c)oguri (1),D,25 3/4,26
83,images_1_3_(c)oguri (1),F,26,26 1/4
84,images_1_3_(c)oguri (1),G,26 1/4,26 1/2
85,images_1_3_(c)oguri (1),G,26 2/3,26 11/12
86,images_1_3_(c)oguri (1),A,27,27 1/4
87,images_1_3_(c)oguri (1),D,27,27 1/4
88,images_1_3_(c)oguri (1),C,27,27 1/4
89,images_1_3_(c)oguri (1),F,27 1/4,27 1/2
90,images_1_3_(c)oguri (1),B,27 1/2,27 3/4
