,score_name,pitch_name,pitch_onset,pitch_offset
0,images_2_2_(c)galimberti,E,1,3
1,images_2_2_(c)galimberti,A,1,3
2,images_2_2_(c)galimberti,B,1,3
3,images_2_2_(c)galimberti,E,1,3
4,images_2_2_(c)galimberti,A,1,3
5,images_2_2_(c)galimberti,B,1,3
6,images_2_2_(c)galimberti,E,3,5 1/2
7,images_2_2_(c)galimberti,A,3,5 1/2
8,images_2_2_(c)galimberti,B,3,5 1/2
9,images_2_2_(c)galimberti,E,3,5 1/2
10,images_2_2_(c)galimberti,A,3,5 1/2
11,images_2_2_(c)galimberti,B,3,5 1/2
12,images_2_2_(c)galimberti,B,5 1/2,5 3/4
13,images_2_2_(c)galimberti,E,5 1/2,5 3/4
14,images_2_2_(c)galimberti,B,5 1/2,5 3/4
15,images_2_2_(c)galimberti,E,5 1/2,5 3/4
16,images_2_2_(c)galimberti,C,5 3/4,6
17,images_2_2_(c)galimberti,G,5 3/4,6
18,images_2_2_(c)galimberti,C,5 3/4,6
19,images_2_2_(c)galimberti,G,5 3/4,6
20,images_2_2_(c)galimberti,D,6,6 1/2
21,images_2_2_(c)galimberti,G,6,6 1/2
22,images_2_2_(c)galimberti,A,6,6 1/2
23,images_2_2_(c)galimberti,D,6,6 1/2
24,images_2_2_(c)galimberti,G,6,6 1/2
25,images_2_2_(c)galimberti,A,6,6 1/2
26,images_2_2_(c)galimberti,G#,6 1/2,7
27,images_2_2_(c)galimberti,C#,6 1/2,7
28,images_2_2_(c)galimberti,E-,6 1/2,7
29,images_2_2_(c)galimberti,G#,6 1/2,7
30,images_2_2_(c)galimberti,C#,6 1/2,7
31,images_2_2_(c)galimberti,E-,6 1/2,7
32,images_2_2_(c)galimberti,A,7,7 1/2
33,images_2_2_(c)galimberti,D,7,7 1/2
34,images_2_2_(c)galimberti,E,7,7 1/2
35,images_2_2_(c)galimberti,A,7,7 1/2
36,images_2_2_(c)galimberti,D,7,7 1/2
37,images_2_2_(c)galimberti,E,7,7 1/2
38,images_2_2_(c)galimberti,C,7 1/2,8
39,images_2_2_(c)galimberti,F,7 1/2,8
40,images_2_2_(c)galimberti,G,7 1/2,8
