,score_name,pitch_name,pitch_onset,pitch_offset
0,premiere_arabesque,C#,1,1 1/3
1,premiere_arabesque,E,1 1/3,1 2/3
2,premiere_arabesque,F#,1 2/3,2
3,premiere_arabesque,G#,2,2 1/3
4,premiere_arabesque,E-,2 1/3,2 2/3
5,premiere_arabesque,B,2 2/3,3
6,premiere_arabesque,A,5,5 1/3
7,premiere_arabesque,C#,5 1/3,5 2/3
8,premiere_arabesque,E-,5 2/3,6
9,premiere_arabesque,E,6,6 1/3
10,premiere_arabesque,B,6 1/3,6 2/3
11,premiere_arabesque,G#,6 2/3,7
12,premiere_arabesque,C#,9,10
13,premiere_arabesque,F#,10,11
14,premiere_arabesque,C#,11,13
15,premiere_arabesque,C#,13,14
16,premiere_arabesque,F#,14,15
17,premiere_arabesque,A,15,17
18,premiere_arabesque,A,17,19 1/3
19,premiere_arabesque,G#,19 1/3,19 2/3
20,premiere_arabesque,F#,19 2/3,20
21,premiere_arabesque,E,21,21 1/3
22,premiere_arabesque,F#,21 1/3,21 2/3
23,premiere_arabesque,C#,21 2/3,22
24,premiere_arabesque,E,22,22 1/3
25,premiere_arabesque,B,22 1/3,22 2/3
26,premiere_arabesque,C#,22 2/3,23
27,premiere_arabesque,G#,23,23 1/3
28,premiere_arabesque,B,23 1/3,23 2/3
29,premiere_arabesque,F#,23 2/3,24
30,premiere_arabesque,G#,24,24 1/3
31,premiere_arabesque,E,24 1/3,24 2/3
32,premiere_arabesque,G#,24 2/3,25
33,premiere_arabesque,E-,25,27
34,premiere_arabesque,C#,27,28
35,premiere_arabesque,B,28,28 1/2
36,premiere_arabesque,E,29,29 1/3
37,premiere_arabesque,F#,29 1/3,29 2/3
38,premiere_arabesque,C#,29 2/3,30
39,premiere_arabesque,E,30,30 1/3
40,premiere_arabesque,B,30 1/3,30 2/3
41,premiere_arabesque,C#,30 2/3,31
42,premiere_arabesque,G#,31,31 1/3
43,premiere_arabesque,B,31 1/3,31 2/3
44,premiere_arabesque,F#,31 2/3,32
45,premiere_arabesque,G#,32,32 1/3
46,premiere_arabesque,E,32 1/3,32 2/3
47,premiere_arabesque,G#,32 2/3,33
48,premiere_arabesque,E-,33,35
49,premiere_arabesque,C#,35,36
50,premiere_arabesque,B,36,36 1/3
51,premiere_arabesque,A,36 1/3,36 2/3
52,premiere_arabesque,B,36 2/3,37
53,premiere_arabesque,C#,37,38 1/2
54,premiere_arabesque,E,38 1/2,39
55,premiere_arabesque,E-,39,39 1/2
56,premiere_arabesque,E,39 1/2,40
57,premiere_arabesque,C#,40,41
58,premiere_arabesque,G#,41,43
59,premiere_arabesque,E,43,44
60,premiere_arabesque,E-,44,44 1/3
61,premiere_arabesque,C#,44 1/3,44 2/3
62,premiere_arabesque,E-,44 2/3,45
63,premiere_arabesque,E,45,46 1/2
64,premiere_arabesque,G#,46 1/2,47
65,premiere_arabesque,F#,47,47 1/2
66,premiere_arabesque,G#,47 1/2,48
67,premiere_arabesque,E,48,49
68,premiere_arabesque,C#,49,51
69,premiere_arabesque,B-,51,51 1/3
70,premiere_arabesque,C#,51 1/3,51 2/3
71,premiere_arabesque,B-,51 2/3,52
72,premiere_arabesque,G#,52,53
73,premiere_arabesque,E,53,55
74,premiere_arabesque,C#,55,55 1/3
75,premiere_arabesque,E,55 1/3,55 2/3
76,premiere_arabesque,C#,55 2/3,56
77,premiere_arabesque,G#,56,57 1/2
78,premiere_arabesque,F#,57 1/2,58
79,premiere_arabesque,G#,58,59 1/2
80,premiere_arabesque,F#,59 1/2,60
81,premiere_arabesque,G#,60,61 1/2
82,premiere_arabesque,F#,61 1/2,62
83,premiere_arabesque,G#,62,62 1/2
84,premiere_arabesque,F#,62 1/2,63 1/2
85,premiere_arabesque,G#,63 1/2,64
86,premiere_arabesque,A,64,66
87,premiere_arabesque,G#,66,68
88,premiere_arabesque,F#,68,70
89,premiere_arabesque,E,70,72
90,premiere_arabesque,E-,72,74
91,premiere_arabesque,E,74,75
92,premiere_arabesque,G#,75,75 1/2
93,premiere_arabesque,B,75 1/2,76
94,premiere_arabesque,E-,76,78 1/2
95,premiere_arabesque,C#,78 1/2,79
96,premiere_arabesque,E,79,79 1/2
97,premiere_arabesque,G#,79 1/2,80
98,premiere_arabesque,B,80,82 1/2
99,premiere_arabesque,A,82 1/2,83
100,premiere_arabesque,C#,83,83 1/2
101,premiere_arabesque,E,83 1/2,84
102,premiere_arabesque,G#,84,86
103,premiere_arabesque,A,86 1/3,86 2/3
104,premiere_arabesque,C#,86 2/3,87
105,premiere_arabesque,E,87,87 1/3
106,premiere_arabesque,G#,87 1/3,87 2/3
107,premiere_arabesque,F#,87 2/3,88
108,premiere_arabesque,E-,88,89
109,premiere_arabesque,G#,89,90
110,premiere_arabesque,F#,90 1/2,91
111,premiere_arabesque,A,91,91 1/2
112,premiere_arabesque,C#,91 1/2,92
113,premiere_arabesque,E,92,94
114,premiere_arabesque,F#,94 1/3,94 2/3
115,premiere_arabesque,A,94 2/3,95
116,premiere_arabesque,C#,95,95 1/3
117,premiere_arabesque,E,95 1/3,95 2/3
118,premiere_arabesque,D,95 2/3,96
119,premiere_arabesque,G#,96,97
